,Maximum value,Latitude,Longitude,M,Z
1933.0,60.0,-4.3,-38.5,56.0,42.0
1935.0,74.5,-4.3,-38.5,56.0,42.0
1936.0,48.5,-4.3,-38.5,56.0,42.0
1937.0,82.5,-4.3,-38.5,56.0,42.0
1938.0,77.69999694824219,-4.3,-38.5,56.0,42.0
1940.0,90.5999984741211,-4.3,-38.5,56.0,42.0
1941.0,42.70000076293945,-4.3,-38.5,56.0,42.0
1942.0,44.79999923706055,-4.3,-38.5,56.0,42.0
1943.0,84.0,-4.3,-38.5,56.0,42.0
1944.0,52.0,-4.3,-38.5,56.0,42.0
1945.0,41.900001525878906,-4.3,-38.5,56.0,42.0
1946.0,56.0,-4.3,-38.5,56.0,42.0
1948.0,68.5999984741211,-4.3,-38.5,56.0,42.0
1949.0,97.0999984741211,-4.3,-38.5,56.0,42.0
1950.0,71.19999694824219,-4.3,-38.5,56.0,42.0
1951.0,43.5,-4.3,-38.5,56.0,42.0
1952.0,85.5,-4.3,-38.5,56.0,42.0
1953.0,28.899999618530273,-4.3,-38.5,56.0,42.0
1954.0,52.5,-4.3,-38.5,56.0,42.0
1955.0,57.79999923706055,-4.3,-38.5,56.0,42.0
1956.0,37.5,-4.3,-38.5,56.0,42.0
1957.0,66.4000015258789,-4.3,-38.5,56.0,42.0
1959.0,120.0999984741211,-4.3,-38.5,56.0,42.0
1960.0,79.30000305175781,-4.3,-38.5,56.0,42.0
1961.0,80.0999984741211,-4.3,-38.5,56.0,42.0
1962.0,61.5,-4.3,-38.5,56.0,42.0
1963.0,89.0999984741211,-4.3,-38.5,56.0,42.0
1964.0,80.19999694824219,-4.3,-38.5,56.0,42.0
1965.0,40.20000076293945,-4.3,-38.5,56.0,42.0
1966.0,50.400001525878906,-4.3,-38.5,56.0,42.0
1967.0,72.5,-4.3,-38.5,56.0,42.0
1968.0,45.20000076293945,-4.3,-38.5,56.0,42.0
1969.0,89.19999694824219,-4.3,-38.5,56.0,42.0
1970.0,25.100000381469727,-4.3,-38.5,56.0,42.0
1971.0,51.900001525878906,-4.3,-38.5,56.0,42.0
1973.0,55.79999923706055,-4.3,-38.5,56.0,42.0
1975.0,45.5,-4.3,-38.5,56.0,42.0
1979.0,30.399999618530273,-4.3,-38.5,56.0,42.0
1980.0,102.30000305175781,-4.3,-38.5,56.0,42.0
1981.0,102.19999694824219,-4.3,-38.5,56.0,42.0
1982.0,30.5,-4.3,-38.5,56.0,42.0
1983.0,102.30000305175781,-4.3,-38.5,56.0,42.0
1984.0,126.19999694824219,-4.3,-38.5,56.0,42.0
1985.0,70.19999694824219,-4.3,-38.5,56.0,42.0
1986.0,104.19999694824219,-4.3,-38.5,56.0,42.0
1987.0,46.29999923706055,-4.3,-38.5,56.0,42.0
1988.0,72.0,-4.3,-38.5,56.0,42.0
1991.0,69.69999694824219,-4.3,-38.5,56.0,42.0
1992.0,60.29999923706055,-4.3,-38.5,56.0,42.0
1993.0,75.4000015258789,-4.3,-38.5,56.0,42.0
1994.0,66.0999984741211,-4.3,-38.5,56.0,42.0
1995.0,63.5,-4.3,-38.5,56.0,42.0
1996.0,79.0,-4.3,-38.5,56.0,42.0
1997.0,54.70000076293945,-4.3,-38.5,56.0,42.0
1998.0,40.599998474121094,-4.3,-38.5,56.0,42.0
2000.0,138.89999389648438,-4.3,-38.5,56.0,42.0
