,Maximum value,Latitude,Longitude,M,Z
1941.0,50.0,-24.6,-48.22,50.0,40.0
1942.0,55.20000076293945,-24.6,-48.22,50.0,40.0
1943.0,69.0,-24.6,-48.22,50.0,40.0
1944.0,72.69999694824219,-24.6,-48.22,50.0,40.0
1945.0,78.4000015258789,-24.6,-48.22,50.0,40.0
1946.0,77.80000305175781,-24.6,-48.22,50.0,40.0
1947.0,50.29999923706055,-24.6,-48.22,50.0,40.0
1948.0,52.5,-24.6,-48.22,50.0,40.0
1954.0,60.29999923706055,-24.6,-48.22,50.0,40.0
1955.0,76.5,-24.6,-48.22,50.0,40.0
1957.0,94.4000015258789,-24.6,-48.22,50.0,40.0
1959.0,62.20000076293945,-24.6,-48.22,50.0,40.0
1960.0,141.6999969482422,-24.6,-48.22,50.0,40.0
1961.0,76.0,-24.6,-48.22,50.0,40.0
1962.0,61.099998474121094,-24.6,-48.22,50.0,40.0
1963.0,94.19999694824219,-24.6,-48.22,50.0,40.0
1964.0,66.5,-24.6,-48.22,50.0,40.0
1965.0,90.0,-24.6,-48.22,50.0,40.0
1966.0,62.900001525878906,-24.6,-48.22,50.0,40.0
1967.0,61.5,-24.6,-48.22,50.0,40.0
1968.0,76.0,-24.6,-48.22,50.0,40.0
1969.0,63.400001525878906,-24.6,-48.22,50.0,40.0
1970.0,64.5,-24.6,-48.22,50.0,40.0
1971.0,61.0,-24.6,-48.22,50.0,40.0
1972.0,70.80000305175781,-24.6,-48.22,50.0,40.0
1973.0,57.5,-24.6,-48.22,50.0,40.0
1974.0,98.69999694824219,-24.6,-48.22,50.0,40.0
1975.0,71.80000305175781,-24.6,-48.22,50.0,40.0
1976.0,57.5,-24.6,-48.22,50.0,40.0
1977.0,75.30000305175781,-24.6,-48.22,50.0,40.0
1978.0,118.69999694824219,-24.6,-48.22,50.0,40.0
1979.0,56.099998474121094,-24.6,-48.22,50.0,40.0
1980.0,61.5,-24.6,-48.22,50.0,40.0
1981.0,103.9000015258789,-24.6,-48.22,50.0,40.0
1982.0,73.19999694824219,-24.6,-48.22,50.0,40.0
1983.0,66.4000015258789,-24.6,-48.22,50.0,40.0
1984.0,60.70000076293945,-24.6,-48.22,50.0,40.0
1985.0,56.400001525878906,-24.6,-48.22,50.0,40.0
1986.0,78.4000015258789,-24.6,-48.22,50.0,40.0
1987.0,110.30000305175781,-24.6,-48.22,50.0,40.0
1988.0,78.0999984741211,-24.6,-48.22,50.0,40.0
1989.0,103.69999694824219,-24.6,-48.22,50.0,40.0
1990.0,76.30000305175781,-24.6,-48.22,50.0,40.0
1991.0,60.400001525878906,-24.6,-48.22,50.0,40.0
1992.0,65.30000305175781,-24.6,-48.22,50.0,40.0
1993.0,110.30000305175781,-24.6,-48.22,50.0,40.0
1994.0,70.0,-24.6,-48.22,50.0,40.0
1995.0,138.39999389648438,-24.6,-48.22,50.0,40.0
1996.0,64.80000305175781,-24.6,-48.22,50.0,40.0
1997.0,90.69999694824219,-24.6,-48.22,50.0,40.0
