,Maximum value,Latitude,Longitude,M,Z
1948.0,51.099998474121094,25.367,-101.017,58.0,1790.0
1949.0,49.5,25.367,-101.017,58.0,1790.0
1950.0,35.0,25.367,-101.017,58.0,1790.0
1951.0,38.5,25.367,-101.017,58.0,1790.0
1952.0,70.0,25.367,-101.017,58.0,1790.0
1953.0,25.0,25.367,-101.017,58.0,1790.0
1954.0,24.0,25.367,-101.017,58.0,1790.0
1955.0,84.0,25.367,-101.017,58.0,1790.0
1956.0,26.100000381469727,25.367,-101.017,58.0,1790.0
1957.0,19.299999237060547,25.367,-101.017,58.0,1790.0
1958.0,49.0,25.367,-101.017,58.0,1790.0
1959.0,63.0,25.367,-101.017,58.0,1790.0
1960.0,34.20000076293945,25.367,-101.017,58.0,1790.0
1961.0,63.0,25.367,-101.017,58.0,1790.0
1962.0,20.5,25.367,-101.017,58.0,1790.0
1963.0,29.5,25.367,-101.017,58.0,1790.0
1964.0,63.0,25.367,-101.017,58.0,1790.0
1965.0,30.0,25.367,-101.017,58.0,1790.0
1966.0,68.0,25.367,-101.017,58.0,1790.0
1967.0,64.0,25.367,-101.017,58.0,1790.0
1968.0,21.0,25.367,-101.017,58.0,1790.0
1969.0,56.0,25.367,-101.017,58.0,1790.0
1970.0,21.5,25.367,-101.017,58.0,1790.0
1971.0,43.0,25.367,-101.017,58.0,1790.0
1972.0,27.0,25.367,-101.017,58.0,1790.0
1973.0,28.5,25.367,-101.017,58.0,1790.0
1974.0,46.5,25.367,-101.017,58.0,1790.0
1975.0,42.0,25.367,-101.017,58.0,1790.0
1976.0,42.0,25.367,-101.017,58.0,1790.0
1977.0,25.0,25.367,-101.017,58.0,1790.0
1978.0,29.0,25.367,-101.017,58.0,1790.0
1979.0,25.0,25.367,-101.017,58.0,1790.0
1980.0,16.5,25.367,-101.017,58.0,1790.0
1981.0,40.0,25.367,-101.017,58.0,1790.0
1982.0,44.5,25.367,-101.017,58.0,1790.0
1983.0,46.0,25.367,-101.017,58.0,1790.0
1985.0,24.0,25.367,-101.017,58.0,1790.0
1986.0,56.0,25.367,-101.017,58.0,1790.0
1987.0,35.0,25.367,-101.017,58.0,1790.0
1988.0,160.0,25.367,-101.017,58.0,1790.0
1989.0,31.0,25.367,-101.017,58.0,1790.0
1990.0,21.0,25.367,-101.017,58.0,1790.0
1991.0,45.0,25.367,-101.017,58.0,1790.0
1992.0,34.5,25.367,-101.017,58.0,1790.0
1993.0,33.29999923706055,25.367,-101.017,58.0,1790.0
1994.0,39.0,25.367,-101.017,58.0,1790.0
1995.0,26.0,25.367,-101.017,58.0,1790.0
1996.0,23.0,25.367,-101.017,58.0,1790.0
1997.0,30.299999237060547,25.367,-101.017,58.0,1790.0
1998.0,32.5,25.367,-101.017,58.0,1790.0
2000.0,24.399999618530273,25.367,-101.017,58.0,1790.0
2001.0,16.799999237060547,25.367,-101.017,58.0,1790.0
2005.0,27.899999618530273,25.367,-101.017,58.0,1790.0
2006.0,66.5,25.367,-101.017,58.0,1790.0
2007.0,39.099998474121094,25.367,-101.017,58.0,1790.0
2008.0,48.29999923706055,25.367,-101.017,58.0,1790.0
2009.0,53.79999923706055,25.367,-101.017,58.0,1790.0
2011.0,106.9000015258789,25.367,-101.017,58.0,1790.0
