,Maximum value,Latitude,Longitude,M,Z
1942.0,32.29999923706055,22.9167,-103.1,60.0,2235.7
1943.0,42.400001525878906,22.9167,-103.1,60.0,2235.7
1948.0,42.900001525878906,22.9167,-103.1,60.0,2235.7
1949.0,40.099998474121094,22.9167,-103.1,60.0,2235.7
1950.0,31.0,22.9167,-103.1,60.0,2235.7
1951.0,52.599998474121094,22.9167,-103.1,60.0,2235.7
1952.0,23.399999618530273,22.9167,-103.1,60.0,2235.7
1953.0,24.899999618530273,22.9167,-103.1,60.0,2235.7
1954.0,59.900001525878906,22.9167,-103.1,60.0,2235.7
1955.0,49.29999923706055,22.9167,-103.1,60.0,2235.7
1956.0,25.399999618530273,22.9167,-103.1,60.0,2235.7
1957.0,51.79999923706055,22.9167,-103.1,60.0,2235.7
1958.0,52.79999923706055,22.9167,-103.1,60.0,2235.7
1959.0,33.79999923706055,22.9167,-103.1,60.0,2235.7
1960.0,75.4000015258789,22.9167,-103.1,60.0,2235.7
1961.0,34.79999923706055,22.9167,-103.1,60.0,2235.7
1962.0,25.899999618530273,22.9167,-103.1,60.0,2235.7
1963.0,35.79999923706055,22.9167,-103.1,60.0,2235.7
1964.0,23.399999618530273,22.9167,-103.1,60.0,2235.7
1965.0,28.399999618530273,22.9167,-103.1,60.0,2235.7
1966.0,54.900001525878906,22.9167,-103.1,60.0,2235.7
1967.0,79.0,22.9167,-103.1,60.0,2235.7
1968.0,26.200000762939453,22.9167,-103.1,60.0,2235.7
1969.0,46.5,22.9167,-103.1,60.0,2235.7
1970.0,39.099998474121094,22.9167,-103.1,60.0,2235.7
1971.0,34.5,22.9167,-103.1,60.0,2235.7
1972.0,34.5,22.9167,-103.1,60.0,2235.7
1973.0,67.30000305175781,22.9167,-103.1,60.0,2235.7
1974.0,35.099998474121094,22.9167,-103.1,60.0,2235.7
1975.0,33.79999923706055,22.9167,-103.1,60.0,2235.7
1976.0,42.70000076293945,22.9167,-103.1,60.0,2235.7
1977.0,45.0,22.9167,-103.1,60.0,2235.7
1978.0,35.79999923706055,22.9167,-103.1,60.0,2235.7
1979.0,31.0,22.9167,-103.1,60.0,2235.7
1983.0,40.900001525878906,22.9167,-103.1,60.0,2235.7
1984.0,27.200000762939453,22.9167,-103.1,60.0,2235.7
1985.0,23.399999618530273,22.9167,-103.1,60.0,2235.7
1986.0,31.0,22.9167,-103.1,60.0,2235.7
1987.0,42.900001525878906,22.9167,-103.1,60.0,2235.7
1988.0,31.799999237060547,22.9167,-103.1,60.0,2235.7
1989.0,66.5,22.9167,-103.1,60.0,2235.7
1990.0,56.400001525878906,22.9167,-103.1,60.0,2235.7
1991.0,77.0,22.9167,-103.1,60.0,2235.7
1992.0,29.0,22.9167,-103.1,60.0,2235.7
1993.0,24.899999618530273,22.9167,-103.1,60.0,2235.7
1994.0,49.79999923706055,22.9167,-103.1,60.0,2235.7
1995.0,56.599998474121094,22.9167,-103.1,60.0,2235.7
1996.0,35.599998474121094,22.9167,-103.1,60.0,2235.7
1997.0,36.599998474121094,22.9167,-103.1,60.0,2235.7
1998.0,54.599998474121094,22.9167,-103.1,60.0,2235.7
1999.0,56.599998474121094,22.9167,-103.1,60.0,2235.7
2000.0,34.0,22.9167,-103.1,60.0,2235.7
2001.0,30.700000762939453,22.9167,-103.1,60.0,2235.7
2002.0,55.099998474121094,22.9167,-103.1,60.0,2235.7
2006.0,31.0,22.9167,-103.1,60.0,2235.7
2007.0,121.19999694824219,22.9167,-103.1,60.0,2235.7
2009.0,62.0,22.9167,-103.1,60.0,2235.7
2010.0,64.80000305175781,22.9167,-103.1,60.0,2235.7
2011.0,44.20000076293945,22.9167,-103.1,60.0,2235.7
2012.0,38.400001525878906,22.9167,-103.1,60.0,2235.7
