,Rain,Time,Latitude,Longitude,M,Z
1936.0,0.0,707110.0,58.767,56.2,57.0,123.0
1936.0,1.600000023841858,707111.0,58.767,56.2,57.0,123.0
1936.0,1.600000023841858,707112.0,58.767,56.2,57.0,123.0
1936.0,0.0,707113.0,58.767,56.2,57.0,123.0
1936.0,0.0,707114.0,58.767,56.2,57.0,123.0
1936.0,0.30000001192092896,707115.0,58.767,56.2,57.0,123.0
1936.0,0.20000000298023224,707116.0,58.767,56.2,57.0,123.0
1936.0,0.0,707117.0,58.767,56.2,57.0,123.0
1936.0,0.5,707118.0,58.767,56.2,57.0,123.0
1936.0,2.0,707119.0,58.767,56.2,57.0,123.0
1936.0,1.5,707120.0,58.767,56.2,57.0,123.0
1936.0,0.0,707121.0,58.767,56.2,57.0,123.0
1936.0,0.20000000298023224,707122.0,58.767,56.2,57.0,123.0
1936.0,0.0,707123.0,58.767,56.2,57.0,123.0
1936.0,0.0,707124.0,58.767,56.2,57.0,123.0
1936.0,0.0,707125.0,58.767,56.2,57.0,123.0
1936.0,0.699999988079071,707126.0,58.767,56.2,57.0,123.0
1936.0,0.10000000149011612,707127.0,58.767,56.2,57.0,123.0
1936.0,0.30000001192092896,707128.0,58.767,56.2,57.0,123.0
1936.0,0.20000000298023224,707129.0,58.767,56.2,57.0,123.0
1936.0,1.600000023841858,707130.0,58.767,56.2,57.0,123.0
1936.0,0.8999999761581421,707131.0,58.767,56.2,57.0,123.0
1936.0,1.2999999523162842,707132.0,58.767,56.2,57.0,123.0
1936.0,5.199999809265137,707133.0,58.767,56.2,57.0,123.0
1936.0,2.799999952316284,707134.0,58.767,56.2,57.0,123.0
1936.0,0.10000000149011612,707135.0,58.767,56.2,57.0,123.0
1936.0,0.0,707136.0,58.767,56.2,57.0,123.0
1936.0,0.4000000059604645,707137.0,58.767,56.2,57.0,123.0
1936.0,1.2000000476837158,707138.0,58.767,56.2,57.0,123.0
1936.0,0.10000000149011612,707139.0,58.767,56.2,57.0,123.0
1936.0,0.0,707140.0,58.767,56.2,57.0,123.0
1936.0,0.0,707141.0,58.767,56.2,57.0,123.0
1936.0,0.0,707142.0,58.767,56.2,57.0,123.0
1936.0,0.0,707143.0,58.767,56.2,57.0,123.0
1936.0,0.30000001192092896,707144.0,58.767,56.2,57.0,123.0
1936.0,5.599999904632568,707145.0,58.767,56.2,57.0,123.0
1936.0,0.30000001192092896,707146.0,58.767,56.2,57.0,123.0
1936.0,0.0,707147.0,58.767,56.2,57.0,123.0
1936.0,0.5,707148.0,58.767,56.2,57.0,123.0
1936.0,0.0,707149.0,58.767,56.2,57.0,123.0
1936.0,0.30000001192092896,707150.0,58.767,56.2,57.0,123.0
1936.0,2.700000047683716,707151.0,58.767,56.2,57.0,123.0
1936.0,0.0,707152.0,58.767,56.2,57.0,123.0
1936.0,0.0,707153.0,58.767,56.2,57.0,123.0
1936.0,0.800000011920929,707154.0,58.767,56.2,57.0,123.0
1936.0,2.5999999046325684,707155.0,58.767,56.2,57.0,123.0
1936.0,1.7999999523162842,707156.0,58.767,56.2,57.0,123.0
1936.0,0.20000000298023224,707157.0,58.767,56.2,57.0,123.0
1936.0,0.0,707158.0,58.767,56.2,57.0,123.0
1936.0,0.0,707159.0,58.767,56.2,57.0,123.0
1936.0,0.10000000149011612,707160.0,58.767,56.2,57.0,123.0
1936.0,0.0,707161.0,58.767,56.2,57.0,123.0
1936.0,0.0,707162.0,58.767,56.2,57.0,123.0
1936.0,0.0,707163.0,58.767,56.2,57.0,123.0
1936.0,0.0,707164.0,58.767,56.2,57.0,123.0
1936.0,0.0,707165.0,58.767,56.2,57.0,123.0
1936.0,1.2999999523162842,707166.0,58.767,56.2,57.0,123.0
1936.0,0.0,707167.0,58.767,56.2,57.0,123.0
1936.0,0.0,707168.0,58.767,56.2,57.0,123.0
1936.0,0.0,707169.0,58.767,56.2,57.0,123.0
1936.0,0.0,707170.0,58.767,56.2,57.0,123.0
1936.0,0.699999988079071,707171.0,58.767,56.2,57.0,123.0
1936.0,0.0,707172.0,58.767,56.2,57.0,123.0
1936.0,0.0,707173.0,58.767,56.2,57.0,123.0
1936.0,0.30000001192092896,707174.0,58.767,56.2,57.0,123.0
1936.0,3.200000047683716,707175.0,58.767,56.2,57.0,123.0
1936.0,0.0,707176.0,58.767,56.2,57.0,123.0
1936.0,0.0,707177.0,58.767,56.2,57.0,123.0
1936.0,0.20000000298023224,707178.0,58.767,56.2,57.0,123.0
1936.0,0.0,707179.0,58.767,56.2,57.0,123.0
1936.0,0.0,707180.0,58.767,56.2,57.0,123.0
1936.0,0.0,707181.0,58.767,56.2,57.0,123.0
1936.0,0.800000011920929,707182.0,58.767,56.2,57.0,123.0
1936.0,2.799999952316284,707183.0,58.767,56.2,57.0,123.0
1936.0,0.0,707184.0,58.767,56.2,57.0,123.0
1936.0,0.0,707185.0,58.767,56.2,57.0,123.0
1936.0,0.0,707186.0,58.767,56.2,57.0,123.0
1936.0,1.100000023841858,707187.0,58.767,56.2,57.0,123.0
1936.0,0.10000000149011612,707188.0,58.767,56.2,57.0,123.0
1936.0,0.800000011920929,707189.0,58.767,56.2,57.0,123.0
1936.0,0.699999988079071,707190.0,58.767,56.2,57.0,123.0
1936.0,0.0,707191.0,58.767,56.2,57.0,123.0
1936.0,1.0,707192.0,58.767,56.2,57.0,123.0
1936.0,0.0,707193.0,58.767,56.2,57.0,123.0
1936.0,0.0,707194.0,58.767,56.2,57.0,123.0
1936.0,0.0,707195.0,58.767,56.2,57.0,123.0
1936.0,0.10000000149011612,707196.0,58.767,56.2,57.0,123.0
1936.0,0.0,707197.0,58.767,56.2,57.0,123.0
1936.0,0.0,707198.0,58.767,56.2,57.0,123.0
1936.0,0.10000000149011612,707199.0,58.767,56.2,57.0,123.0
1936.0,0.0,707200.0,58.767,56.2,57.0,123.0
1936.0,0.0,707201.0,58.767,56.2,57.0,123.0
1936.0,0.0,707202.0,58.767,56.2,57.0,123.0
1936.0,0.0,707203.0,58.767,56.2,57.0,123.0
1936.0,0.0,707204.0,58.767,56.2,57.0,123.0
1936.0,0.0,707205.0,58.767,56.2,57.0,123.0
1936.0,1.5,707206.0,58.767,56.2,57.0,123.0
1936.0,6.0,707207.0,58.767,56.2,57.0,123.0
1936.0,2.0,707208.0,58.767,56.2,57.0,123.0
1936.0,0.0,707209.0,58.767,56.2,57.0,123.0
1936.0,0.0,707210.0,58.767,56.2,57.0,123.0
1936.0,0.30000001192092896,707211.0,58.767,56.2,57.0,123.0
1936.0,3.0,707212.0,58.767,56.2,57.0,123.0
1936.0,0.0,707213.0,58.767,56.2,57.0,123.0
1936.0,0.0,707214.0,58.767,56.2,57.0,123.0
1936.0,0.0,707215.0,58.767,56.2,57.0,123.0
1936.0,0.0,707216.0,58.767,56.2,57.0,123.0
1936.0,0.0,707217.0,58.767,56.2,57.0,123.0
1936.0,0.0,707218.0,58.767,56.2,57.0,123.0
1936.0,0.0,707219.0,58.767,56.2,57.0,123.0
1936.0,0.0,707220.0,58.767,56.2,57.0,123.0
1936.0,0.0,707221.0,58.767,56.2,57.0,123.0
1936.0,0.4000000059604645,707222.0,58.767,56.2,57.0,123.0
1936.0,0.0,707223.0,58.767,56.2,57.0,123.0
1936.0,0.0,707224.0,58.767,56.2,57.0,123.0
1936.0,0.0,707225.0,58.767,56.2,57.0,123.0
1936.0,0.0,707226.0,58.767,56.2,57.0,123.0
1936.0,0.0,707227.0,58.767,56.2,57.0,123.0
1936.0,0.0,707228.0,58.767,56.2,57.0,123.0
1936.0,0.0,707229.0,58.767,56.2,57.0,123.0
1936.0,0.0,707230.0,58.767,56.2,57.0,123.0
1936.0,0.0,707231.0,58.767,56.2,57.0,123.0
1936.0,0.0,707232.0,58.767,56.2,57.0,123.0
1936.0,0.0,707233.0,58.767,56.2,57.0,123.0
1936.0,0.0,707234.0,58.767,56.2,57.0,123.0
1936.0,0.0,707235.0,58.767,56.2,57.0,123.0
1936.0,0.0,707236.0,58.767,56.2,57.0,123.0
1936.0,0.0,707237.0,58.767,56.2,57.0,123.0
1936.0,0.0,707238.0,58.767,56.2,57.0,123.0
1936.0,0.0,707239.0,58.767,56.2,57.0,123.0
1936.0,0.0,707240.0,58.767,56.2,57.0,123.0
1936.0,0.0,707241.0,58.767,56.2,57.0,123.0
1936.0,0.0,707242.0,58.767,56.2,57.0,123.0
1936.0,0.0,707243.0,58.767,56.2,57.0,123.0
1936.0,4.400000095367432,707244.0,58.767,56.2,57.0,123.0
1936.0,0.20000000298023224,707245.0,58.767,56.2,57.0,123.0
1936.0,0.0,707246.0,58.767,56.2,57.0,123.0
1936.0,0.0,707247.0,58.767,56.2,57.0,123.0
1936.0,0.0,707248.0,58.767,56.2,57.0,123.0
1936.0,0.0,707249.0,58.767,56.2,57.0,123.0
1936.0,0.0,707250.0,58.767,56.2,57.0,123.0
1936.0,0.0,707251.0,58.767,56.2,57.0,123.0
1936.0,0.0,707252.0,58.767,56.2,57.0,123.0
1936.0,0.0,707253.0,58.767,56.2,57.0,123.0
1936.0,6.199999809265137,707254.0,58.767,56.2,57.0,123.0
1936.0,0.0,707255.0,58.767,56.2,57.0,123.0
1936.0,0.6000000238418579,707256.0,58.767,56.2,57.0,123.0
1936.0,0.0,707257.0,58.767,56.2,57.0,123.0
1936.0,0.0,707258.0,58.767,56.2,57.0,123.0
1936.0,0.0,707259.0,58.767,56.2,57.0,123.0
1936.0,0.0,707260.0,58.767,56.2,57.0,123.0
1936.0,1.5,707261.0,58.767,56.2,57.0,123.0
1936.0,0.0,707262.0,58.767,56.2,57.0,123.0
1936.0,0.0,707263.0,58.767,56.2,57.0,123.0
1936.0,0.0,707264.0,58.767,56.2,57.0,123.0
1936.0,0.0,707265.0,58.767,56.2,57.0,123.0
1936.0,0.0,707266.0,58.767,56.2,57.0,123.0
1936.0,1.600000023841858,707267.0,58.767,56.2,57.0,123.0
1936.0,0.0,707268.0,58.767,56.2,57.0,123.0
1936.0,0.0,707269.0,58.767,56.2,57.0,123.0
1936.0,0.0,707270.0,58.767,56.2,57.0,123.0
1936.0,0.0,707271.0,58.767,56.2,57.0,123.0
1936.0,0.0,707272.0,58.767,56.2,57.0,123.0
1936.0,0.0,707273.0,58.767,56.2,57.0,123.0
1936.0,0.0,707274.0,58.767,56.2,57.0,123.0
1936.0,0.0,707275.0,58.767,56.2,57.0,123.0
1936.0,5.0,707276.0,58.767,56.2,57.0,123.0
1936.0,0.0,707277.0,58.767,56.2,57.0,123.0
1936.0,0.0,707278.0,58.767,56.2,57.0,123.0
1936.0,0.0,707279.0,58.767,56.2,57.0,123.0
1936.0,0.0,707280.0,58.767,56.2,57.0,123.0
1936.0,0.0,707281.0,58.767,56.2,57.0,123.0
1936.0,5.5,707282.0,58.767,56.2,57.0,123.0
1936.0,0.0,707283.0,58.767,56.2,57.0,123.0
1936.0,0.0,707284.0,58.767,56.2,57.0,123.0
1936.0,0.0,707285.0,58.767,56.2,57.0,123.0
1936.0,3.0999999046325684,707286.0,58.767,56.2,57.0,123.0
1936.0,2.799999952316284,707287.0,58.767,56.2,57.0,123.0
1936.0,6.300000190734863,707288.0,58.767,56.2,57.0,123.0
1936.0,0.30000001192092896,707289.0,58.767,56.2,57.0,123.0
1936.0,8.800000190734863,707290.0,58.767,56.2,57.0,123.0
1936.0,2.4000000953674316,707291.0,58.767,56.2,57.0,123.0
1936.0,0.0,707292.0,58.767,56.2,57.0,123.0
1936.0,3.0999999046325684,707293.0,58.767,56.2,57.0,123.0
1936.0,2.0,707294.0,58.767,56.2,57.0,123.0
1936.0,0.0,707295.0,58.767,56.2,57.0,123.0
1936.0,0.0,707296.0,58.767,56.2,57.0,123.0
1936.0,0.0,707297.0,58.767,56.2,57.0,123.0
1936.0,0.0,707298.0,58.767,56.2,57.0,123.0
1936.0,0.0,707299.0,58.767,56.2,57.0,123.0
1936.0,0.8999999761581421,707300.0,58.767,56.2,57.0,123.0
1936.0,0.0,707301.0,58.767,56.2,57.0,123.0
1936.0,0.0,707302.0,58.767,56.2,57.0,123.0
1936.0,0.0,707303.0,58.767,56.2,57.0,123.0
1936.0,5.0,707304.0,58.767,56.2,57.0,123.0
1936.0,0.0,707305.0,58.767,56.2,57.0,123.0
1936.0,0.699999988079071,707306.0,58.767,56.2,57.0,123.0
1936.0,0.4000000059604645,707307.0,58.767,56.2,57.0,123.0
1936.0,0.0,707308.0,58.767,56.2,57.0,123.0
1936.0,0.0,707309.0,58.767,56.2,57.0,123.0
1936.0,1.7999999523162842,707310.0,58.767,56.2,57.0,123.0
1936.0,0.0,707311.0,58.767,56.2,57.0,123.0
1936.0,0.0,707312.0,58.767,56.2,57.0,123.0
1936.0,2.5999999046325684,707313.0,58.767,56.2,57.0,123.0
1936.0,0.0,707314.0,58.767,56.2,57.0,123.0
1936.0,0.0,707315.0,58.767,56.2,57.0,123.0
1936.0,0.0,707316.0,58.767,56.2,57.0,123.0
1936.0,0.0,707317.0,58.767,56.2,57.0,123.0
1936.0,0.0,707318.0,58.767,56.2,57.0,123.0
1936.0,0.0,707319.0,58.767,56.2,57.0,123.0
1936.0,0.0,707320.0,58.767,56.2,57.0,123.0
1936.0,0.0,707321.0,58.767,56.2,57.0,123.0
1936.0,0.0,707322.0,58.767,56.2,57.0,123.0
1936.0,0.0,707323.0,58.767,56.2,57.0,123.0
1936.0,0.0,707324.0,58.767,56.2,57.0,123.0
1936.0,0.0,707325.0,58.767,56.2,57.0,123.0
1936.0,0.0,707326.0,58.767,56.2,57.0,123.0
1936.0,0.0,707327.0,58.767,56.2,57.0,123.0
1936.0,0.0,707328.0,58.767,56.2,57.0,123.0
1936.0,0.0,707329.0,58.767,56.2,57.0,123.0
1936.0,0.0,707330.0,58.767,56.2,57.0,123.0
1936.0,0.0,707331.0,58.767,56.2,57.0,123.0
1936.0,0.0,707332.0,58.767,56.2,57.0,123.0
1936.0,0.0,707333.0,58.767,56.2,57.0,123.0
1936.0,0.0,707334.0,58.767,56.2,57.0,123.0
1936.0,0.0,707335.0,58.767,56.2,57.0,123.0
1936.0,0.0,707336.0,58.767,56.2,57.0,123.0
1936.0,1.0,707337.0,58.767,56.2,57.0,123.0
1936.0,0.800000011920929,707338.0,58.767,56.2,57.0,123.0
1936.0,0.0,707339.0,58.767,56.2,57.0,123.0
1936.0,0.0,707340.0,58.767,56.2,57.0,123.0
1936.0,0.0,707341.0,58.767,56.2,57.0,123.0
1936.0,0.0,707342.0,58.767,56.2,57.0,123.0
1936.0,0.0,707343.0,58.767,56.2,57.0,123.0
1936.0,0.0,707344.0,58.767,56.2,57.0,123.0
1936.0,0.0,707345.0,58.767,56.2,57.0,123.0
1936.0,0.699999988079071,707346.0,58.767,56.2,57.0,123.0
1936.0,0.0,707347.0,58.767,56.2,57.0,123.0
1936.0,0.0,707348.0,58.767,56.2,57.0,123.0
1936.0,0.0,707349.0,58.767,56.2,57.0,123.0
1936.0,0.0,707350.0,58.767,56.2,57.0,123.0
1936.0,0.0,707351.0,58.767,56.2,57.0,123.0
1936.0,0.0,707352.0,58.767,56.2,57.0,123.0
1936.0,4.099999904632568,707353.0,58.767,56.2,57.0,123.0
1936.0,1.0,707354.0,58.767,56.2,57.0,123.0
1936.0,1.2000000476837158,707355.0,58.767,56.2,57.0,123.0
1936.0,9.199999809265137,707356.0,58.767,56.2,57.0,123.0
1936.0,1.600000023841858,707357.0,58.767,56.2,57.0,123.0
1936.0,6.400000095367432,707358.0,58.767,56.2,57.0,123.0
1936.0,0.5,707359.0,58.767,56.2,57.0,123.0
1936.0,0.0,707360.0,58.767,56.2,57.0,123.0
1936.0,0.0,707361.0,58.767,56.2,57.0,123.0
1936.0,3.700000047683716,707362.0,58.767,56.2,57.0,123.0
1936.0,13.300000190734863,707363.0,58.767,56.2,57.0,123.0
1936.0,5.5,707364.0,58.767,56.2,57.0,123.0
1936.0,0.0,707365.0,58.767,56.2,57.0,123.0
1936.0,0.800000011920929,707366.0,58.767,56.2,57.0,123.0
1936.0,5.300000190734863,707367.0,58.767,56.2,57.0,123.0
