,Rain,Time,Latitude,Longitude,M,Z
1961.0,0.0,716242.0,35.733,140.85,56.0,28.0
1961.0,0.0,716243.0,35.733,140.85,56.0,28.0
1961.0,0.0,716244.0,35.733,140.85,56.0,28.0
1961.0,9.0,716245.0,35.733,140.85,56.0,28.0
1961.0,0.0,716246.0,35.733,140.85,56.0,28.0
1961.0,0.0,716247.0,35.733,140.85,56.0,28.0
1961.0,0.0,716248.0,35.733,140.85,56.0,28.0
1961.0,1.0,716249.0,35.733,140.85,56.0,28.0
1961.0,12.0,716250.0,35.733,140.85,56.0,28.0
1961.0,15.0,716251.0,35.733,140.85,56.0,28.0
1961.0,7.0,716252.0,35.733,140.85,56.0,28.0
1961.0,0.0,716253.0,35.733,140.85,56.0,28.0
1961.0,0.0,716254.0,35.733,140.85,56.0,28.0
1961.0,0.0,716255.0,35.733,140.85,56.0,28.0
1961.0,0.0,716256.0,35.733,140.85,56.0,28.0
1961.0,0.0,716257.0,35.733,140.85,56.0,28.0
1961.0,0.0,716258.0,35.733,140.85,56.0,28.0
1961.0,0.0,716259.0,35.733,140.85,56.0,28.0
1961.0,0.0,716260.0,35.733,140.85,56.0,28.0
1961.0,0.0,716261.0,35.733,140.85,56.0,28.0
1961.0,0.0,716262.0,35.733,140.85,56.0,28.0
1961.0,0.0,716263.0,35.733,140.85,56.0,28.0
1961.0,0.0,716264.0,35.733,140.85,56.0,28.0
1961.0,18.0,716265.0,35.733,140.85,56.0,28.0
1961.0,0.0,716266.0,35.733,140.85,56.0,28.0
1961.0,0.0,716267.0,35.733,140.85,56.0,28.0
1961.0,0.0,716268.0,35.733,140.85,56.0,28.0
1961.0,0.0,716269.0,35.733,140.85,56.0,28.0
1961.0,8.0,716270.0,35.733,140.85,56.0,28.0
1961.0,12.0,716271.0,35.733,140.85,56.0,28.0
1961.0,0.0,716272.0,35.733,140.85,56.0,28.0
1961.0,0.0,716273.0,35.733,140.85,56.0,28.0
1961.0,0.0,716274.0,35.733,140.85,56.0,28.0
1961.0,0.0,716275.0,35.733,140.85,56.0,28.0
1961.0,0.0,716276.0,35.733,140.85,56.0,28.0
1961.0,5.0,716277.0,35.733,140.85,56.0,28.0
1961.0,30.0,716278.0,35.733,140.85,56.0,28.0
1961.0,0.0,716279.0,35.733,140.85,56.0,28.0
1961.0,0.0,716280.0,35.733,140.85,56.0,28.0
1961.0,0.0,716281.0,35.733,140.85,56.0,28.0
1961.0,0.0,716282.0,35.733,140.85,56.0,28.0
1961.0,5.0,716283.0,35.733,140.85,56.0,28.0
1961.0,0.0,716284.0,35.733,140.85,56.0,28.0
1961.0,0.0,716285.0,35.733,140.85,56.0,28.0
1961.0,0.0,716286.0,35.733,140.85,56.0,28.0
1961.0,0.0,716287.0,35.733,140.85,56.0,28.0
1961.0,0.0,716288.0,35.733,140.85,56.0,28.0
1961.0,0.0,716289.0,35.733,140.85,56.0,28.0
1961.0,0.0,716290.0,35.733,140.85,56.0,28.0
1961.0,0.0,716291.0,35.733,140.85,56.0,28.0
1961.0,0.0,716292.0,35.733,140.85,56.0,28.0
1961.0,2.0,716293.0,35.733,140.85,56.0,28.0
1961.0,0.0,716294.0,35.733,140.85,56.0,28.0
1961.0,0.0,716295.0,35.733,140.85,56.0,28.0
1961.0,0.0,716296.0,35.733,140.85,56.0,28.0
1961.0,20.0,716297.0,35.733,140.85,56.0,28.0
1961.0,31.0,716298.0,35.733,140.85,56.0,28.0
1961.0,0.0,716299.0,35.733,140.85,56.0,28.0
1961.0,0.0,716300.0,35.733,140.85,56.0,28.0
1961.0,0.0,716301.0,35.733,140.85,56.0,28.0
1961.0,0.0,716302.0,35.733,140.85,56.0,28.0
1961.0,31.0,716303.0,35.733,140.85,56.0,28.0
1961.0,4.0,716304.0,35.733,140.85,56.0,28.0
1961.0,2.0,716305.0,35.733,140.85,56.0,28.0
1961.0,0.0,716306.0,35.733,140.85,56.0,28.0
1961.0,0.0,716307.0,35.733,140.85,56.0,28.0
1961.0,1.0,716308.0,35.733,140.85,56.0,28.0
1961.0,0.0,716309.0,35.733,140.85,56.0,28.0
1961.0,0.0,716310.0,35.733,140.85,56.0,28.0
1961.0,0.0,716311.0,35.733,140.85,56.0,28.0
1961.0,0.0,716312.0,35.733,140.85,56.0,28.0
1961.0,13.0,716313.0,35.733,140.85,56.0,28.0
1961.0,4.0,716314.0,35.733,140.85,56.0,28.0
1961.0,2.0,716315.0,35.733,140.85,56.0,28.0
1961.0,30.0,716316.0,35.733,140.85,56.0,28.0
1961.0,0.0,716317.0,35.733,140.85,56.0,28.0
1961.0,0.0,716318.0,35.733,140.85,56.0,28.0
1961.0,30.0,716319.0,35.733,140.85,56.0,28.0
1961.0,0.0,716320.0,35.733,140.85,56.0,28.0
1961.0,0.0,716321.0,35.733,140.85,56.0,28.0
1961.0,0.0,716322.0,35.733,140.85,56.0,28.0
1961.0,0.0,716323.0,35.733,140.85,56.0,28.0
1961.0,0.0,716324.0,35.733,140.85,56.0,28.0
1961.0,0.0,716325.0,35.733,140.85,56.0,28.0
1961.0,38.0,716326.0,35.733,140.85,56.0,28.0
1961.0,9.0,716327.0,35.733,140.85,56.0,28.0
1961.0,0.0,716328.0,35.733,140.85,56.0,28.0
1961.0,2.0,716329.0,35.733,140.85,56.0,28.0
1961.0,0.0,716330.0,35.733,140.85,56.0,28.0
1961.0,0.0,716331.0,35.733,140.85,56.0,28.0
1961.0,0.0,716332.0,35.733,140.85,56.0,28.0
1961.0,5.0,716333.0,35.733,140.85,56.0,28.0
1961.0,0.0,716334.0,35.733,140.85,56.0,28.0
1961.0,0.0,716335.0,35.733,140.85,56.0,28.0
1961.0,2.0,716336.0,35.733,140.85,56.0,28.0
1961.0,0.0,716337.0,35.733,140.85,56.0,28.0
1961.0,0.0,716338.0,35.733,140.85,56.0,28.0
1961.0,21.0,716339.0,35.733,140.85,56.0,28.0
1961.0,3.0,716340.0,35.733,140.85,56.0,28.0
1961.0,0.0,716341.0,35.733,140.85,56.0,28.0
1961.0,0.0,716342.0,35.733,140.85,56.0,28.0
1961.0,9.0,716343.0,35.733,140.85,56.0,28.0
1961.0,1.0,716344.0,35.733,140.85,56.0,28.0
1961.0,4.0,716345.0,35.733,140.85,56.0,28.0
1961.0,27.0,716346.0,35.733,140.85,56.0,28.0
1961.0,0.0,716347.0,35.733,140.85,56.0,28.0
1961.0,0.0,716348.0,35.733,140.85,56.0,28.0
1961.0,0.0,716349.0,35.733,140.85,56.0,28.0
1961.0,0.0,716350.0,35.733,140.85,56.0,28.0
1961.0,0.0,716351.0,35.733,140.85,56.0,28.0
1961.0,2.0,716352.0,35.733,140.85,56.0,28.0
1961.0,0.0,716353.0,35.733,140.85,56.0,28.0
1961.0,0.0,716354.0,35.733,140.85,56.0,28.0
1961.0,3.0,716355.0,35.733,140.85,56.0,28.0
1961.0,0.0,716356.0,35.733,140.85,56.0,28.0
1961.0,26.0,716357.0,35.733,140.85,56.0,28.0
1961.0,4.0,716358.0,35.733,140.85,56.0,28.0
1961.0,0.0,716359.0,35.733,140.85,56.0,28.0
1961.0,2.0,716360.0,35.733,140.85,56.0,28.0
1961.0,0.0,716361.0,35.733,140.85,56.0,28.0
1961.0,0.0,716362.0,35.733,140.85,56.0,28.0
1961.0,0.0,716363.0,35.733,140.85,56.0,28.0
1961.0,36.0,716364.0,35.733,140.85,56.0,28.0
1961.0,9.0,716365.0,35.733,140.85,56.0,28.0
1961.0,0.0,716366.0,35.733,140.85,56.0,28.0
1961.0,0.0,716367.0,35.733,140.85,56.0,28.0
1961.0,1.0,716368.0,35.733,140.85,56.0,28.0
1961.0,0.0,716369.0,35.733,140.85,56.0,28.0
1961.0,0.0,716370.0,35.733,140.85,56.0,28.0
1961.0,0.0,716371.0,35.733,140.85,56.0,28.0
1961.0,0.0,716372.0,35.733,140.85,56.0,28.0
1961.0,2.0,716373.0,35.733,140.85,56.0,28.0
1961.0,0.0,716374.0,35.733,140.85,56.0,28.0
1961.0,16.0,716375.0,35.733,140.85,56.0,28.0
1961.0,4.0,716376.0,35.733,140.85,56.0,28.0
1961.0,2.0,716377.0,35.733,140.85,56.0,28.0
1961.0,0.0,716378.0,35.733,140.85,56.0,28.0
1961.0,29.0,716379.0,35.733,140.85,56.0,28.0
1961.0,3.0,716380.0,35.733,140.85,56.0,28.0
1961.0,0.0,716381.0,35.733,140.85,56.0,28.0
1961.0,0.0,716382.0,35.733,140.85,56.0,28.0
1961.0,0.0,716383.0,35.733,140.85,56.0,28.0
1961.0,10.0,716384.0,35.733,140.85,56.0,28.0
1961.0,5.0,716385.0,35.733,140.85,56.0,28.0
1961.0,0.0,716386.0,35.733,140.85,56.0,28.0
1961.0,0.0,716387.0,35.733,140.85,56.0,28.0
1961.0,0.0,716388.0,35.733,140.85,56.0,28.0
1961.0,0.0,716389.0,35.733,140.85,56.0,28.0
1961.0,0.0,716390.0,35.733,140.85,56.0,28.0
1961.0,0.0,716391.0,35.733,140.85,56.0,28.0
1961.0,4.0,716392.0,35.733,140.85,56.0,28.0
1961.0,0.0,716393.0,35.733,140.85,56.0,28.0
1961.0,0.0,716394.0,35.733,140.85,56.0,28.0
1961.0,0.0,716395.0,35.733,140.85,56.0,28.0
1961.0,0.0,716396.0,35.733,140.85,56.0,28.0
1961.0,2.0,716397.0,35.733,140.85,56.0,28.0
1961.0,0.0,716398.0,35.733,140.85,56.0,28.0
1961.0,0.0,716399.0,35.733,140.85,56.0,28.0
1961.0,0.0,716400.0,35.733,140.85,56.0,28.0
1961.0,19.0,716401.0,35.733,140.85,56.0,28.0
1961.0,0.0,716402.0,35.733,140.85,56.0,28.0
1961.0,0.0,716403.0,35.733,140.85,56.0,28.0
1961.0,0.0,716404.0,35.733,140.85,56.0,28.0
1961.0,21.0,716405.0,35.733,140.85,56.0,28.0
1961.0,18.0,716406.0,35.733,140.85,56.0,28.0
1961.0,0.0,716407.0,35.733,140.85,56.0,28.0
1961.0,9.0,716408.0,35.733,140.85,56.0,28.0
1961.0,5.0,716409.0,35.733,140.85,56.0,28.0
1961.0,0.0,716410.0,35.733,140.85,56.0,28.0
1961.0,0.0,716411.0,35.733,140.85,56.0,28.0
1961.0,0.0,716412.0,35.733,140.85,56.0,28.0
1961.0,0.0,716413.0,35.733,140.85,56.0,28.0
1961.0,0.0,716414.0,35.733,140.85,56.0,28.0
1961.0,21.0,716415.0,35.733,140.85,56.0,28.0
1961.0,2.0,716416.0,35.733,140.85,56.0,28.0
1961.0,3.0,716417.0,35.733,140.85,56.0,28.0
1961.0,4.0,716418.0,35.733,140.85,56.0,28.0
1961.0,5.0,716419.0,35.733,140.85,56.0,28.0
1961.0,82.0,716420.0,35.733,140.85,56.0,28.0
1961.0,5.0,716421.0,35.733,140.85,56.0,28.0
1961.0,0.0,716422.0,35.733,140.85,56.0,28.0
1961.0,1.0,716423.0,35.733,140.85,56.0,28.0
1961.0,0.0,716424.0,35.733,140.85,56.0,28.0
1961.0,0.0,716425.0,35.733,140.85,56.0,28.0
1961.0,1.0,716426.0,35.733,140.85,56.0,28.0
1961.0,0.0,716427.0,35.733,140.85,56.0,28.0
1961.0,0.0,716428.0,35.733,140.85,56.0,28.0
1961.0,0.0,716429.0,35.733,140.85,56.0,28.0
1961.0,0.0,716430.0,35.733,140.85,56.0,28.0
1961.0,0.0,716431.0,35.733,140.85,56.0,28.0
1961.0,0.0,716432.0,35.733,140.85,56.0,28.0
1961.0,18.0,716433.0,35.733,140.85,56.0,28.0
1961.0,0.0,716434.0,35.733,140.85,56.0,28.0
1961.0,0.0,716435.0,35.733,140.85,56.0,28.0
1961.0,0.0,716436.0,35.733,140.85,56.0,28.0
1961.0,0.0,716437.0,35.733,140.85,56.0,28.0
1961.0,0.0,716438.0,35.733,140.85,56.0,28.0
1961.0,3.0,716439.0,35.733,140.85,56.0,28.0
1961.0,0.0,716440.0,35.733,140.85,56.0,28.0
1961.0,0.0,716441.0,35.733,140.85,56.0,28.0
1961.0,0.0,716442.0,35.733,140.85,56.0,28.0
1961.0,0.0,716443.0,35.733,140.85,56.0,28.0
1961.0,0.0,716444.0,35.733,140.85,56.0,28.0
1961.0,0.0,716445.0,35.733,140.85,56.0,28.0
1961.0,0.0,716446.0,35.733,140.85,56.0,28.0
1961.0,0.0,716447.0,35.733,140.85,56.0,28.0
1961.0,0.0,716448.0,35.733,140.85,56.0,28.0
1961.0,0.0,716449.0,35.733,140.85,56.0,28.0
1961.0,0.0,716450.0,35.733,140.85,56.0,28.0
1961.0,0.0,716451.0,35.733,140.85,56.0,28.0
1961.0,0.0,716452.0,35.733,140.85,56.0,28.0
1961.0,0.0,716453.0,35.733,140.85,56.0,28.0
1961.0,0.0,716454.0,35.733,140.85,56.0,28.0
1961.0,0.0,716455.0,35.733,140.85,56.0,28.0
1961.0,0.0,716456.0,35.733,140.85,56.0,28.0
1961.0,1.0,716457.0,35.733,140.85,56.0,28.0
1961.0,31.0,716458.0,35.733,140.85,56.0,28.0
1961.0,31.0,716459.0,35.733,140.85,56.0,28.0
1961.0,0.0,716460.0,35.733,140.85,56.0,28.0
1961.0,0.0,716461.0,35.733,140.85,56.0,28.0
1961.0,0.0,716462.0,35.733,140.85,56.0,28.0
1961.0,0.0,716463.0,35.733,140.85,56.0,28.0
1961.0,0.0,716464.0,35.733,140.85,56.0,28.0
1961.0,0.0,716465.0,35.733,140.85,56.0,28.0
1961.0,0.0,716466.0,35.733,140.85,56.0,28.0
1961.0,0.0,716467.0,35.733,140.85,56.0,28.0
1961.0,0.0,716468.0,35.733,140.85,56.0,28.0
1961.0,0.0,716469.0,35.733,140.85,56.0,28.0
1961.0,0.0,716470.0,35.733,140.85,56.0,28.0
1961.0,0.0,716471.0,35.733,140.85,56.0,28.0
1961.0,3.0,716472.0,35.733,140.85,56.0,28.0
1961.0,2.0,716473.0,35.733,140.85,56.0,28.0
1961.0,3.0,716474.0,35.733,140.85,56.0,28.0
1961.0,56.0,716475.0,35.733,140.85,56.0,28.0
1961.0,1.0,716476.0,35.733,140.85,56.0,28.0
1961.0,0.0,716477.0,35.733,140.85,56.0,28.0
1961.0,0.0,716478.0,35.733,140.85,56.0,28.0
1961.0,0.0,716479.0,35.733,140.85,56.0,28.0
1961.0,0.0,716480.0,35.733,140.85,56.0,28.0
1961.0,33.0,716481.0,35.733,140.85,56.0,28.0
1961.0,0.0,716482.0,35.733,140.85,56.0,28.0
1961.0,0.0,716483.0,35.733,140.85,56.0,28.0
1961.0,0.0,716484.0,35.733,140.85,56.0,28.0
1961.0,0.0,716485.0,35.733,140.85,56.0,28.0
1961.0,0.0,716486.0,35.733,140.85,56.0,28.0
1961.0,16.0,716487.0,35.733,140.85,56.0,28.0
1961.0,0.0,716488.0,35.733,140.85,56.0,28.0
1961.0,0.0,716489.0,35.733,140.85,56.0,28.0
1961.0,18.0,716490.0,35.733,140.85,56.0,28.0
1961.0,22.0,716491.0,35.733,140.85,56.0,28.0
1961.0,0.0,716492.0,35.733,140.85,56.0,28.0
1961.0,0.0,716493.0,35.733,140.85,56.0,28.0
1961.0,0.0,716494.0,35.733,140.85,56.0,28.0
1961.0,0.0,716495.0,35.733,140.85,56.0,28.0
1961.0,0.0,716496.0,35.733,140.85,56.0,28.0
1961.0,0.0,716497.0,35.733,140.85,56.0,28.0
1961.0,0.0,716498.0,35.733,140.85,56.0,28.0
1961.0,0.0,716499.0,35.733,140.85,56.0,28.0
1961.0,1.0,716500.0,35.733,140.85,56.0,28.0
1961.0,0.0,716501.0,35.733,140.85,56.0,28.0
1961.0,0.0,716502.0,35.733,140.85,56.0,28.0
1961.0,0.0,716503.0,35.733,140.85,56.0,28.0
1961.0,0.0,716504.0,35.733,140.85,56.0,28.0
1961.0,0.0,716505.0,35.733,140.85,56.0,28.0
1961.0,0.0,716506.0,35.733,140.85,56.0,28.0
1961.0,0.0,716507.0,35.733,140.85,56.0,28.0
1961.0,0.0,716508.0,35.733,140.85,56.0,28.0
1961.0,0.0,716509.0,35.733,140.85,56.0,28.0
1961.0,0.0,716510.0,35.733,140.85,56.0,28.0
1961.0,4.0,716511.0,35.733,140.85,56.0,28.0
1961.0,0.0,716512.0,35.733,140.85,56.0,28.0
1961.0,0.0,716513.0,35.733,140.85,56.0,28.0
1961.0,73.0,716514.0,35.733,140.85,56.0,28.0
1961.0,0.0,716515.0,35.733,140.85,56.0,28.0
1961.0,39.0,716516.0,35.733,140.85,56.0,28.0
1961.0,19.0,716517.0,35.733,140.85,56.0,28.0
1961.0,29.0,716518.0,35.733,140.85,56.0,28.0
1961.0,4.0,716519.0,35.733,140.85,56.0,28.0
1961.0,0.0,716520.0,35.733,140.85,56.0,28.0
1961.0,8.0,716521.0,35.733,140.85,56.0,28.0
1961.0,5.0,716522.0,35.733,140.85,56.0,28.0
1961.0,42.0,716523.0,35.733,140.85,56.0,28.0
1961.0,1.0,716524.0,35.733,140.85,56.0,28.0
1961.0,0.0,716525.0,35.733,140.85,56.0,28.0
1961.0,0.0,716526.0,35.733,140.85,56.0,28.0
1961.0,0.0,716527.0,35.733,140.85,56.0,28.0
1961.0,0.0,716528.0,35.733,140.85,56.0,28.0
1961.0,30.0,716529.0,35.733,140.85,56.0,28.0
1961.0,0.0,716530.0,35.733,140.85,56.0,28.0
1961.0,0.0,716531.0,35.733,140.85,56.0,28.0
1961.0,1.0,716532.0,35.733,140.85,56.0,28.0
1961.0,0.0,716533.0,35.733,140.85,56.0,28.0
1961.0,24.0,716534.0,35.733,140.85,56.0,28.0
1961.0,7.0,716535.0,35.733,140.85,56.0,28.0
1961.0,4.0,716536.0,35.733,140.85,56.0,28.0
1961.0,25.0,716537.0,35.733,140.85,56.0,28.0
1961.0,0.0,716538.0,35.733,140.85,56.0,28.0
1961.0,0.0,716539.0,35.733,140.85,56.0,28.0
1961.0,1.0,716540.0,35.733,140.85,56.0,28.0
1961.0,19.0,716541.0,35.733,140.85,56.0,28.0
1961.0,14.0,716542.0,35.733,140.85,56.0,28.0
1961.0,1.0,716543.0,35.733,140.85,56.0,28.0
1961.0,0.0,716544.0,35.733,140.85,56.0,28.0
1961.0,0.0,716545.0,35.733,140.85,56.0,28.0
1961.0,0.0,716546.0,35.733,140.85,56.0,28.0
1961.0,0.0,716547.0,35.733,140.85,56.0,28.0
1961.0,0.0,716548.0,35.733,140.85,56.0,28.0
1961.0,1.0,716549.0,35.733,140.85,56.0,28.0
1961.0,0.0,716550.0,35.733,140.85,56.0,28.0
1961.0,9.0,716551.0,35.733,140.85,56.0,28.0
1961.0,1.0,716552.0,35.733,140.85,56.0,28.0
1961.0,0.0,716553.0,35.733,140.85,56.0,28.0
1961.0,0.0,716554.0,35.733,140.85,56.0,28.0
1961.0,0.0,716555.0,35.733,140.85,56.0,28.0
1961.0,0.0,716556.0,35.733,140.85,56.0,28.0
1961.0,0.0,716557.0,35.733,140.85,56.0,28.0
1961.0,0.0,716558.0,35.733,140.85,56.0,28.0
1961.0,0.0,716559.0,35.733,140.85,56.0,28.0
1961.0,0.0,716560.0,35.733,140.85,56.0,28.0
1961.0,0.0,716561.0,35.733,140.85,56.0,28.0
1961.0,7.0,716562.0,35.733,140.85,56.0,28.0
1961.0,3.0,716563.0,35.733,140.85,56.0,28.0
1961.0,1.0,716564.0,35.733,140.85,56.0,28.0
1961.0,0.0,716565.0,35.733,140.85,56.0,28.0
1961.0,3.0,716566.0,35.733,140.85,56.0,28.0
1961.0,23.0,716567.0,35.733,140.85,56.0,28.0
1961.0,0.0,716568.0,35.733,140.85,56.0,28.0
1961.0,0.0,716569.0,35.733,140.85,56.0,28.0
1961.0,0.0,716570.0,35.733,140.85,56.0,28.0
1961.0,0.0,716571.0,35.733,140.85,56.0,28.0
1961.0,0.0,716572.0,35.733,140.85,56.0,28.0
1961.0,7.0,716573.0,35.733,140.85,56.0,28.0
1961.0,3.0,716574.0,35.733,140.85,56.0,28.0
1961.0,3.0,716575.0,35.733,140.85,56.0,28.0
1961.0,19.0,716576.0,35.733,140.85,56.0,28.0
1961.0,0.0,716577.0,35.733,140.85,56.0,28.0
1961.0,0.0,716578.0,35.733,140.85,56.0,28.0
1961.0,6.0,716579.0,35.733,140.85,56.0,28.0
1961.0,1.0,716580.0,35.733,140.85,56.0,28.0
1961.0,4.0,716581.0,35.733,140.85,56.0,28.0
1961.0,0.0,716582.0,35.733,140.85,56.0,28.0
1961.0,0.0,716583.0,35.733,140.85,56.0,28.0
1961.0,0.0,716584.0,35.733,140.85,56.0,28.0
1961.0,0.0,716585.0,35.733,140.85,56.0,28.0
1961.0,0.0,716586.0,35.733,140.85,56.0,28.0
1961.0,0.0,716587.0,35.733,140.85,56.0,28.0
1961.0,0.0,716588.0,35.733,140.85,56.0,28.0
1961.0,0.0,716589.0,35.733,140.85,56.0,28.0
1961.0,0.0,716590.0,35.733,140.85,56.0,28.0
1961.0,2.0,716591.0,35.733,140.85,56.0,28.0
1961.0,16.0,716592.0,35.733,140.85,56.0,28.0
1961.0,0.0,716593.0,35.733,140.85,56.0,28.0
1961.0,0.0,716594.0,35.733,140.85,56.0,28.0
1961.0,2.0,716595.0,35.733,140.85,56.0,28.0
1961.0,0.0,716596.0,35.733,140.85,56.0,28.0
1961.0,0.0,716597.0,35.733,140.85,56.0,28.0
1961.0,0.0,716598.0,35.733,140.85,56.0,28.0
1961.0,0.0,716599.0,35.733,140.85,56.0,28.0
1961.0,0.0,716600.0,35.733,140.85,56.0,28.0
1961.0,0.0,716601.0,35.733,140.85,56.0,28.0
1961.0,0.0,716602.0,35.733,140.85,56.0,28.0
1961.0,0.0,716603.0,35.733,140.85,56.0,28.0
1961.0,0.0,716604.0,35.733,140.85,56.0,28.0
1961.0,0.0,716605.0,35.733,140.85,56.0,28.0
1961.0,0.0,716606.0,35.733,140.85,56.0,28.0
1962.0,26.0,716607.0,35.733,140.85,56.0,28.0
1962.0,1.0,716608.0,35.733,140.85,56.0,28.0
1962.0,0.0,716609.0,35.733,140.85,56.0,28.0
1962.0,0.0,716610.0,35.733,140.85,56.0,28.0
1962.0,0.0,716611.0,35.733,140.85,56.0,28.0
1962.0,0.0,716612.0,35.733,140.85,56.0,28.0
1962.0,0.0,716613.0,35.733,140.85,56.0,28.0
1962.0,0.0,716614.0,35.733,140.85,56.0,28.0
