,Rain,Time,Latitude,Longitude,M,Z
1954.0,0.0,713685.0,59.77,148.63,58.0,19.0
1954.0,0.0,713686.0,59.77,148.63,58.0,19.0
1954.0,0.0,713687.0,59.77,148.63,58.0,19.0
1954.0,0.0,713688.0,59.77,148.63,58.0,19.0
1954.0,0.0,713689.0,59.77,148.63,58.0,19.0
1954.0,0.0,713690.0,59.77,148.63,58.0,19.0
1954.0,0.0,713691.0,59.77,148.63,58.0,19.0
1954.0,0.0,713692.0,59.77,148.63,58.0,19.0
1954.0,4.0,713693.0,59.77,148.63,58.0,19.0
1954.0,4.300000190734863,713694.0,59.77,148.63,58.0,19.0
1954.0,0.0,713695.0,59.77,148.63,58.0,19.0
1954.0,1.5,713696.0,59.77,148.63,58.0,19.0
1954.0,0.30000001192092896,713697.0,59.77,148.63,58.0,19.0
1954.0,0.0,713698.0,59.77,148.63,58.0,19.0
1954.0,0.0,713699.0,59.77,148.63,58.0,19.0
1954.0,0.0,713700.0,59.77,148.63,58.0,19.0
1954.0,0.8999999761581421,713701.0,59.77,148.63,58.0,19.0
1954.0,0.0,713702.0,59.77,148.63,58.0,19.0
1954.0,0.0,713703.0,59.77,148.63,58.0,19.0
1954.0,0.0,713704.0,59.77,148.63,58.0,19.0
1954.0,0.0,713705.0,59.77,148.63,58.0,19.0
1954.0,0.0,713706.0,59.77,148.63,58.0,19.0
1954.0,0.10000000149011612,713707.0,59.77,148.63,58.0,19.0
1954.0,2.0,713708.0,59.77,148.63,58.0,19.0
1954.0,21.899999618530273,713709.0,59.77,148.63,58.0,19.0
1954.0,5.300000190734863,713710.0,59.77,148.63,58.0,19.0
1954.0,7.300000190734863,713711.0,59.77,148.63,58.0,19.0
1954.0,0.10000000149011612,713712.0,59.77,148.63,58.0,19.0
1954.0,0.30000001192092896,713713.0,59.77,148.63,58.0,19.0
1954.0,0.0,713714.0,59.77,148.63,58.0,19.0
1954.0,0.0,713715.0,59.77,148.63,58.0,19.0
1954.0,0.0,713716.0,59.77,148.63,58.0,19.0
1954.0,0.0,713717.0,59.77,148.63,58.0,19.0
1954.0,0.0,713718.0,59.77,148.63,58.0,19.0
1954.0,0.0,713719.0,59.77,148.63,58.0,19.0
1954.0,0.0,713720.0,59.77,148.63,58.0,19.0
1954.0,0.0,713721.0,59.77,148.63,58.0,19.0
1954.0,0.0,713722.0,59.77,148.63,58.0,19.0
1954.0,0.8999999761581421,713723.0,59.77,148.63,58.0,19.0
1954.0,1.899999976158142,713724.0,59.77,148.63,58.0,19.0
1954.0,0.30000001192092896,713725.0,59.77,148.63,58.0,19.0
1954.0,0.0,713726.0,59.77,148.63,58.0,19.0
1954.0,0.0,713727.0,59.77,148.63,58.0,19.0
1954.0,0.6000000238418579,713728.0,59.77,148.63,58.0,19.0
1954.0,0.4000000059604645,713729.0,59.77,148.63,58.0,19.0
1954.0,0.0,713730.0,59.77,148.63,58.0,19.0
1954.0,0.30000001192092896,713731.0,59.77,148.63,58.0,19.0
1954.0,0.0,713732.0,59.77,148.63,58.0,19.0
1954.0,1.600000023841858,713733.0,59.77,148.63,58.0,19.0
1954.0,0.0,713734.0,59.77,148.63,58.0,19.0
1954.0,0.0,713735.0,59.77,148.63,58.0,19.0
1954.0,0.0,713736.0,59.77,148.63,58.0,19.0
1954.0,0.0,713737.0,59.77,148.63,58.0,19.0
1954.0,0.0,713738.0,59.77,148.63,58.0,19.0
1954.0,0.0,713739.0,59.77,148.63,58.0,19.0
1954.0,0.0,713740.0,59.77,148.63,58.0,19.0
1954.0,0.0,713741.0,59.77,148.63,58.0,19.0
1954.0,0.0,713742.0,59.77,148.63,58.0,19.0
1954.0,0.0,713743.0,59.77,148.63,58.0,19.0
1954.0,0.0,713744.0,59.77,148.63,58.0,19.0
1954.0,0.0,713745.0,59.77,148.63,58.0,19.0
1954.0,0.0,713746.0,59.77,148.63,58.0,19.0
1954.0,0.0,713747.0,59.77,148.63,58.0,19.0
1954.0,0.0,713748.0,59.77,148.63,58.0,19.0
