,Rain,Time,Latitude,Longitude,M,Z
1856.0,0.0,677891.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677892.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677893.0,-37.8075,144.97,155.0,31.2
1856.0,4.599999904632568,677894.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677895.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677896.0,-37.8075,144.97,155.0,31.2
1856.0,20.100000381469727,677897.0,-37.8075,144.97,155.0,31.2
1856.0,2.5,677898.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677899.0,-37.8075,144.97,155.0,31.2
1856.0,5.300000190734863,677900.0,-37.8075,144.97,155.0,31.2
1856.0,8.600000381469727,677901.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677902.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677903.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677904.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677905.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677906.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677907.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677908.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677909.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677910.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677911.0,-37.8075,144.97,155.0,31.2
1856.0,0.30000001192092896,677912.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677913.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677914.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677915.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677916.0,-37.8075,144.97,155.0,31.2
1856.0,1.7999999523162842,677917.0,-37.8075,144.97,155.0,31.2
1856.0,15.199999809265137,677918.0,-37.8075,144.97,155.0,31.2
1856.0,2.0,677919.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677920.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677921.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677922.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677923.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677924.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677925.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677926.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677927.0,-37.8075,144.97,155.0,31.2
1856.0,0.5,677928.0,-37.8075,144.97,155.0,31.2
1856.0,13.699999809265137,677929.0,-37.8075,144.97,155.0,31.2
1856.0,1.0,677930.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677931.0,-37.8075,144.97,155.0,31.2
1856.0,0.30000001192092896,677932.0,-37.8075,144.97,155.0,31.2
1856.0,0.0,677933.0,-37.8075,144.97,155.0,31.2
