,Rain,Time,Latitude,Longitude,M,Z
1935.0,0.0,706745.0,-22.6231,149.66,52.0,20.0
1935.0,11.899999618530273,706746.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706747.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706748.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706749.0,-22.6231,149.66,52.0,20.0
1935.0,12.699999809265137,706750.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706751.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706752.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706753.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706754.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706755.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706756.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706757.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706758.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706759.0,-22.6231,149.66,52.0,20.0
1935.0,12.699999809265137,706760.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706761.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706762.0,-22.6231,149.66,52.0,20.0
1935.0,25.399999618530273,706763.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706764.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706765.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706766.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706767.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706768.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706769.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706770.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706771.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706772.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706773.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706774.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706775.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706776.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706777.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706778.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706779.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706780.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706781.0,-22.6231,149.66,52.0,20.0
1935.0,17.799999237060547,706782.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706783.0,-22.6231,149.66,52.0,20.0
1935.0,17.799999237060547,706784.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706785.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706786.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706787.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706788.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706789.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706790.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706791.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706792.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706793.0,-22.6231,149.66,52.0,20.0
1935.0,2.5,706794.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706795.0,-22.6231,149.66,52.0,20.0
1935.0,58.400001525878906,706796.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706797.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706798.0,-22.6231,149.66,52.0,20.0
1935.0,5.099999904632568,706799.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706800.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706801.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706802.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706803.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706804.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706805.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706806.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706807.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706808.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706809.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706810.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706811.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706812.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706813.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706814.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706815.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706816.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706817.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706818.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706819.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706820.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706821.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706822.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706823.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706824.0,-22.6231,149.66,52.0,20.0
1935.0,0.0,706825.0,-22.6231,149.66,52.0,20.0
