,Rain,Time,Latitude,Longitude,M,Z
1920.0,0.0,701266.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701267.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701268.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701269.0,-28.0097,118.5753,77.0,450.0
1920.0,2.5,701270.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701271.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701272.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701273.0,-28.0097,118.5753,77.0,450.0
1920.0,1.5,701274.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701275.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701276.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701277.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701278.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701279.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701280.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701281.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701282.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701283.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701284.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701285.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701286.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701287.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701288.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701289.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701290.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701291.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701292.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701293.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701294.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701295.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701296.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701297.0,-28.0097,118.5753,77.0,450.0
1920.0,0.30000001192092896,701298.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701299.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701300.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701301.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701302.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701303.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701304.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701305.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701306.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701307.0,-28.0097,118.5753,77.0,450.0
1920.0,0.5,701308.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701309.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701310.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701311.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701312.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701313.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701314.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701315.0,-28.0097,118.5753,77.0,450.0
1920.0,5.300000190734863,701316.0,-28.0097,118.5753,77.0,450.0
1920.0,4.300000190734863,701317.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701318.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701319.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701320.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701321.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701322.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701323.0,-28.0097,118.5753,77.0,450.0
1920.0,8.899999618530273,701324.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701325.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701326.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701327.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701328.0,-28.0097,118.5753,77.0,450.0
1920.0,3.299999952316284,701329.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701330.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701331.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701332.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701333.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701334.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701335.0,-28.0097,118.5753,77.0,450.0
1920.0,1.5,701336.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701337.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701338.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701339.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701340.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701341.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701342.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701343.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701344.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701345.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701346.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701347.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701348.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701349.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701350.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701351.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701352.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701353.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701354.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701355.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701356.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701357.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701358.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701359.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701360.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701361.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701362.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701363.0,-28.0097,118.5753,77.0,450.0
1920.0,23.100000381469727,701364.0,-28.0097,118.5753,77.0,450.0
1920.0,5.099999904632568,701365.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701366.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701367.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701368.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701369.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701370.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701371.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701372.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701373.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701374.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701375.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701376.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701377.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701378.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701379.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701380.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701381.0,-28.0097,118.5753,77.0,450.0
1920.0,1.2999999523162842,701382.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701383.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701384.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701385.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701386.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701387.0,-28.0097,118.5753,77.0,450.0
1920.0,1.7999999523162842,701388.0,-28.0097,118.5753,77.0,450.0
1920.0,0.800000011920929,701389.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701390.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701391.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701392.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701393.0,-28.0097,118.5753,77.0,450.0
1920.0,2.799999952316284,701394.0,-28.0097,118.5753,77.0,450.0
1920.0,4.300000190734863,701395.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701396.0,-28.0097,118.5753,77.0,450.0
1920.0,0.5,701397.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701398.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701399.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701400.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701401.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701402.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701403.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701404.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701405.0,-28.0097,118.5753,77.0,450.0
1920.0,3.799999952316284,701406.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701407.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701408.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701409.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701410.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701411.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701412.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701413.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701414.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701415.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701416.0,-28.0097,118.5753,77.0,450.0
1920.0,1.5,701417.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701418.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701419.0,-28.0097,118.5753,77.0,450.0
1920.0,8.899999618530273,701420.0,-28.0097,118.5753,77.0,450.0
1920.0,9.399999618530273,701421.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701422.0,-28.0097,118.5753,77.0,450.0
1920.0,1.7999999523162842,701423.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701424.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701425.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701426.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701427.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701428.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701429.0,-28.0097,118.5753,77.0,450.0
1920.0,1.5,701430.0,-28.0097,118.5753,77.0,450.0
1920.0,0.800000011920929,701431.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701432.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701433.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701434.0,-28.0097,118.5753,77.0,450.0
1920.0,7.599999904632568,701435.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701436.0,-28.0097,118.5753,77.0,450.0
1920.0,0.5,701437.0,-28.0097,118.5753,77.0,450.0
1920.0,3.799999952316284,701438.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701439.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701440.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701441.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701442.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701443.0,-28.0097,118.5753,77.0,450.0
1920.0,0.5,701444.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701445.0,-28.0097,118.5753,77.0,450.0
1920.0,3.0,701446.0,-28.0097,118.5753,77.0,450.0
1920.0,1.0,701447.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701448.0,-28.0097,118.5753,77.0,450.0
1920.0,6.400000095367432,701449.0,-28.0097,118.5753,77.0,450.0
1920.0,0.30000001192092896,701450.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701451.0,-28.0097,118.5753,77.0,450.0
1920.0,2.799999952316284,701452.0,-28.0097,118.5753,77.0,450.0
1920.0,2.0,701453.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701454.0,-28.0097,118.5753,77.0,450.0
1920.0,1.7999999523162842,701455.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701456.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701457.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701458.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701459.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701460.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701461.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701462.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701463.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701464.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701465.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701466.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701467.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701468.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701469.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701470.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701471.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701472.0,-28.0097,118.5753,77.0,450.0
1920.0,1.2999999523162842,701473.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701474.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701475.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701476.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701477.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701478.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701479.0,-28.0097,118.5753,77.0,450.0
1920.0,1.0,701480.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701481.0,-28.0097,118.5753,77.0,450.0
1920.0,5.300000190734863,701482.0,-28.0097,118.5753,77.0,450.0
1920.0,18.299999237060547,701483.0,-28.0097,118.5753,77.0,450.0
1920.0,3.299999952316284,701484.0,-28.0097,118.5753,77.0,450.0
1920.0,3.0,701485.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701486.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701487.0,-28.0097,118.5753,77.0,450.0
1920.0,2.5,701488.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701489.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701490.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701491.0,-28.0097,118.5753,77.0,450.0
1920.0,1.2999999523162842,701492.0,-28.0097,118.5753,77.0,450.0
1920.0,0.800000011920929,701493.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701494.0,-28.0097,118.5753,77.0,450.0
1920.0,0.30000001192092896,701495.0,-28.0097,118.5753,77.0,450.0
1920.0,0.5,701496.0,-28.0097,118.5753,77.0,450.0
1920.0,0.800000011920929,701497.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701498.0,-28.0097,118.5753,77.0,450.0
1920.0,7.599999904632568,701499.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701500.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701501.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701502.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701503.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701504.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701505.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701506.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701507.0,-28.0097,118.5753,77.0,450.0
1920.0,1.0,701508.0,-28.0097,118.5753,77.0,450.0
1920.0,0.5,701509.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701510.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701511.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701512.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701513.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701514.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701515.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701516.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701517.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701518.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701519.0,-28.0097,118.5753,77.0,450.0
1920.0,5.099999904632568,701520.0,-28.0097,118.5753,77.0,450.0
1920.0,3.299999952316284,701521.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701522.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701523.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701524.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701525.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701526.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701527.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701528.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701529.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701530.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701531.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701532.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701533.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701534.0,-28.0097,118.5753,77.0,450.0
1920.0,0.0,701535.0,-28.0097,118.5753,77.0,450.0
