,Rain,Time,Latitude,Longitude,M,Z
1953.0,0.0,713320.0,-14.2961,126.6431,51.0,23.0
1953.0,62.70000076293945,713321.0,-14.2961,126.6431,51.0,23.0
1953.0,13.5,713322.0,-14.2961,126.6431,51.0,23.0
1953.0,71.4000015258789,713323.0,-14.2961,126.6431,51.0,23.0
1953.0,26.700000762939453,713324.0,-14.2961,126.6431,51.0,23.0
1953.0,1.5,713325.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713326.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713327.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713328.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713329.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713330.0,-14.2961,126.6431,51.0,23.0
1953.0,2.799999952316284,713331.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713332.0,-14.2961,126.6431,51.0,23.0
1953.0,3.0,713333.0,-14.2961,126.6431,51.0,23.0
1953.0,0.30000001192092896,713334.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713335.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713336.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713337.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713338.0,-14.2961,126.6431,51.0,23.0
1953.0,16.0,713339.0,-14.2961,126.6431,51.0,23.0
1953.0,43.20000076293945,713340.0,-14.2961,126.6431,51.0,23.0
1953.0,0.5,713341.0,-14.2961,126.6431,51.0,23.0
1953.0,6.400000095367432,713342.0,-14.2961,126.6431,51.0,23.0
1953.0,3.799999952316284,713343.0,-14.2961,126.6431,51.0,23.0
1953.0,11.199999809265137,713344.0,-14.2961,126.6431,51.0,23.0
1953.0,31.0,713345.0,-14.2961,126.6431,51.0,23.0
1953.0,4.599999904632568,713346.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713347.0,-14.2961,126.6431,51.0,23.0
1953.0,1.0,713348.0,-14.2961,126.6431,51.0,23.0
1953.0,19.299999237060547,713349.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713350.0,-14.2961,126.6431,51.0,23.0
1953.0,11.399999618530273,713351.0,-14.2961,126.6431,51.0,23.0
1953.0,1.2999999523162842,713352.0,-14.2961,126.6431,51.0,23.0
1953.0,30.700000762939453,713353.0,-14.2961,126.6431,51.0,23.0
1953.0,0.5,713354.0,-14.2961,126.6431,51.0,23.0
1953.0,0.30000001192092896,713355.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713356.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713357.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713358.0,-14.2961,126.6431,51.0,23.0
1953.0,5.099999904632568,713359.0,-14.2961,126.6431,51.0,23.0
1953.0,15.199999809265137,713360.0,-14.2961,126.6431,51.0,23.0
1953.0,9.899999618530273,713361.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713362.0,-14.2961,126.6431,51.0,23.0
1953.0,21.100000381469727,713363.0,-14.2961,126.6431,51.0,23.0
1953.0,3.799999952316284,713364.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713365.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713366.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713367.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713368.0,-14.2961,126.6431,51.0,23.0
1953.0,2.5,713369.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713370.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713371.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713372.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713373.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713374.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713375.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713376.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713377.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713378.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713379.0,-14.2961,126.6431,51.0,23.0
1953.0,12.199999809265137,713380.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713381.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713382.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713383.0,-14.2961,126.6431,51.0,23.0
1953.0,1.2999999523162842,713384.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713385.0,-14.2961,126.6431,51.0,23.0
1953.0,0.800000011920929,713386.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713387.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713388.0,-14.2961,126.6431,51.0,23.0
1953.0,14.199999809265137,713389.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713390.0,-14.2961,126.6431,51.0,23.0
1953.0,18.0,713391.0,-14.2961,126.6431,51.0,23.0
1953.0,5.300000190734863,713392.0,-14.2961,126.6431,51.0,23.0
1953.0,0.5,713393.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713394.0,-14.2961,126.6431,51.0,23.0
1953.0,21.100000381469727,713395.0,-14.2961,126.6431,51.0,23.0
1953.0,4.800000190734863,713396.0,-14.2961,126.6431,51.0,23.0
1953.0,80.80000305175781,713397.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713398.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713399.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713400.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713401.0,-14.2961,126.6431,51.0,23.0
1953.0,4.800000190734863,713402.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713403.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713404.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713405.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713406.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713407.0,-14.2961,126.6431,51.0,23.0
1953.0,20.799999237060547,713408.0,-14.2961,126.6431,51.0,23.0
1953.0,56.599998474121094,713409.0,-14.2961,126.6431,51.0,23.0
1953.0,0.30000001192092896,713410.0,-14.2961,126.6431,51.0,23.0
1953.0,1.7999999523162842,713411.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713412.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713413.0,-14.2961,126.6431,51.0,23.0
1953.0,3.299999952316284,713414.0,-14.2961,126.6431,51.0,23.0
1953.0,4.800000190734863,713415.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713416.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713417.0,-14.2961,126.6431,51.0,23.0
1953.0,11.899999618530273,713418.0,-14.2961,126.6431,51.0,23.0
1953.0,1.5,713419.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713420.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713421.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713422.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713423.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713424.0,-14.2961,126.6431,51.0,23.0
1953.0,0.30000001192092896,713425.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713426.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713427.0,-14.2961,126.6431,51.0,23.0
1953.0,10.399999618530273,713428.0,-14.2961,126.6431,51.0,23.0
1953.0,20.299999237060547,713429.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713430.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713431.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713432.0,-14.2961,126.6431,51.0,23.0
1953.0,0.800000011920929,713433.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713434.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713435.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713436.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713437.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713438.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713439.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713440.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713441.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713442.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713443.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713444.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713445.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713446.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713447.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713448.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713449.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713450.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713451.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713452.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713453.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713454.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713455.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713456.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713457.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713458.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713459.0,-14.2961,126.6431,51.0,23.0
1953.0,0.0,713460.0,-14.2961,126.6431,51.0,23.0
