,Rain,Time,Latitude,Longitude,M,Z
1932.0,0.0,705649.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705650.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705651.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705652.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705653.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705654.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705655.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705656.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705657.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705658.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705659.0,-4.5,-38.36,64.0,50.0
1932.0,4.0,705660.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705661.0,-4.5,-38.36,64.0,50.0
1932.0,1.399999976158142,705662.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705663.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705664.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705665.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705666.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705667.0,-4.5,-38.36,64.0,50.0
1932.0,8.600000381469727,705668.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705669.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705670.0,-4.5,-38.36,64.0,50.0
1932.0,2.200000047683716,705671.0,-4.5,-38.36,64.0,50.0
1932.0,0.20000000298023224,705672.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705673.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705674.0,-4.5,-38.36,64.0,50.0
1932.0,0.699999988079071,705675.0,-4.5,-38.36,64.0,50.0
1932.0,1.5,705676.0,-4.5,-38.36,64.0,50.0
1932.0,0.699999988079071,705677.0,-4.5,-38.36,64.0,50.0
1932.0,24.5,705678.0,-4.5,-38.36,64.0,50.0
1932.0,0.10000000149011612,705679.0,-4.5,-38.36,64.0,50.0
1932.0,3.299999952316284,705680.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705681.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705682.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705683.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705684.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705685.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705686.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705687.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705688.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705689.0,-4.5,-38.36,64.0,50.0
1932.0,0.0,705690.0,-4.5,-38.36,64.0,50.0
