,Rain,Time,Latitude,Longitude,M,Z
1943.0,0.0,709667.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709668.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709669.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709670.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709671.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709672.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709673.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709674.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709675.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709676.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709677.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709678.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709679.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709680.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709681.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709682.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709683.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709684.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709685.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709686.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709687.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709688.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709689.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709690.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709691.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709692.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709693.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709694.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709695.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709696.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709697.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709698.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709699.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709700.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709701.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709702.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709703.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709704.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709705.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709706.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709707.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709708.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709709.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709710.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709711.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709712.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709713.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709714.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709715.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709716.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709717.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709718.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709719.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709720.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709721.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709722.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709723.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709724.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709725.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709726.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709727.0,30.367,-107.95,59.0,1487.0
1943.0,5.699999809265137,709728.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709729.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709730.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709731.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709732.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709733.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709734.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709735.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709736.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709737.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709738.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709739.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709740.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709741.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709742.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709743.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709744.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709745.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709746.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709747.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709748.0,30.367,-107.95,59.0,1487.0
1943.0,1.399999976158142,709749.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709750.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709751.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709752.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709753.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709754.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709755.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709756.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709757.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709758.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709759.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709760.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709761.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709762.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709763.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709764.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709765.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709766.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709767.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709768.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709769.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709770.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709771.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709772.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709773.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709774.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709775.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709776.0,30.367,-107.95,59.0,1487.0
1943.0,0.0,709777.0,30.367,-107.95,59.0,1487.0
