,Rain,Time,Latitude,Longitude,M,Z
1942.0,0.0,709302.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709303.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709304.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709305.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709306.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709307.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709308.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709309.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709310.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709311.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709312.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709313.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709314.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709315.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709316.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709317.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709318.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709319.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709320.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709321.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709322.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709323.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709324.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709325.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709326.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709327.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709328.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709329.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709330.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709331.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709332.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709333.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709334.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709335.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709336.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709337.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709338.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709339.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709340.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709341.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709342.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709343.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709344.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709345.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709346.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709347.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709348.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709349.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709350.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709351.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709352.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709353.0,23.5667,-103.25,65.0,2070.8
1942.0,0.0,709354.0,23.5667,-103.25,65.0,2070.8
