,Rain,Time,Latitude,Longitude,M,Z
1945.0,0.0,710398.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710399.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710400.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710401.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710402.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710403.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710404.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710405.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710406.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710407.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710408.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710409.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710410.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710411.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710412.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710413.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710414.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710415.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710416.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710417.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710418.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710419.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710420.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710421.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710422.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710423.0,19.5833,-98.1167,54.0,2529.8
1945.0,1.5,710424.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710425.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710426.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710427.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710428.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710429.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710430.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710431.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710432.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710433.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710434.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710435.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710436.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710437.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710438.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710439.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710440.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710441.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710442.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710443.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710444.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710445.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710446.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710447.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710448.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710449.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710450.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710451.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710452.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710453.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710454.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710455.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710456.0,19.5833,-98.1167,54.0,2529.8
1945.0,0.0,710457.0,19.5833,-98.1167,54.0,2529.8
