,Rain,Time,Latitude,Longitude,M,Z
1900.0,0.0,693962.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693963.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693964.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693965.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693966.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693967.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693968.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693969.0,37.1942,-99.7633,120.0,600.5
1900.0,7.099999904632568,693970.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693971.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693972.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693973.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693974.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693975.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693976.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693977.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693978.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693979.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693980.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693981.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693982.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693983.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693984.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693985.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693986.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693987.0,37.1942,-99.7633,120.0,600.5
1900.0,3.0,693988.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693989.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693990.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693991.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693992.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693993.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693994.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693995.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693996.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693997.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,693998.0,37.1942,-99.7633,120.0,600.5
1900.0,5.099999904632568,693999.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694000.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694001.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694002.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694003.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694004.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694005.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694006.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694007.0,37.1942,-99.7633,120.0,600.5
1900.0,10.199999809265137,694008.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694009.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694010.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694011.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694012.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694013.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694014.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694015.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694016.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694017.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694018.0,37.1942,-99.7633,120.0,600.5
1900.0,20.299999237060547,694019.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694020.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694021.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694022.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694023.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694024.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694025.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694026.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694027.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694028.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694029.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694030.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694031.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694032.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694033.0,37.1942,-99.7633,120.0,600.5
1900.0,3.299999952316284,694034.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694035.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694036.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694037.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694038.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694039.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694040.0,37.1942,-99.7633,120.0,600.5
1900.0,12.699999809265137,694041.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694042.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694043.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694044.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694045.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694046.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694047.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694048.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694049.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694050.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694051.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694052.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694053.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694054.0,37.1942,-99.7633,120.0,600.5
1900.0,0.5,694055.0,37.1942,-99.7633,120.0,600.5
1900.0,51.599998474121094,694056.0,37.1942,-99.7633,120.0,600.5
1900.0,9.899999618530273,694057.0,37.1942,-99.7633,120.0,600.5
1900.0,5.599999904632568,694058.0,37.1942,-99.7633,120.0,600.5
1900.0,0.5,694059.0,37.1942,-99.7633,120.0,600.5
1900.0,1.7999999523162842,694060.0,37.1942,-99.7633,120.0,600.5
1900.0,17.299999237060547,694061.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694062.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694063.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694064.0,37.1942,-99.7633,120.0,600.5
1900.0,12.699999809265137,694065.0,37.1942,-99.7633,120.0,600.5
1900.0,0.5,694066.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694067.0,37.1942,-99.7633,120.0,600.5
1900.0,0.30000001192092896,694068.0,37.1942,-99.7633,120.0,600.5
1900.0,9.399999618530273,694069.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694070.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694071.0,37.1942,-99.7633,120.0,600.5
1900.0,1.7999999523162842,694072.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694073.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694074.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694075.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694076.0,37.1942,-99.7633,120.0,600.5
1900.0,5.300000190734863,694077.0,37.1942,-99.7633,120.0,600.5
1900.0,1.2999999523162842,694078.0,37.1942,-99.7633,120.0,600.5
1900.0,0.5,694079.0,37.1942,-99.7633,120.0,600.5
1900.0,15.699999809265137,694080.0,37.1942,-99.7633,120.0,600.5
1900.0,31.5,694081.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694082.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694083.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694084.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694085.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694086.0,37.1942,-99.7633,120.0,600.5
1900.0,0.800000011920929,694087.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694088.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694089.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694090.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694091.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694092.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694093.0,37.1942,-99.7633,120.0,600.5
1900.0,8.100000381469727,694094.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694095.0,37.1942,-99.7633,120.0,600.5
1900.0,1.2999999523162842,694096.0,37.1942,-99.7633,120.0,600.5
1900.0,0.800000011920929,694097.0,37.1942,-99.7633,120.0,600.5
1900.0,0.800000011920929,694098.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694099.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694100.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694101.0,37.1942,-99.7633,120.0,600.5
1900.0,4.099999904632568,694102.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694103.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694104.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694105.0,37.1942,-99.7633,120.0,600.5
1900.0,15.199999809265137,694106.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694107.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694108.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694109.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694110.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694111.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694112.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694113.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694114.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694115.0,37.1942,-99.7633,120.0,600.5
1900.0,15.0,694116.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694117.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694118.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694119.0,37.1942,-99.7633,120.0,600.5
1900.0,2.0,694120.0,37.1942,-99.7633,120.0,600.5
1900.0,0.5,694121.0,37.1942,-99.7633,120.0,600.5
1900.0,32.5,694122.0,37.1942,-99.7633,120.0,600.5
1900.0,1.7999999523162842,694123.0,37.1942,-99.7633,120.0,600.5
1900.0,7.099999904632568,694124.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694125.0,37.1942,-99.7633,120.0,600.5
1900.0,1.7999999523162842,694126.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694127.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694128.0,37.1942,-99.7633,120.0,600.5
1900.0,4.800000190734863,694129.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694130.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694131.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694132.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694133.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694134.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694135.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694136.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694137.0,37.1942,-99.7633,120.0,600.5
1900.0,0.0,694138.0,37.1942,-99.7633,120.0,600.5
