,Rain,Time,Latitude,Longitude,M,Z
1882.0,0.0,687388.0,40.4,49.8,104.0,47.0
1882.0,0.0,687389.0,40.4,49.8,104.0,47.0
1882.0,0.0,687390.0,40.4,49.8,104.0,47.0
1882.0,4.099999904632568,687391.0,40.4,49.8,104.0,47.0
1882.0,2.200000047683716,687392.0,40.4,49.8,104.0,47.0
1882.0,0.20000000298023224,687393.0,40.4,49.8,104.0,47.0
1882.0,0.8999999761581421,687394.0,40.4,49.8,104.0,47.0
1882.0,0.0,687395.0,40.4,49.8,104.0,47.0
1882.0,0.0,687396.0,40.4,49.8,104.0,47.0
1882.0,0.0,687397.0,40.4,49.8,104.0,47.0
1882.0,0.0,687398.0,40.4,49.8,104.0,47.0
1882.0,0.0,687399.0,40.4,49.8,104.0,47.0
1882.0,0.0,687400.0,40.4,49.8,104.0,47.0
1882.0,2.5,687401.0,40.4,49.8,104.0,47.0
1882.0,0.0,687402.0,40.4,49.8,104.0,47.0
1882.0,2.5,687403.0,40.4,49.8,104.0,47.0
1882.0,1.0,687404.0,40.4,49.8,104.0,47.0
1882.0,0.0,687405.0,40.4,49.8,104.0,47.0
1882.0,0.0,687406.0,40.4,49.8,104.0,47.0
1882.0,0.0,687407.0,40.4,49.8,104.0,47.0
1882.0,0.0,687408.0,40.4,49.8,104.0,47.0
1882.0,0.0,687409.0,40.4,49.8,104.0,47.0
1882.0,0.0,687410.0,40.4,49.8,104.0,47.0
1882.0,0.0,687411.0,40.4,49.8,104.0,47.0
1882.0,0.699999988079071,687412.0,40.4,49.8,104.0,47.0
1882.0,1.399999976158142,687413.0,40.4,49.8,104.0,47.0
1882.0,4.800000190734863,687414.0,40.4,49.8,104.0,47.0
1882.0,0.0,687415.0,40.4,49.8,104.0,47.0
1882.0,0.0,687416.0,40.4,49.8,104.0,47.0
1882.0,0.0,687417.0,40.4,49.8,104.0,47.0
1882.0,0.0,687418.0,40.4,49.8,104.0,47.0
1882.0,0.0,687419.0,40.4,49.8,104.0,47.0
1882.0,0.0,687420.0,40.4,49.8,104.0,47.0
