,Rain,Time,Latitude,Longitude,M,Z
1911.0,0.0,697979.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697980.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697981.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697982.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697983.0,-29.12,26.22,85.0,1393.0
1911.0,34.5,697984.0,-29.12,26.22,85.0,1393.0
1911.0,38.400001525878906,697985.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697986.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697987.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697988.0,-29.12,26.22,85.0,1393.0
1911.0,3.799999952316284,697989.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697990.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697991.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697992.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697993.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697994.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697995.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697996.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697997.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697998.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,697999.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698000.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698001.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698002.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698003.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698004.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698005.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698006.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698007.0,-29.12,26.22,85.0,1393.0
1911.0,4.800000190734863,698008.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698009.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698010.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698011.0,-29.12,26.22,85.0,1393.0
1911.0,17.0,698012.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698013.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698014.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698015.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698016.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698017.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698018.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698019.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698020.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698021.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698022.0,-29.12,26.22,85.0,1393.0
1911.0,11.399999618530273,698023.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698024.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698025.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698026.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698027.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698028.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698029.0,-29.12,26.22,85.0,1393.0
1911.0,4.599999904632568,698030.0,-29.12,26.22,85.0,1393.0
1911.0,1.2999999523162842,698031.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698032.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698033.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698034.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698035.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698036.0,-29.12,26.22,85.0,1393.0
1911.0,3.0,698037.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698038.0,-29.12,26.22,85.0,1393.0
1911.0,11.199999809265137,698039.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698040.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698041.0,-29.12,26.22,85.0,1393.0
1911.0,5.800000190734863,698042.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698043.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698044.0,-29.12,26.22,85.0,1393.0
1911.0,7.599999904632568,698045.0,-29.12,26.22,85.0,1393.0
1911.0,62.20000076293945,698046.0,-29.12,26.22,85.0,1393.0
1911.0,5.599999904632568,698047.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698048.0,-29.12,26.22,85.0,1393.0
1911.0,3.0,698049.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698050.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698051.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698052.0,-29.12,26.22,85.0,1393.0
1911.0,17.299999237060547,698053.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698054.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698055.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698056.0,-29.12,26.22,85.0,1393.0
1911.0,33.79999923706055,698057.0,-29.12,26.22,85.0,1393.0
1911.0,23.399999618530273,698058.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698059.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698060.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698061.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698062.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698063.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698064.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698065.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698066.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698067.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698068.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698069.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698070.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698071.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698072.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698073.0,-29.12,26.22,85.0,1393.0
1911.0,24.600000381469727,698074.0,-29.12,26.22,85.0,1393.0
1911.0,0.800000011920929,698075.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698076.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698077.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698078.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698079.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698080.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698081.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698082.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698083.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698084.0,-29.12,26.22,85.0,1393.0
1911.0,6.599999904632568,698085.0,-29.12,26.22,85.0,1393.0
1911.0,0.800000011920929,698086.0,-29.12,26.22,85.0,1393.0
1911.0,4.300000190734863,698087.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698088.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698089.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698090.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698091.0,-29.12,26.22,85.0,1393.0
1911.0,2.5,698092.0,-29.12,26.22,85.0,1393.0
1911.0,0.5,698093.0,-29.12,26.22,85.0,1393.0
1911.0,10.399999618530273,698094.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698095.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698096.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698097.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698098.0,-29.12,26.22,85.0,1393.0
1911.0,1.2999999523162842,698099.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698100.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698101.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698102.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698103.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698104.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698105.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698106.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698107.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698108.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698109.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698110.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698111.0,-29.12,26.22,85.0,1393.0
1911.0,0.0,698112.0,-29.12,26.22,85.0,1393.0
