,Rain,Time,Latitude,Longitude,M,Z
1951.0,0.0,712589.0,29.05,111.683,62.0,35.0
1951.0,0.0,712590.0,29.05,111.683,62.0,35.0
1951.0,0.0,712591.0,29.05,111.683,62.0,35.0
1951.0,0.0,712592.0,29.05,111.683,62.0,35.0
1951.0,0.0,712593.0,29.05,111.683,62.0,35.0
1951.0,0.30000001192092896,712594.0,29.05,111.683,62.0,35.0
1951.0,0.10000000149011612,712595.0,29.05,111.683,62.0,35.0
1951.0,0.0,712596.0,29.05,111.683,62.0,35.0
1951.0,1.2999999523162842,712597.0,29.05,111.683,62.0,35.0
1951.0,6.300000190734863,712598.0,29.05,111.683,62.0,35.0
1951.0,0.20000000298023224,712599.0,29.05,111.683,62.0,35.0
1951.0,0.0,712600.0,29.05,111.683,62.0,35.0
1951.0,0.0,712601.0,29.05,111.683,62.0,35.0
1951.0,0.0,712602.0,29.05,111.683,62.0,35.0
1951.0,0.0,712603.0,29.05,111.683,62.0,35.0
1951.0,0.0,712604.0,29.05,111.683,62.0,35.0
1951.0,0.0,712605.0,29.05,111.683,62.0,35.0
1951.0,0.0,712606.0,29.05,111.683,62.0,35.0
1951.0,0.10000000149011612,712607.0,29.05,111.683,62.0,35.0
1951.0,0.0,712608.0,29.05,111.683,62.0,35.0
1951.0,0.10000000149011612,712609.0,29.05,111.683,62.0,35.0
1951.0,3.5999999046325684,712610.0,29.05,111.683,62.0,35.0
1951.0,0.0,712611.0,29.05,111.683,62.0,35.0
1951.0,0.0,712612.0,29.05,111.683,62.0,35.0
1951.0,0.0,712613.0,29.05,111.683,62.0,35.0
1951.0,0.0,712614.0,29.05,111.683,62.0,35.0
1951.0,0.0,712615.0,29.05,111.683,62.0,35.0
1951.0,0.0,712616.0,29.05,111.683,62.0,35.0
1951.0,0.0,712617.0,29.05,111.683,62.0,35.0
1951.0,0.0,712618.0,29.05,111.683,62.0,35.0
1951.0,0.0,712619.0,29.05,111.683,62.0,35.0
1951.0,0.0,712620.0,29.05,111.683,62.0,35.0
1951.0,0.0,712621.0,29.05,111.683,62.0,35.0
1951.0,0.0,712622.0,29.05,111.683,62.0,35.0
1951.0,1.100000023841858,712623.0,29.05,111.683,62.0,35.0
1951.0,0.20000000298023224,712624.0,29.05,111.683,62.0,35.0
1951.0,0.0,712625.0,29.05,111.683,62.0,35.0
1951.0,5.199999809265137,712626.0,29.05,111.683,62.0,35.0
1951.0,1.600000023841858,712627.0,29.05,111.683,62.0,35.0
1951.0,3.0999999046325684,712628.0,29.05,111.683,62.0,35.0
1951.0,0.0,712629.0,29.05,111.683,62.0,35.0
1951.0,2.0,712630.0,29.05,111.683,62.0,35.0
1951.0,0.0,712631.0,29.05,111.683,62.0,35.0
1951.0,0.5,712632.0,29.05,111.683,62.0,35.0
1951.0,0.0,712633.0,29.05,111.683,62.0,35.0
1951.0,0.0,712634.0,29.05,111.683,62.0,35.0
1951.0,0.0,712635.0,29.05,111.683,62.0,35.0
1951.0,0.0,712636.0,29.05,111.683,62.0,35.0
1951.0,0.0,712637.0,29.05,111.683,62.0,35.0
1951.0,0.0,712638.0,29.05,111.683,62.0,35.0
1951.0,0.0,712639.0,29.05,111.683,62.0,35.0
1951.0,5.400000095367432,712640.0,29.05,111.683,62.0,35.0
1951.0,0.0,712641.0,29.05,111.683,62.0,35.0
1951.0,3.200000047683716,712642.0,29.05,111.683,62.0,35.0
1951.0,17.700000762939453,712643.0,29.05,111.683,62.0,35.0
1951.0,8.0,712644.0,29.05,111.683,62.0,35.0
1951.0,10.300000190734863,712645.0,29.05,111.683,62.0,35.0
1951.0,0.0,712646.0,29.05,111.683,62.0,35.0
1951.0,0.0,712647.0,29.05,111.683,62.0,35.0
1951.0,0.0,712648.0,29.05,111.683,62.0,35.0
1951.0,0.0,712649.0,29.05,111.683,62.0,35.0
1951.0,0.0,712650.0,29.05,111.683,62.0,35.0
1951.0,0.0,712651.0,29.05,111.683,62.0,35.0
1951.0,0.0,712652.0,29.05,111.683,62.0,35.0
1951.0,0.5,712653.0,29.05,111.683,62.0,35.0
1951.0,0.0,712654.0,29.05,111.683,62.0,35.0
1951.0,0.0,712655.0,29.05,111.683,62.0,35.0
1951.0,0.0,712656.0,29.05,111.683,62.0,35.0
1951.0,0.0,712657.0,29.05,111.683,62.0,35.0
1951.0,18.0,712658.0,29.05,111.683,62.0,35.0
1951.0,11.699999809265137,712659.0,29.05,111.683,62.0,35.0
1951.0,13.600000381469727,712660.0,29.05,111.683,62.0,35.0
1951.0,1.7999999523162842,712661.0,29.05,111.683,62.0,35.0
1951.0,0.0,712662.0,29.05,111.683,62.0,35.0
1951.0,0.0,712663.0,29.05,111.683,62.0,35.0
1951.0,0.0,712664.0,29.05,111.683,62.0,35.0
1951.0,0.0,712665.0,29.05,111.683,62.0,35.0
1951.0,11.100000381469727,712666.0,29.05,111.683,62.0,35.0
1951.0,14.5,712667.0,29.05,111.683,62.0,35.0
1951.0,15.0,712668.0,29.05,111.683,62.0,35.0
1951.0,0.0,712669.0,29.05,111.683,62.0,35.0
1951.0,3.700000047683716,712670.0,29.05,111.683,62.0,35.0
