,Rain,Time,Latitude,Longitude,M,Z
1871.0,1.0,683370.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683371.0,-29.85,31.0,113.0,91.0
1871.0,3.5999999046325684,683372.0,-29.85,31.0,113.0,91.0
1871.0,3.799999952316284,683373.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683374.0,-29.85,31.0,113.0,91.0
1871.0,16.0,683375.0,-29.85,31.0,113.0,91.0
1871.0,3.299999952316284,683376.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683377.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683378.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683379.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683380.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683381.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683382.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683383.0,-29.85,31.0,113.0,91.0
1871.0,1.7999999523162842,683384.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683385.0,-29.85,31.0,113.0,91.0
1871.0,9.899999618530273,683386.0,-29.85,31.0,113.0,91.0
1871.0,8.399999618530273,683387.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683388.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683389.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683390.0,-29.85,31.0,113.0,91.0
1871.0,9.699999809265137,683391.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683392.0,-29.85,31.0,113.0,91.0
1871.0,0.30000001192092896,683393.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683394.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683395.0,-29.85,31.0,113.0,91.0
1871.0,1.2999999523162842,683396.0,-29.85,31.0,113.0,91.0
1871.0,9.899999618530273,683397.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683398.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683399.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683400.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683401.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683402.0,-29.85,31.0,113.0,91.0
1871.0,1.0,683403.0,-29.85,31.0,113.0,91.0
1871.0,0.800000011920929,683404.0,-29.85,31.0,113.0,91.0
1871.0,3.5999999046325684,683405.0,-29.85,31.0,113.0,91.0
1871.0,3.5999999046325684,683406.0,-29.85,31.0,113.0,91.0
1871.0,0.800000011920929,683407.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683408.0,-29.85,31.0,113.0,91.0
1871.0,4.800000190734863,683409.0,-29.85,31.0,113.0,91.0
1871.0,11.899999618530273,683410.0,-29.85,31.0,113.0,91.0
1871.0,0.0,683411.0,-29.85,31.0,113.0,91.0
1871.0,13.199999809265137,683412.0,-29.85,31.0,113.0,91.0
