,Rain,Time,Latitude,Longitude,M,Z
1959.0,2.5,715511.0,67.5697,30.45,52.0,246.0
1959.0,0.6000000238418579,715512.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715513.0,67.5697,30.45,52.0,246.0
1959.0,2.4000000953674316,715514.0,67.5697,30.45,52.0,246.0
1959.0,2.0999999046325684,715515.0,67.5697,30.45,52.0,246.0
1959.0,8.399999618530273,715516.0,67.5697,30.45,52.0,246.0
1959.0,0.4000000059604645,715517.0,67.5697,30.45,52.0,246.0
1959.0,0.30000001192092896,715518.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715519.0,67.5697,30.45,52.0,246.0
1959.0,0.10000000149011612,715520.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715521.0,67.5697,30.45,52.0,246.0
1959.0,1.100000023841858,715522.0,67.5697,30.45,52.0,246.0
1959.0,3.700000047683716,715523.0,67.5697,30.45,52.0,246.0
1959.0,4.800000190734863,715524.0,67.5697,30.45,52.0,246.0
1959.0,2.5,715525.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715526.0,67.5697,30.45,52.0,246.0
1959.0,0.699999988079071,715527.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715528.0,67.5697,30.45,52.0,246.0
1959.0,0.10000000149011612,715529.0,67.5697,30.45,52.0,246.0
1959.0,1.100000023841858,715530.0,67.5697,30.45,52.0,246.0
1959.0,0.20000000298023224,715531.0,67.5697,30.45,52.0,246.0
1959.0,0.699999988079071,715532.0,67.5697,30.45,52.0,246.0
1959.0,2.700000047683716,715533.0,67.5697,30.45,52.0,246.0
1959.0,2.299999952316284,715534.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715535.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715536.0,67.5697,30.45,52.0,246.0
1959.0,1.399999976158142,715537.0,67.5697,30.45,52.0,246.0
1959.0,0.30000001192092896,715538.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715539.0,67.5697,30.45,52.0,246.0
1959.0,4.699999809265137,715540.0,67.5697,30.45,52.0,246.0
1959.0,2.0999999046325684,715541.0,67.5697,30.45,52.0,246.0
1959.0,0.10000000149011612,715542.0,67.5697,30.45,52.0,246.0
1959.0,1.5,715543.0,67.5697,30.45,52.0,246.0
1959.0,0.5,715544.0,67.5697,30.45,52.0,246.0
1959.0,0.20000000298023224,715545.0,67.5697,30.45,52.0,246.0
1959.0,0.800000011920929,715546.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715547.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715548.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715549.0,67.5697,30.45,52.0,246.0
1959.0,0.20000000298023224,715550.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715551.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715552.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715553.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715554.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715555.0,67.5697,30.45,52.0,246.0
1959.0,1.2999999523162842,715556.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715557.0,67.5697,30.45,52.0,246.0
1959.0,1.5,715558.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715559.0,67.5697,30.45,52.0,246.0
1959.0,0.30000001192092896,715560.0,67.5697,30.45,52.0,246.0
1959.0,3.4000000953674316,715561.0,67.5697,30.45,52.0,246.0
1959.0,1.7000000476837158,715562.0,67.5697,30.45,52.0,246.0
1959.0,0.20000000298023224,715563.0,67.5697,30.45,52.0,246.0
1959.0,0.0,715564.0,67.5697,30.45,52.0,246.0
1959.0,3.0999999046325684,715565.0,67.5697,30.45,52.0,246.0
1959.0,2.0999999046325684,715566.0,67.5697,30.45,52.0,246.0
