,Rain,Time,Latitude,Longitude,M,Z
1939.0,8.800000190734863,708206.0,-22.42,-49.13,54.0,530.0
1939.0,55.0,708207.0,-22.42,-49.13,54.0,530.0
1939.0,21.5,708208.0,-22.42,-49.13,54.0,530.0
1939.0,0.10000000149011612,708209.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708210.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708211.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708212.0,-22.42,-49.13,54.0,530.0
1939.0,21.0,708213.0,-22.42,-49.13,54.0,530.0
1939.0,6.900000095367432,708214.0,-22.42,-49.13,54.0,530.0
1939.0,6.5,708215.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708216.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708217.0,-22.42,-49.13,54.0,530.0
1939.0,9.5,708218.0,-22.42,-49.13,54.0,530.0
1939.0,4.199999809265137,708219.0,-22.42,-49.13,54.0,530.0
1939.0,1.399999976158142,708220.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708221.0,-22.42,-49.13,54.0,530.0
1939.0,21.799999237060547,708222.0,-22.42,-49.13,54.0,530.0
1939.0,2.5,708223.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708224.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708225.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708226.0,-22.42,-49.13,54.0,530.0
1939.0,6.099999904632568,708227.0,-22.42,-49.13,54.0,530.0
1939.0,19.799999237060547,708228.0,-22.42,-49.13,54.0,530.0
1939.0,7.0,708229.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708230.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708231.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708232.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708233.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708234.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708235.0,-22.42,-49.13,54.0,530.0
1939.0,0.10000000149011612,708236.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708237.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708238.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708239.0,-22.42,-49.13,54.0,530.0
1939.0,2.799999952316284,708240.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708241.0,-22.42,-49.13,54.0,530.0
1939.0,48.79999923706055,708242.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708243.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708244.0,-22.42,-49.13,54.0,530.0
1939.0,50.0,708245.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708246.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708247.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708248.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708249.0,-22.42,-49.13,54.0,530.0
1939.0,5.599999904632568,708250.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708251.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708252.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708253.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708254.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708255.0,-22.42,-49.13,54.0,530.0
1939.0,28.200000762939453,708256.0,-22.42,-49.13,54.0,530.0
1939.0,5.0,708257.0,-22.42,-49.13,54.0,530.0
1939.0,0.10000000149011612,708258.0,-22.42,-49.13,54.0,530.0
1939.0,25.200000762939453,708259.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708260.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708261.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708262.0,-22.42,-49.13,54.0,530.0
1939.0,2.200000047683716,708263.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708264.0,-22.42,-49.13,54.0,530.0
1939.0,10.5,708265.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708266.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708267.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708268.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708269.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708270.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708271.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708272.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708273.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708274.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708275.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708276.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708277.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708278.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708279.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708280.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708281.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708282.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708283.0,-22.42,-49.13,54.0,530.0
1939.0,2.799999952316284,708284.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708285.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708286.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708287.0,-22.42,-49.13,54.0,530.0
1939.0,18.700000762939453,708288.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708289.0,-22.42,-49.13,54.0,530.0
1939.0,15.0,708290.0,-22.42,-49.13,54.0,530.0
1939.0,4.199999809265137,708291.0,-22.42,-49.13,54.0,530.0
1939.0,0.0,708292.0,-22.42,-49.13,54.0,530.0
