,Rain,Time,Latitude,Longitude,M,Z
1917.0,0.0,700171.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700172.0,-25.73,28.15,81.0,1340.0
1917.0,0.5,700173.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700174.0,-25.73,28.15,81.0,1340.0
1917.0,24.899999618530273,700175.0,-25.73,28.15,81.0,1340.0
1917.0,0.5,700176.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700177.0,-25.73,28.15,81.0,1340.0
1917.0,4.599999904632568,700178.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700179.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700180.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700181.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700182.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700183.0,-25.73,28.15,81.0,1340.0
1917.0,7.599999904632568,700184.0,-25.73,28.15,81.0,1340.0
1917.0,3.5999999046325684,700185.0,-25.73,28.15,81.0,1340.0
1917.0,2.5,700186.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700187.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700188.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700189.0,-25.73,28.15,81.0,1340.0
1917.0,1.0,700190.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700191.0,-25.73,28.15,81.0,1340.0
1917.0,1.0,700192.0,-25.73,28.15,81.0,1340.0
1917.0,1.0,700193.0,-25.73,28.15,81.0,1340.0
1917.0,1.5,700194.0,-25.73,28.15,81.0,1340.0
1917.0,5.800000190734863,700195.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700196.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700197.0,-25.73,28.15,81.0,1340.0
1917.0,17.299999237060547,700198.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700199.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700200.0,-25.73,28.15,81.0,1340.0
1917.0,58.400001525878906,700201.0,-25.73,28.15,81.0,1340.0
1917.0,51.79999923706055,700202.0,-25.73,28.15,81.0,1340.0
1917.0,2.799999952316284,700203.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700204.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700205.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700206.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700207.0,-25.73,28.15,81.0,1340.0
1917.0,19.799999237060547,700208.0,-25.73,28.15,81.0,1340.0
1917.0,15.0,700209.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700210.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700211.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700212.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700213.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700214.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700215.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700216.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700217.0,-25.73,28.15,81.0,1340.0
1917.0,3.0,700218.0,-25.73,28.15,81.0,1340.0
1917.0,28.700000762939453,700219.0,-25.73,28.15,81.0,1340.0
1917.0,15.199999809265137,700220.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700221.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700222.0,-25.73,28.15,81.0,1340.0
1917.0,10.899999618530273,700223.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700224.0,-25.73,28.15,81.0,1340.0
1917.0,2.299999952316284,700225.0,-25.73,28.15,81.0,1340.0
1917.0,8.600000381469727,700226.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700227.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700228.0,-25.73,28.15,81.0,1340.0
1917.0,3.799999952316284,700229.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700230.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700231.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700232.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700233.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700234.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700235.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700236.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700237.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700238.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700239.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700240.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700241.0,-25.73,28.15,81.0,1340.0
1917.0,0.30000001192092896,700242.0,-25.73,28.15,81.0,1340.0
1917.0,1.7999999523162842,700243.0,-25.73,28.15,81.0,1340.0
1917.0,15.199999809265137,700244.0,-25.73,28.15,81.0,1340.0
1917.0,2.5,700245.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700246.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700247.0,-25.73,28.15,81.0,1340.0
1917.0,0.0,700248.0,-25.73,28.15,81.0,1340.0
