,Rain,Time,Latitude,Longitude,M,Z
1948.0,0.0,711493.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711494.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711495.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711496.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711497.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711498.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711499.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711500.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711501.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711502.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711503.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711504.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711505.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711506.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711507.0,25.367,-101.017,58.0,1790.0
1948.0,4.5,711508.0,25.367,-101.017,58.0,1790.0
1948.0,0.5,711509.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711510.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711511.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711512.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711513.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711514.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711515.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711516.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711517.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711518.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711519.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711520.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711521.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711522.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711523.0,25.367,-101.017,58.0,1790.0
1948.0,11.0,711524.0,25.367,-101.017,58.0,1790.0
1948.0,0.699999988079071,711525.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711526.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711527.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711528.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711529.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711530.0,25.367,-101.017,58.0,1790.0
1948.0,1.5,711531.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711532.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711533.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711534.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711535.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711536.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711537.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711538.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711539.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711540.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711541.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711542.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711543.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711544.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711545.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711546.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711547.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711548.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711549.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711550.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711551.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711552.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711553.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711554.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711555.0,25.367,-101.017,58.0,1790.0
1948.0,1.7999999523162842,711556.0,25.367,-101.017,58.0,1790.0
1948.0,4.400000095367432,711557.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711558.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711559.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711560.0,25.367,-101.017,58.0,1790.0
1948.0,0.0,711561.0,25.367,-101.017,58.0,1790.0
