,Rain,Time,Latitude,Longitude,M,Z
1905.0,10.199999809265137,695788.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695789.0,42.45,-71.0833,67.0,52.1
1905.0,31.5,695790.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695791.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695792.0,42.45,-71.0833,67.0,52.1
1905.0,51.29999923706055,695793.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695794.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695795.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695796.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695797.0,42.45,-71.0833,67.0,52.1
1905.0,14.5,695798.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695799.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695800.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695801.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695802.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695803.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695804.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695805.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695806.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695807.0,42.45,-71.0833,67.0,52.1
1905.0,4.599999904632568,695808.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695809.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695810.0,42.45,-71.0833,67.0,52.1
1905.0,29.5,695811.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695812.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695813.0,42.45,-71.0833,67.0,52.1
1905.0,1.0,695814.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695815.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695816.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695817.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695818.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695819.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695820.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695821.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695822.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695823.0,42.45,-71.0833,67.0,52.1
1905.0,23.399999618530273,695824.0,42.45,-71.0833,67.0,52.1
1905.0,1.0,695825.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695826.0,42.45,-71.0833,67.0,52.1
1905.0,12.399999618530273,695827.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695828.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695829.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695830.0,42.45,-71.0833,67.0,52.1
1905.0,12.399999618530273,695831.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695832.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695833.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695834.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695835.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695836.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695837.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695838.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695839.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695840.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695841.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695842.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695843.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695844.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695845.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695846.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695847.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695848.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695849.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695850.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695851.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695852.0,42.45,-71.0833,67.0,52.1
1905.0,24.100000381469727,695853.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695854.0,42.45,-71.0833,67.0,52.1
1905.0,9.399999618530273,695855.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695856.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695857.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695858.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695859.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695860.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695861.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695862.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695863.0,42.45,-71.0833,67.0,52.1
1905.0,7.400000095367432,695864.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695865.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695866.0,42.45,-71.0833,67.0,52.1
1905.0,29.0,695867.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695868.0,42.45,-71.0833,67.0,52.1
1905.0,3.5999999046325684,695869.0,42.45,-71.0833,67.0,52.1
1905.0,7.099999904632568,695870.0,42.45,-71.0833,67.0,52.1
1905.0,0.5,695871.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695872.0,42.45,-71.0833,67.0,52.1
1905.0,0.800000011920929,695873.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695874.0,42.45,-71.0833,67.0,52.1
1905.0,1.5,695875.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695876.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695877.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695878.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695879.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695880.0,42.45,-71.0833,67.0,52.1
1905.0,0.5,695881.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695882.0,42.45,-71.0833,67.0,52.1
1905.0,36.79999923706055,695883.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695884.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695885.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695886.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695887.0,42.45,-71.0833,67.0,52.1
1905.0,14.5,695888.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695889.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695890.0,42.45,-71.0833,67.0,52.1
1905.0,0.5,695891.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695892.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695893.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695894.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695895.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695896.0,42.45,-71.0833,67.0,52.1
1905.0,0.5,695897.0,42.45,-71.0833,67.0,52.1
1905.0,11.699999809265137,695898.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695899.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695900.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695901.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695902.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695903.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695904.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695905.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695906.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695907.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695908.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695909.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695910.0,42.45,-71.0833,67.0,52.1
1905.0,0.30000001192092896,695911.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695912.0,42.45,-71.0833,67.0,52.1
1905.0,0.30000001192092896,695913.0,42.45,-71.0833,67.0,52.1
1905.0,1.5,695914.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695915.0,42.45,-71.0833,67.0,52.1
1905.0,1.5,695916.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695917.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695918.0,42.45,-71.0833,67.0,52.1
1905.0,0.5,695919.0,42.45,-71.0833,67.0,52.1
1905.0,0.5,695920.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695921.0,42.45,-71.0833,67.0,52.1
1905.0,2.0,695922.0,42.45,-71.0833,67.0,52.1
1905.0,5.599999904632568,695923.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695924.0,42.45,-71.0833,67.0,52.1
1905.0,6.599999904632568,695925.0,42.45,-71.0833,67.0,52.1
1905.0,7.400000095367432,695926.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695927.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695928.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695929.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695930.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695931.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695932.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695933.0,42.45,-71.0833,67.0,52.1
1905.0,7.599999904632568,695934.0,42.45,-71.0833,67.0,52.1
1905.0,0.800000011920929,695935.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695936.0,42.45,-71.0833,67.0,52.1
1905.0,1.2999999523162842,695937.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695938.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695939.0,42.45,-71.0833,67.0,52.1
1905.0,2.0,695940.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695941.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695942.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695943.0,42.45,-71.0833,67.0,52.1
1905.0,8.100000381469727,695944.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695945.0,42.45,-71.0833,67.0,52.1
1905.0,14.5,695946.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695947.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695948.0,42.45,-71.0833,67.0,52.1
1905.0,1.7999999523162842,695949.0,42.45,-71.0833,67.0,52.1
1905.0,26.899999618530273,695950.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695951.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695952.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695953.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695954.0,42.45,-71.0833,67.0,52.1
1905.0,1.2999999523162842,695955.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695956.0,42.45,-71.0833,67.0,52.1
1905.0,35.79999923706055,695957.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695958.0,42.45,-71.0833,67.0,52.1
1905.0,30.700000762939453,695959.0,42.45,-71.0833,67.0,52.1
1905.0,7.400000095367432,695960.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695961.0,42.45,-71.0833,67.0,52.1
1905.0,0.0,695962.0,42.45,-71.0833,67.0,52.1
