,Rain,Time,Latitude,Longitude,M,Z
1879.0,0.0,686292.0,36.78,3.07,54.0,59.0
1879.0,0.0,686293.0,36.78,3.07,54.0,59.0
1879.0,0.0,686294.0,36.78,3.07,54.0,59.0
1879.0,0.0,686295.0,36.78,3.07,54.0,59.0
1879.0,0.0,686296.0,36.78,3.07,54.0,59.0
1879.0,0.0,686297.0,36.78,3.07,54.0,59.0
1879.0,0.0,686298.0,36.78,3.07,54.0,59.0
1879.0,5.900000095367432,686299.0,36.78,3.07,54.0,59.0
1879.0,0.0,686300.0,36.78,3.07,54.0,59.0
1879.0,7.199999809265137,686301.0,36.78,3.07,54.0,59.0
1879.0,17.5,686302.0,36.78,3.07,54.0,59.0
1879.0,2.5,686303.0,36.78,3.07,54.0,59.0
1879.0,0.0,686304.0,36.78,3.07,54.0,59.0
1879.0,0.0,686305.0,36.78,3.07,54.0,59.0
1879.0,0.0,686306.0,36.78,3.07,54.0,59.0
1879.0,0.0,686307.0,36.78,3.07,54.0,59.0
1879.0,0.0,686308.0,36.78,3.07,54.0,59.0
1879.0,0.0,686309.0,36.78,3.07,54.0,59.0
1879.0,0.0,686310.0,36.78,3.07,54.0,59.0
1879.0,0.0,686311.0,36.78,3.07,54.0,59.0
1879.0,0.0,686312.0,36.78,3.07,54.0,59.0
1879.0,0.0,686313.0,36.78,3.07,54.0,59.0
1879.0,0.0,686314.0,36.78,3.07,54.0,59.0
1879.0,1.0,686315.0,36.78,3.07,54.0,59.0
1879.0,0.4000000059604645,686316.0,36.78,3.07,54.0,59.0
1879.0,4.5,686317.0,36.78,3.07,54.0,59.0
1879.0,0.0,686318.0,36.78,3.07,54.0,59.0
1879.0,0.0,686319.0,36.78,3.07,54.0,59.0
1879.0,0.0,686320.0,36.78,3.07,54.0,59.0
1879.0,0.0,686321.0,36.78,3.07,54.0,59.0
1879.0,0.0,686322.0,36.78,3.07,54.0,59.0
1879.0,0.0,686323.0,36.78,3.07,54.0,59.0
1879.0,0.0,686324.0,36.78,3.07,54.0,59.0
1879.0,0.0,686325.0,36.78,3.07,54.0,59.0
1879.0,13.600000381469727,686326.0,36.78,3.07,54.0,59.0
1879.0,6.400000095367432,686327.0,36.78,3.07,54.0,59.0
1879.0,0.0,686328.0,36.78,3.07,54.0,59.0
1879.0,0.0,686329.0,36.78,3.07,54.0,59.0
1879.0,0.0,686330.0,36.78,3.07,54.0,59.0
1879.0,0.0,686331.0,36.78,3.07,54.0,59.0
1879.0,0.0,686332.0,36.78,3.07,54.0,59.0
1879.0,0.0,686333.0,36.78,3.07,54.0,59.0
1879.0,0.0,686334.0,36.78,3.07,54.0,59.0
1879.0,0.0,686335.0,36.78,3.07,54.0,59.0
1879.0,0.0,686336.0,36.78,3.07,54.0,59.0
1879.0,0.0,686337.0,36.78,3.07,54.0,59.0
1879.0,0.0,686338.0,36.78,3.07,54.0,59.0
1879.0,0.0,686339.0,36.78,3.07,54.0,59.0
1879.0,0.0,686340.0,36.78,3.07,54.0,59.0
1879.0,0.0,686341.0,36.78,3.07,54.0,59.0
1879.0,0.0,686342.0,36.78,3.07,54.0,59.0
1879.0,0.0,686343.0,36.78,3.07,54.0,59.0
1879.0,4.599999904632568,686344.0,36.78,3.07,54.0,59.0
1879.0,0.0,686345.0,36.78,3.07,54.0,59.0
1879.0,42.79999923706055,686346.0,36.78,3.07,54.0,59.0
1879.0,34.29999923706055,686347.0,36.78,3.07,54.0,59.0
1879.0,4.099999904632568,686348.0,36.78,3.07,54.0,59.0
