,Rain,Time,Latitude,Longitude,M,Z
1896.0,24.0,692501.0,60.6458,6.2233,122.0,323.0
1896.0,2.4000000953674316,692502.0,60.6458,6.2233,122.0,323.0
1896.0,0.20000000298023224,692503.0,60.6458,6.2233,122.0,323.0
1896.0,0.0,692504.0,60.6458,6.2233,122.0,323.0
1896.0,0.0,692505.0,60.6458,6.2233,122.0,323.0
1896.0,0.0,692506.0,60.6458,6.2233,122.0,323.0
1896.0,3.0999999046325684,692507.0,60.6458,6.2233,122.0,323.0
1896.0,0.0,692508.0,60.6458,6.2233,122.0,323.0
1896.0,2.9000000953674316,692509.0,60.6458,6.2233,122.0,323.0
1896.0,1.399999976158142,692510.0,60.6458,6.2233,122.0,323.0
1896.0,2.799999952316284,692511.0,60.6458,6.2233,122.0,323.0
1896.0,9.899999618530273,692512.0,60.6458,6.2233,122.0,323.0
1896.0,13.600000381469727,692513.0,60.6458,6.2233,122.0,323.0
1896.0,0.0,692514.0,60.6458,6.2233,122.0,323.0
1896.0,2.4000000953674316,692515.0,60.6458,6.2233,122.0,323.0
1896.0,0.0,692516.0,60.6458,6.2233,122.0,323.0
1896.0,21.5,692517.0,60.6458,6.2233,122.0,323.0
1896.0,13.800000190734863,692518.0,60.6458,6.2233,122.0,323.0
1896.0,12.199999809265137,692519.0,60.6458,6.2233,122.0,323.0
1896.0,24.200000762939453,692520.0,60.6458,6.2233,122.0,323.0
1896.0,33.79999923706055,692521.0,60.6458,6.2233,122.0,323.0
1896.0,34.0,692522.0,60.6458,6.2233,122.0,323.0
1896.0,1.7999999523162842,692523.0,60.6458,6.2233,122.0,323.0
1896.0,15.100000381469727,692524.0,60.6458,6.2233,122.0,323.0
1896.0,0.0,692525.0,60.6458,6.2233,122.0,323.0
1896.0,0.0,692526.0,60.6458,6.2233,122.0,323.0
1896.0,30.200000762939453,692527.0,60.6458,6.2233,122.0,323.0
1896.0,17.200000762939453,692528.0,60.6458,6.2233,122.0,323.0
1896.0,41.20000076293945,692529.0,60.6458,6.2233,122.0,323.0
1896.0,35.0,692530.0,60.6458,6.2233,122.0,323.0
1896.0,9.0,692531.0,60.6458,6.2233,122.0,323.0
1896.0,1.2000000476837158,692532.0,60.6458,6.2233,122.0,323.0
1896.0,7.199999809265137,692533.0,60.6458,6.2233,122.0,323.0
