,Rain,Time,Latitude,Longitude,M,Z
1936.0,0.30000001192092896,707110.0,52.4656,9.6794,81.0,55.0
1936.0,0.20000000298023224,707111.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707112.0,52.4656,9.6794,81.0,55.0
1936.0,2.0999999046325684,707113.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707114.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707115.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707116.0,52.4656,9.6794,81.0,55.0
1936.0,5.199999809265137,707117.0,52.4656,9.6794,81.0,55.0
1936.0,4.199999809265137,707118.0,52.4656,9.6794,81.0,55.0
1936.0,6.400000095367432,707119.0,52.4656,9.6794,81.0,55.0
1936.0,0.30000001192092896,707120.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707121.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707122.0,52.4656,9.6794,81.0,55.0
1936.0,1.0,707123.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707124.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707125.0,52.4656,9.6794,81.0,55.0
1936.0,3.5999999046325684,707126.0,52.4656,9.6794,81.0,55.0
1936.0,1.399999976158142,707127.0,52.4656,9.6794,81.0,55.0
1936.0,0.10000000149011612,707128.0,52.4656,9.6794,81.0,55.0
1936.0,0.6000000238418579,707129.0,52.4656,9.6794,81.0,55.0
1936.0,1.5,707130.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707131.0,52.4656,9.6794,81.0,55.0
1936.0,0.4000000059604645,707132.0,52.4656,9.6794,81.0,55.0
1936.0,1.399999976158142,707133.0,52.4656,9.6794,81.0,55.0
1936.0,1.0,707134.0,52.4656,9.6794,81.0,55.0
1936.0,0.10000000149011612,707135.0,52.4656,9.6794,81.0,55.0
1936.0,0.30000001192092896,707136.0,52.4656,9.6794,81.0,55.0
1936.0,0.699999988079071,707137.0,52.4656,9.6794,81.0,55.0
1936.0,1.5,707138.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707139.0,52.4656,9.6794,81.0,55.0
1936.0,7.400000095367432,707140.0,52.4656,9.6794,81.0,55.0
1936.0,2.0,707141.0,52.4656,9.6794,81.0,55.0
1936.0,16.799999237060547,707142.0,52.4656,9.6794,81.0,55.0
1936.0,2.5999999046325684,707143.0,52.4656,9.6794,81.0,55.0
1936.0,0.10000000149011612,707144.0,52.4656,9.6794,81.0,55.0
1936.0,0.5,707145.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707146.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707147.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707148.0,52.4656,9.6794,81.0,55.0
1936.0,1.100000023841858,707149.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707150.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707151.0,52.4656,9.6794,81.0,55.0
1936.0,1.5,707152.0,52.4656,9.6794,81.0,55.0
1936.0,0.800000011920929,707153.0,52.4656,9.6794,81.0,55.0
1936.0,0.10000000149011612,707154.0,52.4656,9.6794,81.0,55.0
1936.0,11.399999618530273,707155.0,52.4656,9.6794,81.0,55.0
1936.0,1.100000023841858,707156.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707157.0,52.4656,9.6794,81.0,55.0
1936.0,9.199999809265137,707158.0,52.4656,9.6794,81.0,55.0
1936.0,8.100000381469727,707159.0,52.4656,9.6794,81.0,55.0
1936.0,2.700000047683716,707160.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707161.0,52.4656,9.6794,81.0,55.0
1936.0,4.5,707162.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707163.0,52.4656,9.6794,81.0,55.0
1936.0,3.5999999046325684,707164.0,52.4656,9.6794,81.0,55.0
1936.0,1.600000023841858,707165.0,52.4656,9.6794,81.0,55.0
1936.0,0.4000000059604645,707166.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707167.0,52.4656,9.6794,81.0,55.0
1936.0,13.600000381469727,707168.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707169.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707170.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707171.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707172.0,52.4656,9.6794,81.0,55.0
1936.0,0.10000000149011612,707173.0,52.4656,9.6794,81.0,55.0
1936.0,0.10000000149011612,707174.0,52.4656,9.6794,81.0,55.0
1936.0,0.4000000059604645,707175.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707176.0,52.4656,9.6794,81.0,55.0
1936.0,0.30000001192092896,707177.0,52.4656,9.6794,81.0,55.0
1936.0,0.8999999761581421,707178.0,52.4656,9.6794,81.0,55.0
1936.0,0.10000000149011612,707179.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707180.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707181.0,52.4656,9.6794,81.0,55.0
1936.0,0.10000000149011612,707182.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707183.0,52.4656,9.6794,81.0,55.0
1936.0,1.399999976158142,707184.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707185.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707186.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707187.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707188.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707189.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707190.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707191.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707192.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707193.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707194.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707195.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707196.0,52.4656,9.6794,81.0,55.0
1936.0,0.8999999761581421,707197.0,52.4656,9.6794,81.0,55.0
1936.0,1.600000023841858,707198.0,52.4656,9.6794,81.0,55.0
1936.0,4.599999904632568,707199.0,52.4656,9.6794,81.0,55.0
1936.0,0.800000011920929,707200.0,52.4656,9.6794,81.0,55.0
1936.0,3.700000047683716,707201.0,52.4656,9.6794,81.0,55.0
1936.0,5.900000095367432,707202.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707203.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707204.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707205.0,52.4656,9.6794,81.0,55.0
1936.0,0.6000000238418579,707206.0,52.4656,9.6794,81.0,55.0
1936.0,0.5,707207.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707208.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707209.0,52.4656,9.6794,81.0,55.0
1936.0,1.100000023841858,707210.0,52.4656,9.6794,81.0,55.0
1936.0,0.5,707211.0,52.4656,9.6794,81.0,55.0
1936.0,6.300000190734863,707212.0,52.4656,9.6794,81.0,55.0
1936.0,1.600000023841858,707213.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707214.0,52.4656,9.6794,81.0,55.0
1936.0,5.900000095367432,707215.0,52.4656,9.6794,81.0,55.0
1936.0,2.9000000953674316,707216.0,52.4656,9.6794,81.0,55.0
1936.0,21.899999618530273,707217.0,52.4656,9.6794,81.0,55.0
1936.0,25.399999618530273,707218.0,52.4656,9.6794,81.0,55.0
1936.0,0.800000011920929,707219.0,52.4656,9.6794,81.0,55.0
1936.0,9.300000190734863,707220.0,52.4656,9.6794,81.0,55.0
1936.0,0.800000011920929,707221.0,52.4656,9.6794,81.0,55.0
1936.0,4.699999809265137,707222.0,52.4656,9.6794,81.0,55.0
1936.0,0.699999988079071,707223.0,52.4656,9.6794,81.0,55.0
1936.0,3.0,707224.0,52.4656,9.6794,81.0,55.0
1936.0,0.30000001192092896,707225.0,52.4656,9.6794,81.0,55.0
1936.0,0.30000001192092896,707226.0,52.4656,9.6794,81.0,55.0
1936.0,2.700000047683716,707227.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707228.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707229.0,52.4656,9.6794,81.0,55.0
1936.0,0.699999988079071,707230.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707231.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707232.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707233.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707234.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707235.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707236.0,52.4656,9.6794,81.0,55.0
1936.0,0.20000000298023224,707237.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707238.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707239.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707240.0,52.4656,9.6794,81.0,55.0
1936.0,0.4000000059604645,707241.0,52.4656,9.6794,81.0,55.0
1936.0,6.0,707242.0,52.4656,9.6794,81.0,55.0
1936.0,7.099999904632568,707243.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707244.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707245.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707246.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707247.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707248.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707249.0,52.4656,9.6794,81.0,55.0
1936.0,0.800000011920929,707250.0,52.4656,9.6794,81.0,55.0
1936.0,2.5999999046325684,707251.0,52.4656,9.6794,81.0,55.0
1936.0,1.7999999523162842,707252.0,52.4656,9.6794,81.0,55.0
1936.0,11.300000190734863,707253.0,52.4656,9.6794,81.0,55.0
1936.0,0.20000000298023224,707254.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707255.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707256.0,52.4656,9.6794,81.0,55.0
1936.0,2.0,707257.0,52.4656,9.6794,81.0,55.0
1936.0,0.30000001192092896,707258.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707259.0,52.4656,9.6794,81.0,55.0
1936.0,3.5999999046325684,707260.0,52.4656,9.6794,81.0,55.0
1936.0,5.900000095367432,707261.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707262.0,52.4656,9.6794,81.0,55.0
1936.0,0.20000000298023224,707263.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707264.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707265.0,52.4656,9.6794,81.0,55.0
1936.0,0.10000000149011612,707266.0,52.4656,9.6794,81.0,55.0
1936.0,1.2000000476837158,707267.0,52.4656,9.6794,81.0,55.0
1936.0,4.199999809265137,707268.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707269.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707270.0,52.4656,9.6794,81.0,55.0
1936.0,3.9000000953674316,707271.0,52.4656,9.6794,81.0,55.0
1936.0,0.30000001192092896,707272.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707273.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707274.0,52.4656,9.6794,81.0,55.0
1936.0,3.700000047683716,707275.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707276.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707277.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707278.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707279.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707280.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707281.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707282.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707283.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707284.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707285.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707286.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707287.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707288.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707289.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707290.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707291.0,52.4656,9.6794,81.0,55.0
1936.0,0.20000000298023224,707292.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707293.0,52.4656,9.6794,81.0,55.0
1936.0,1.100000023841858,707294.0,52.4656,9.6794,81.0,55.0
1936.0,2.700000047683716,707295.0,52.4656,9.6794,81.0,55.0
1936.0,1.399999976158142,707296.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707297.0,52.4656,9.6794,81.0,55.0
1936.0,6.0,707298.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707299.0,52.4656,9.6794,81.0,55.0
1936.0,12.0,707300.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707301.0,52.4656,9.6794,81.0,55.0
1936.0,0.800000011920929,707302.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707303.0,52.4656,9.6794,81.0,55.0
1936.0,1.7000000476837158,707304.0,52.4656,9.6794,81.0,55.0
1936.0,7.5,707305.0,52.4656,9.6794,81.0,55.0
1936.0,8.899999618530273,707306.0,52.4656,9.6794,81.0,55.0
1936.0,8.100000381469727,707307.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707308.0,52.4656,9.6794,81.0,55.0
1936.0,23.100000381469727,707309.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707310.0,52.4656,9.6794,81.0,55.0
1936.0,0.30000001192092896,707311.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707312.0,52.4656,9.6794,81.0,55.0
1936.0,3.4000000953674316,707313.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707314.0,52.4656,9.6794,81.0,55.0
1936.0,1.600000023841858,707315.0,52.4656,9.6794,81.0,55.0
1936.0,0.5,707316.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707317.0,52.4656,9.6794,81.0,55.0
1936.0,1.2000000476837158,707318.0,52.4656,9.6794,81.0,55.0
1936.0,3.200000047683716,707319.0,52.4656,9.6794,81.0,55.0
1936.0,8.199999809265137,707320.0,52.4656,9.6794,81.0,55.0
1936.0,2.799999952316284,707321.0,52.4656,9.6794,81.0,55.0
1936.0,0.4000000059604645,707322.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707323.0,52.4656,9.6794,81.0,55.0
1936.0,1.600000023841858,707324.0,52.4656,9.6794,81.0,55.0
1936.0,0.30000001192092896,707325.0,52.4656,9.6794,81.0,55.0
1936.0,2.9000000953674316,707326.0,52.4656,9.6794,81.0,55.0
1936.0,9.199999809265137,707327.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707328.0,52.4656,9.6794,81.0,55.0
1936.0,2.200000047683716,707329.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707330.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707331.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707332.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707333.0,52.4656,9.6794,81.0,55.0
1936.0,3.799999952316284,707334.0,52.4656,9.6794,81.0,55.0
1936.0,7.099999904632568,707335.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707336.0,52.4656,9.6794,81.0,55.0
1936.0,0.0,707337.0,52.4656,9.6794,81.0,55.0
