,Rain,Time,Latitude,Longitude,M,Z
1920.0,0.0,701266.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701267.0,40.4117,-3.6781,94.0,667.0
1920.0,1.399999976158142,701268.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701269.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701270.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701271.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701272.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701273.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701274.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701275.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701276.0,40.4117,-3.6781,94.0,667.0
1920.0,0.20000000298023224,701277.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701278.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701279.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701280.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701281.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701282.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701283.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701284.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701285.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701286.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701287.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701288.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701289.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701290.0,40.4117,-3.6781,94.0,667.0
1920.0,0.800000011920929,701291.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701292.0,40.4117,-3.6781,94.0,667.0
1920.0,0.4000000059604645,701293.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701294.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701295.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701296.0,40.4117,-3.6781,94.0,667.0
1920.0,0.0,701297.0,40.4117,-3.6781,94.0,667.0
