,Rain,Time,Latitude,Longitude,M,Z
1882.0,0.0,687388.0,44.62,33.53,96.0,7.0
1882.0,0.0,687389.0,44.62,33.53,96.0,7.0
1882.0,0.0,687390.0,44.62,33.53,96.0,7.0
1882.0,0.0,687391.0,44.62,33.53,96.0,7.0
1882.0,0.0,687392.0,44.62,33.53,96.0,7.0
1882.0,2.5,687393.0,44.62,33.53,96.0,7.0
1882.0,0.0,687394.0,44.62,33.53,96.0,7.0
1882.0,0.0,687395.0,44.62,33.53,96.0,7.0
1882.0,0.0,687396.0,44.62,33.53,96.0,7.0
1882.0,0.0,687397.0,44.62,33.53,96.0,7.0
1882.0,0.20000000298023224,687398.0,44.62,33.53,96.0,7.0
1882.0,1.7000000476837158,687399.0,44.62,33.53,96.0,7.0
1882.0,4.400000095367432,687400.0,44.62,33.53,96.0,7.0
1882.0,0.0,687401.0,44.62,33.53,96.0,7.0
1882.0,0.0,687402.0,44.62,33.53,96.0,7.0
1882.0,0.0,687403.0,44.62,33.53,96.0,7.0
1882.0,0.0,687404.0,44.62,33.53,96.0,7.0
1882.0,0.0,687405.0,44.62,33.53,96.0,7.0
1882.0,1.399999976158142,687406.0,44.62,33.53,96.0,7.0
1882.0,0.0,687407.0,44.62,33.53,96.0,7.0
1882.0,2.700000047683716,687408.0,44.62,33.53,96.0,7.0
1882.0,0.30000001192092896,687409.0,44.62,33.53,96.0,7.0
1882.0,0.0,687410.0,44.62,33.53,96.0,7.0
1882.0,0.0,687411.0,44.62,33.53,96.0,7.0
1882.0,0.20000000298023224,687412.0,44.62,33.53,96.0,7.0
1882.0,0.0,687413.0,44.62,33.53,96.0,7.0
1882.0,0.0,687414.0,44.62,33.53,96.0,7.0
1882.0,0.0,687415.0,44.62,33.53,96.0,7.0
1882.0,0.0,687416.0,44.62,33.53,96.0,7.0
1882.0,1.100000023841858,687417.0,44.62,33.53,96.0,7.0
1882.0,0.0,687418.0,44.62,33.53,96.0,7.0
1882.0,0.0,687419.0,44.62,33.53,96.0,7.0
1882.0,0.0,687420.0,44.62,33.53,96.0,7.0
1882.0,0.0,687421.0,44.62,33.53,96.0,7.0
1882.0,0.0,687422.0,44.62,33.53,96.0,7.0
1882.0,0.0,687423.0,44.62,33.53,96.0,7.0
1882.0,0.0,687424.0,44.62,33.53,96.0,7.0
1882.0,1.7000000476837158,687425.0,44.62,33.53,96.0,7.0
1882.0,2.4000000953674316,687426.0,44.62,33.53,96.0,7.0
1882.0,0.0,687427.0,44.62,33.53,96.0,7.0
1882.0,2.5,687428.0,44.62,33.53,96.0,7.0
1882.0,3.5,687429.0,44.62,33.53,96.0,7.0
1882.0,0.0,687430.0,44.62,33.53,96.0,7.0
1882.0,0.0,687431.0,44.62,33.53,96.0,7.0
1882.0,0.0,687432.0,44.62,33.53,96.0,7.0
1882.0,0.0,687433.0,44.62,33.53,96.0,7.0
1882.0,0.0,687434.0,44.62,33.53,96.0,7.0
1882.0,0.0,687435.0,44.62,33.53,96.0,7.0
1882.0,0.0,687436.0,44.62,33.53,96.0,7.0
1882.0,0.0,687437.0,44.62,33.53,96.0,7.0
1882.0,0.0,687438.0,44.62,33.53,96.0,7.0
1882.0,0.0,687439.0,44.62,33.53,96.0,7.0
1882.0,5.099999904632568,687440.0,44.62,33.53,96.0,7.0
1882.0,1.100000023841858,687441.0,44.62,33.53,96.0,7.0
1882.0,0.6000000238418579,687442.0,44.62,33.53,96.0,7.0
1882.0,0.0,687443.0,44.62,33.53,96.0,7.0
1882.0,0.0,687444.0,44.62,33.53,96.0,7.0
1882.0,0.0,687445.0,44.62,33.53,96.0,7.0
1882.0,0.800000011920929,687446.0,44.62,33.53,96.0,7.0
1882.0,0.5,687447.0,44.62,33.53,96.0,7.0
1882.0,0.0,687448.0,44.62,33.53,96.0,7.0
1882.0,0.0,687449.0,44.62,33.53,96.0,7.0
1882.0,2.200000047683716,687450.0,44.62,33.53,96.0,7.0
1882.0,0.0,687451.0,44.62,33.53,96.0,7.0
1882.0,0.0,687452.0,44.62,33.53,96.0,7.0
1882.0,0.0,687453.0,44.62,33.53,96.0,7.0
1882.0,0.0,687454.0,44.62,33.53,96.0,7.0
1882.0,7.400000095367432,687455.0,44.62,33.53,96.0,7.0
1882.0,0.0,687456.0,44.62,33.53,96.0,7.0
1882.0,1.399999976158142,687457.0,44.62,33.53,96.0,7.0
1882.0,0.0,687458.0,44.62,33.53,96.0,7.0
1882.0,0.0,687459.0,44.62,33.53,96.0,7.0
1882.0,0.0,687460.0,44.62,33.53,96.0,7.0
1882.0,0.0,687461.0,44.62,33.53,96.0,7.0
1882.0,0.0,687462.0,44.62,33.53,96.0,7.0
1882.0,0.0,687463.0,44.62,33.53,96.0,7.0
1882.0,0.0,687464.0,44.62,33.53,96.0,7.0
1882.0,0.0,687465.0,44.62,33.53,96.0,7.0
1882.0,0.0,687466.0,44.62,33.53,96.0,7.0
1882.0,0.0,687467.0,44.62,33.53,96.0,7.0
1882.0,0.0,687468.0,44.62,33.53,96.0,7.0
1882.0,0.0,687469.0,44.62,33.53,96.0,7.0
1882.0,0.0,687470.0,44.62,33.53,96.0,7.0
1882.0,0.0,687471.0,44.62,33.53,96.0,7.0
1882.0,0.0,687472.0,44.62,33.53,96.0,7.0
1882.0,0.0,687473.0,44.62,33.53,96.0,7.0
1882.0,0.0,687474.0,44.62,33.53,96.0,7.0
1882.0,5.5,687475.0,44.62,33.53,96.0,7.0
1882.0,0.0,687476.0,44.62,33.53,96.0,7.0
1882.0,0.0,687477.0,44.62,33.53,96.0,7.0
1882.0,0.0,687478.0,44.62,33.53,96.0,7.0
1882.0,0.0,687479.0,44.62,33.53,96.0,7.0
1882.0,0.0,687480.0,44.62,33.53,96.0,7.0
1882.0,0.0,687481.0,44.62,33.53,96.0,7.0
1882.0,0.0,687482.0,44.62,33.53,96.0,7.0
1882.0,0.0,687483.0,44.62,33.53,96.0,7.0
1882.0,0.0,687484.0,44.62,33.53,96.0,7.0
1882.0,4.900000095367432,687485.0,44.62,33.53,96.0,7.0
1882.0,0.0,687486.0,44.62,33.53,96.0,7.0
1882.0,0.0,687487.0,44.62,33.53,96.0,7.0
1882.0,7.099999904632568,687488.0,44.62,33.53,96.0,7.0
1882.0,0.0,687489.0,44.62,33.53,96.0,7.0
1882.0,0.0,687490.0,44.62,33.53,96.0,7.0
1882.0,0.0,687491.0,44.62,33.53,96.0,7.0
1882.0,0.0,687492.0,44.62,33.53,96.0,7.0
1882.0,0.0,687493.0,44.62,33.53,96.0,7.0
1882.0,0.0,687494.0,44.62,33.53,96.0,7.0
1882.0,0.0,687495.0,44.62,33.53,96.0,7.0
1882.0,0.0,687496.0,44.62,33.53,96.0,7.0
1882.0,0.0,687497.0,44.62,33.53,96.0,7.0
1882.0,0.0,687498.0,44.62,33.53,96.0,7.0
1882.0,0.0,687499.0,44.62,33.53,96.0,7.0
1882.0,0.0,687500.0,44.62,33.53,96.0,7.0
1882.0,0.0,687501.0,44.62,33.53,96.0,7.0
1882.0,0.0,687502.0,44.62,33.53,96.0,7.0
1882.0,0.0,687503.0,44.62,33.53,96.0,7.0
1882.0,0.0,687504.0,44.62,33.53,96.0,7.0
1882.0,0.0,687505.0,44.62,33.53,96.0,7.0
1882.0,0.0,687506.0,44.62,33.53,96.0,7.0
1882.0,10.600000381469727,687507.0,44.62,33.53,96.0,7.0
1882.0,0.0,687508.0,44.62,33.53,96.0,7.0
1882.0,0.0,687509.0,44.62,33.53,96.0,7.0
1882.0,0.0,687510.0,44.62,33.53,96.0,7.0
1882.0,0.0,687511.0,44.62,33.53,96.0,7.0
1882.0,0.0,687512.0,44.62,33.53,96.0,7.0
1882.0,0.0,687513.0,44.62,33.53,96.0,7.0
1882.0,0.0,687514.0,44.62,33.53,96.0,7.0
1882.0,0.0,687515.0,44.62,33.53,96.0,7.0
1882.0,0.0,687516.0,44.62,33.53,96.0,7.0
1882.0,0.0,687517.0,44.62,33.53,96.0,7.0
1882.0,0.0,687518.0,44.62,33.53,96.0,7.0
1882.0,6.400000095367432,687519.0,44.62,33.53,96.0,7.0
1882.0,0.0,687520.0,44.62,33.53,96.0,7.0
1882.0,0.0,687521.0,44.62,33.53,96.0,7.0
1882.0,0.0,687522.0,44.62,33.53,96.0,7.0
1882.0,0.0,687523.0,44.62,33.53,96.0,7.0
1882.0,0.0,687524.0,44.62,33.53,96.0,7.0
