,Rain,Time,Latitude,Longitude,M,Z
1936.0,0.0,707110.0,70.97,94.5,71.0,37.0
1936.0,0.5,707111.0,70.97,94.5,71.0,37.0
1936.0,0.10000000149011612,707112.0,70.97,94.5,71.0,37.0
1936.0,0.0,707113.0,70.97,94.5,71.0,37.0
1936.0,0.0,707114.0,70.97,94.5,71.0,37.0
1936.0,0.0,707115.0,70.97,94.5,71.0,37.0
1936.0,0.0,707116.0,70.97,94.5,71.0,37.0
1936.0,0.0,707117.0,70.97,94.5,71.0,37.0
1936.0,0.10000000149011612,707118.0,70.97,94.5,71.0,37.0
1936.0,0.0,707119.0,70.97,94.5,71.0,37.0
1936.0,0.0,707120.0,70.97,94.5,71.0,37.0
1936.0,0.0,707121.0,70.97,94.5,71.0,37.0
1936.0,0.10000000149011612,707122.0,70.97,94.5,71.0,37.0
1936.0,0.6000000238418579,707123.0,70.97,94.5,71.0,37.0
1936.0,0.0,707124.0,70.97,94.5,71.0,37.0
1936.0,0.0,707125.0,70.97,94.5,71.0,37.0
1936.0,0.0,707126.0,70.97,94.5,71.0,37.0
1936.0,0.0,707127.0,70.97,94.5,71.0,37.0
1936.0,0.0,707128.0,70.97,94.5,71.0,37.0
1936.0,0.0,707129.0,70.97,94.5,71.0,37.0
1936.0,0.0,707130.0,70.97,94.5,71.0,37.0
1936.0,0.0,707131.0,70.97,94.5,71.0,37.0
1936.0,0.0,707132.0,70.97,94.5,71.0,37.0
1936.0,0.0,707133.0,70.97,94.5,71.0,37.0
1936.0,0.0,707134.0,70.97,94.5,71.0,37.0
1936.0,0.0,707135.0,70.97,94.5,71.0,37.0
1936.0,0.0,707136.0,70.97,94.5,71.0,37.0
1936.0,0.10000000149011612,707137.0,70.97,94.5,71.0,37.0
1936.0,0.0,707138.0,70.97,94.5,71.0,37.0
1936.0,0.0,707139.0,70.97,94.5,71.0,37.0
1936.0,0.0,707140.0,70.97,94.5,71.0,37.0
1936.0,0.0,707141.0,70.97,94.5,71.0,37.0
1936.0,0.0,707142.0,70.97,94.5,71.0,37.0
1936.0,0.0,707143.0,70.97,94.5,71.0,37.0
1936.0,0.0,707144.0,70.97,94.5,71.0,37.0
1936.0,0.0,707145.0,70.97,94.5,71.0,37.0
1936.0,0.0,707146.0,70.97,94.5,71.0,37.0
1936.0,0.0,707147.0,70.97,94.5,71.0,37.0
1936.0,0.0,707148.0,70.97,94.5,71.0,37.0
1936.0,0.0,707149.0,70.97,94.5,71.0,37.0
1936.0,0.0,707150.0,70.97,94.5,71.0,37.0
1936.0,0.10000000149011612,707151.0,70.97,94.5,71.0,37.0
1936.0,0.0,707152.0,70.97,94.5,71.0,37.0
1936.0,0.4000000059604645,707153.0,70.97,94.5,71.0,37.0
1936.0,0.20000000298023224,707154.0,70.97,94.5,71.0,37.0
1936.0,0.0,707155.0,70.97,94.5,71.0,37.0
1936.0,0.0,707156.0,70.97,94.5,71.0,37.0
1936.0,0.0,707157.0,70.97,94.5,71.0,37.0
1936.0,0.0,707158.0,70.97,94.5,71.0,37.0
1936.0,0.0,707159.0,70.97,94.5,71.0,37.0
1936.0,0.699999988079071,707160.0,70.97,94.5,71.0,37.0
1936.0,0.0,707161.0,70.97,94.5,71.0,37.0
1936.0,0.0,707162.0,70.97,94.5,71.0,37.0
1936.0,0.20000000298023224,707163.0,70.97,94.5,71.0,37.0
1936.0,0.10000000149011612,707164.0,70.97,94.5,71.0,37.0
1936.0,1.899999976158142,707165.0,70.97,94.5,71.0,37.0
1936.0,0.5,707166.0,70.97,94.5,71.0,37.0
1936.0,0.0,707167.0,70.97,94.5,71.0,37.0
1936.0,0.0,707168.0,70.97,94.5,71.0,37.0
1936.0,0.0,707169.0,70.97,94.5,71.0,37.0
1936.0,0.699999988079071,707170.0,70.97,94.5,71.0,37.0
1936.0,0.8999999761581421,707171.0,70.97,94.5,71.0,37.0
1936.0,0.4000000059604645,707172.0,70.97,94.5,71.0,37.0
1936.0,0.0,707173.0,70.97,94.5,71.0,37.0
1936.0,0.0,707174.0,70.97,94.5,71.0,37.0
