,Rain,Time,Latitude,Longitude,M,Z
1938.0,18.200000762939453,707841.0,28.4631,-16.2553,64.0,35.0
1938.0,0.4000000059604645,707842.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707843.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707844.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707845.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707846.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707847.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707848.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707849.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707850.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707851.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707852.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707853.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707854.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707855.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707856.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707857.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707858.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707859.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707860.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707861.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707862.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707863.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707864.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707865.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707866.0,28.4631,-16.2553,64.0,35.0
1938.0,1.5,707867.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707868.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707869.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707870.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707871.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707872.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707873.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707874.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707875.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707876.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707877.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707878.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707879.0,28.4631,-16.2553,64.0,35.0
1938.0,0.30000001192092896,707880.0,28.4631,-16.2553,64.0,35.0
1938.0,0.30000001192092896,707881.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707882.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707883.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707884.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707885.0,28.4631,-16.2553,64.0,35.0
1938.0,0.0,707886.0,28.4631,-16.2553,64.0,35.0
1938.0,0.20000000298023224,707887.0,28.4631,-16.2553,64.0,35.0
