,Rain,Time,Latitude,Longitude,M,Z
1937.0,0.0,707476.0,39.467,48.55,51.0,3.0
1937.0,0.0,707477.0,39.467,48.55,51.0,3.0
1937.0,0.0,707478.0,39.467,48.55,51.0,3.0
1937.0,0.0,707479.0,39.467,48.55,51.0,3.0
1937.0,1.2999999523162842,707480.0,39.467,48.55,51.0,3.0
1937.0,0.0,707481.0,39.467,48.55,51.0,3.0
1937.0,0.0,707482.0,39.467,48.55,51.0,3.0
1937.0,0.0,707483.0,39.467,48.55,51.0,3.0
1937.0,0.0,707484.0,39.467,48.55,51.0,3.0
1937.0,0.0,707485.0,39.467,48.55,51.0,3.0
1937.0,0.0,707486.0,39.467,48.55,51.0,3.0
1937.0,0.0,707487.0,39.467,48.55,51.0,3.0
1937.0,0.0,707488.0,39.467,48.55,51.0,3.0
1937.0,0.699999988079071,707489.0,39.467,48.55,51.0,3.0
1937.0,2.9000000953674316,707490.0,39.467,48.55,51.0,3.0
1937.0,0.0,707491.0,39.467,48.55,51.0,3.0
1937.0,0.0,707492.0,39.467,48.55,51.0,3.0
1937.0,21.700000762939453,707493.0,39.467,48.55,51.0,3.0
1937.0,0.0,707494.0,39.467,48.55,51.0,3.0
1937.0,0.30000001192092896,707495.0,39.467,48.55,51.0,3.0
1937.0,0.0,707496.0,39.467,48.55,51.0,3.0
1937.0,1.600000023841858,707497.0,39.467,48.55,51.0,3.0
1937.0,7.800000190734863,707498.0,39.467,48.55,51.0,3.0
1937.0,8.5,707499.0,39.467,48.55,51.0,3.0
1937.0,8.399999618530273,707500.0,39.467,48.55,51.0,3.0
1937.0,0.10000000149011612,707501.0,39.467,48.55,51.0,3.0
1937.0,0.0,707502.0,39.467,48.55,51.0,3.0
1937.0,0.0,707503.0,39.467,48.55,51.0,3.0
1937.0,0.0,707504.0,39.467,48.55,51.0,3.0
1937.0,0.0,707505.0,39.467,48.55,51.0,3.0
1937.0,11.0,707506.0,39.467,48.55,51.0,3.0
1937.0,7.0,707507.0,39.467,48.55,51.0,3.0
1937.0,8.0,707508.0,39.467,48.55,51.0,3.0
1937.0,0.0,707509.0,39.467,48.55,51.0,3.0
1937.0,0.0,707510.0,39.467,48.55,51.0,3.0
1937.0,0.0,707511.0,39.467,48.55,51.0,3.0
1937.0,0.0,707512.0,39.467,48.55,51.0,3.0
1937.0,0.0,707513.0,39.467,48.55,51.0,3.0
1937.0,0.0,707514.0,39.467,48.55,51.0,3.0
1937.0,0.0,707515.0,39.467,48.55,51.0,3.0
1937.0,0.4000000059604645,707516.0,39.467,48.55,51.0,3.0
1937.0,0.0,707517.0,39.467,48.55,51.0,3.0
1937.0,0.0,707518.0,39.467,48.55,51.0,3.0
