,Rain,Time,Latitude,Longitude,M,Z
1925.0,2.5,703093.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703094.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703095.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703096.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703097.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703098.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703099.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703100.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703101.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703102.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703103.0,44.2436,-112.2006,83.0,1661.2
1925.0,5.800000190734863,703104.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703105.0,44.2436,-112.2006,83.0,1661.2
1925.0,3.799999952316284,703106.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703107.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703108.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703109.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703110.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703111.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703112.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703113.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703114.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703115.0,44.2436,-112.2006,83.0,1661.2
1925.0,4.099999904632568,703116.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703117.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703118.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703119.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703120.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703121.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703122.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703123.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703124.0,44.2436,-112.2006,83.0,1661.2
1925.0,7.599999904632568,703125.0,44.2436,-112.2006,83.0,1661.2
1925.0,2.0,703126.0,44.2436,-112.2006,83.0,1661.2
1925.0,4.300000190734863,703127.0,44.2436,-112.2006,83.0,1661.2
1925.0,6.599999904632568,703128.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703129.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703130.0,44.2436,-112.2006,83.0,1661.2
1925.0,3.299999952316284,703131.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703132.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703133.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703134.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703135.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703136.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703137.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703138.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703139.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703140.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703141.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703142.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703143.0,44.2436,-112.2006,83.0,1661.2
1925.0,4.300000190734863,703144.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703145.0,44.2436,-112.2006,83.0,1661.2
1925.0,1.2999999523162842,703146.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703147.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703148.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703149.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703150.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703151.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703152.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703153.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703154.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703155.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703156.0,44.2436,-112.2006,83.0,1661.2
1925.0,5.099999904632568,703157.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703158.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703159.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703160.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703161.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703162.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703163.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703164.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703165.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703166.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703167.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703168.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703169.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703170.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703171.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703172.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703173.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703174.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703175.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703176.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703177.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703178.0,44.2436,-112.2006,83.0,1661.2
1925.0,8.899999618530273,703179.0,44.2436,-112.2006,83.0,1661.2
1925.0,21.600000381469727,703180.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703181.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703182.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703183.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703184.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703185.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703186.0,44.2436,-112.2006,83.0,1661.2
1925.0,16.5,703187.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703188.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703189.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703190.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703191.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703192.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703193.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703194.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703195.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703196.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703197.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703198.0,44.2436,-112.2006,83.0,1661.2
1925.0,5.099999904632568,703199.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703200.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703201.0,44.2436,-112.2006,83.0,1661.2
1925.0,2.299999952316284,703202.0,44.2436,-112.2006,83.0,1661.2
1925.0,7.400000095367432,703203.0,44.2436,-112.2006,83.0,1661.2
1925.0,11.399999618530273,703204.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.5,703205.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703206.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703207.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703208.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703209.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703210.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703211.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703212.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703213.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703214.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703215.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703216.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703217.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703218.0,44.2436,-112.2006,83.0,1661.2
1925.0,5.599999904632568,703219.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703220.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703221.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703222.0,44.2436,-112.2006,83.0,1661.2
1925.0,13.199999809265137,703223.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703224.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703225.0,44.2436,-112.2006,83.0,1661.2
1925.0,3.0,703226.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703227.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703228.0,44.2436,-112.2006,83.0,1661.2
1925.0,3.799999952316284,703229.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703230.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703231.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703232.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703233.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703234.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703235.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703236.0,44.2436,-112.2006,83.0,1661.2
1925.0,3.299999952316284,703237.0,44.2436,-112.2006,83.0,1661.2
1925.0,2.0,703238.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703239.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703240.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703241.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703242.0,44.2436,-112.2006,83.0,1661.2
1925.0,1.0,703243.0,44.2436,-112.2006,83.0,1661.2
1925.0,9.699999809265137,703244.0,44.2436,-112.2006,83.0,1661.2
1925.0,4.099999904632568,703245.0,44.2436,-112.2006,83.0,1661.2
1925.0,1.0,703246.0,44.2436,-112.2006,83.0,1661.2
1925.0,5.599999904632568,703247.0,44.2436,-112.2006,83.0,1661.2
1925.0,6.099999904632568,703248.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703249.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703250.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703251.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703252.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703253.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703254.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703255.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703256.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703257.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.800000011920929,703258.0,44.2436,-112.2006,83.0,1661.2
1925.0,7.099999904632568,703259.0,44.2436,-112.2006,83.0,1661.2
1925.0,3.0,703260.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703261.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703262.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703263.0,44.2436,-112.2006,83.0,1661.2
1925.0,3.799999952316284,703264.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703265.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703266.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703267.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703268.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703269.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703270.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703271.0,44.2436,-112.2006,83.0,1661.2
1925.0,5.800000190734863,703272.0,44.2436,-112.2006,83.0,1661.2
1925.0,2.799999952316284,703273.0,44.2436,-112.2006,83.0,1661.2
1925.0,5.099999904632568,703274.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703275.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703276.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703277.0,44.2436,-112.2006,83.0,1661.2
1925.0,5.800000190734863,703278.0,44.2436,-112.2006,83.0,1661.2
1925.0,1.2999999523162842,703279.0,44.2436,-112.2006,83.0,1661.2
1925.0,0.0,703280.0,44.2436,-112.2006,83.0,1661.2
