,Rain,Time,Latitude,Longitude,M,Z
1964.0,0.0,717337.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717338.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717339.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717340.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717341.0,42.8939,-85.5447,56.0,237.1
1964.0,0.30000001192092896,717342.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717343.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717344.0,42.8939,-85.5447,56.0,237.1
1964.0,6.599999904632568,717345.0,42.8939,-85.5447,56.0,237.1
1964.0,0.800000011920929,717346.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717347.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717348.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717349.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717350.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717351.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717352.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717353.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717354.0,42.8939,-85.5447,56.0,237.1
1964.0,0.30000001192092896,717355.0,42.8939,-85.5447,56.0,237.1
1964.0,3.0,717356.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717357.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717358.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717359.0,42.8939,-85.5447,56.0,237.1
1964.0,5.099999904632568,717360.0,42.8939,-85.5447,56.0,237.1
1964.0,9.100000381469727,717361.0,42.8939,-85.5447,56.0,237.1
1964.0,8.100000381469727,717362.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717363.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717364.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717365.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717366.0,42.8939,-85.5447,56.0,237.1
1964.0,1.2999999523162842,717367.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717368.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717369.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717370.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717371.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717372.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717373.0,42.8939,-85.5447,56.0,237.1
1964.0,2.5,717374.0,42.8939,-85.5447,56.0,237.1
1964.0,2.0,717375.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717376.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717377.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717378.0,42.8939,-85.5447,56.0,237.1
1964.0,6.400000095367432,717379.0,42.8939,-85.5447,56.0,237.1
1964.0,2.5,717380.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717381.0,42.8939,-85.5447,56.0,237.1
1964.0,2.799999952316284,717382.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717383.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717384.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717385.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717386.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717387.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717388.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717389.0,42.8939,-85.5447,56.0,237.1
1964.0,1.0,717390.0,42.8939,-85.5447,56.0,237.1
1964.0,0.800000011920929,717391.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717392.0,42.8939,-85.5447,56.0,237.1
1964.0,0.30000001192092896,717393.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717394.0,42.8939,-85.5447,56.0,237.1
1964.0,0.30000001192092896,717395.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717396.0,42.8939,-85.5447,56.0,237.1
1964.0,2.5,717397.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717398.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717399.0,42.8939,-85.5447,56.0,237.1
1964.0,5.800000190734863,717400.0,42.8939,-85.5447,56.0,237.1
1964.0,7.599999904632568,717401.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717402.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717403.0,42.8939,-85.5447,56.0,237.1
1964.0,13.699999809265137,717404.0,42.8939,-85.5447,56.0,237.1
1964.0,0.30000001192092896,717405.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717406.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717407.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717408.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717409.0,42.8939,-85.5447,56.0,237.1
1964.0,1.5,717410.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717411.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717412.0,42.8939,-85.5447,56.0,237.1
1964.0,0.30000001192092896,717413.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717414.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717415.0,42.8939,-85.5447,56.0,237.1
1964.0,1.7999999523162842,717416.0,42.8939,-85.5447,56.0,237.1
1964.0,3.299999952316284,717417.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717418.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717419.0,42.8939,-85.5447,56.0,237.1
1964.0,14.0,717420.0,42.8939,-85.5447,56.0,237.1
1964.0,32.0,717421.0,42.8939,-85.5447,56.0,237.1
1964.0,1.5,717422.0,42.8939,-85.5447,56.0,237.1
1964.0,0.800000011920929,717423.0,42.8939,-85.5447,56.0,237.1
1964.0,2.0,717424.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717425.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717426.0,42.8939,-85.5447,56.0,237.1
1964.0,2.799999952316284,717427.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717428.0,42.8939,-85.5447,56.0,237.1
1964.0,17.5,717429.0,42.8939,-85.5447,56.0,237.1
1964.0,6.099999904632568,717430.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717431.0,42.8939,-85.5447,56.0,237.1
1964.0,18.0,717432.0,42.8939,-85.5447,56.0,237.1
1964.0,18.0,717433.0,42.8939,-85.5447,56.0,237.1
1964.0,4.800000190734863,717434.0,42.8939,-85.5447,56.0,237.1
1964.0,0.30000001192092896,717435.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717436.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717437.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717438.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717439.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717440.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717441.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717442.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717443.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717444.0,42.8939,-85.5447,56.0,237.1
1964.0,3.5999999046325684,717445.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717446.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717447.0,42.8939,-85.5447,56.0,237.1
1964.0,17.299999237060547,717448.0,42.8939,-85.5447,56.0,237.1
1964.0,2.799999952316284,717449.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717450.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717451.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717452.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717453.0,42.8939,-85.5447,56.0,237.1
1964.0,16.5,717454.0,42.8939,-85.5447,56.0,237.1
1964.0,21.100000381469727,717455.0,42.8939,-85.5447,56.0,237.1
1964.0,0.5,717456.0,42.8939,-85.5447,56.0,237.1
1964.0,7.599999904632568,717457.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717458.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717459.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717460.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717461.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717462.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717463.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717464.0,42.8939,-85.5447,56.0,237.1
1964.0,28.399999618530273,717465.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717466.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717467.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717468.0,42.8939,-85.5447,56.0,237.1
1964.0,2.5,717469.0,42.8939,-85.5447,56.0,237.1
1964.0,48.79999923706055,717470.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717471.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717472.0,42.8939,-85.5447,56.0,237.1
1964.0,20.600000381469727,717473.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717474.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717475.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717476.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717477.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717478.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717479.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717480.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717481.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717482.0,42.8939,-85.5447,56.0,237.1
1964.0,0.30000001192092896,717483.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717484.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717485.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717486.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717487.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717488.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717489.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717490.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717491.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717492.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717493.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717494.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717495.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717496.0,42.8939,-85.5447,56.0,237.1
1964.0,2.5,717497.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717498.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717499.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717500.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717501.0,42.8939,-85.5447,56.0,237.1
1964.0,6.099999904632568,717502.0,42.8939,-85.5447,56.0,237.1
1964.0,61.20000076293945,717503.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717504.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717505.0,42.8939,-85.5447,56.0,237.1
1964.0,12.699999809265137,717506.0,42.8939,-85.5447,56.0,237.1
1964.0,5.099999904632568,717507.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717508.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717509.0,42.8939,-85.5447,56.0,237.1
1964.0,17.0,717510.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717511.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717512.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717513.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717514.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717515.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717516.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717517.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717518.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717519.0,42.8939,-85.5447,56.0,237.1
1964.0,1.7999999523162842,717520.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717521.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717522.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717523.0,42.8939,-85.5447,56.0,237.1
1964.0,3.0,717524.0,42.8939,-85.5447,56.0,237.1
1964.0,4.099999904632568,717525.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717526.0,42.8939,-85.5447,56.0,237.1
1964.0,0.0,717527.0,42.8939,-85.5447,56.0,237.1
