,Rain,Time,Latitude,Longitude,M,Z
1942.0,0.0,709302.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709303.0,47.6167,-52.75,69.0,141.0
1942.0,15.699999809265137,709304.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709305.0,47.6167,-52.75,69.0,141.0
1942.0,1.2999999523162842,709306.0,47.6167,-52.75,69.0,141.0
1942.0,5.300000190734863,709307.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709308.0,47.6167,-52.75,69.0,141.0
1942.0,5.099999904632568,709309.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709310.0,47.6167,-52.75,69.0,141.0
1942.0,22.399999618530273,709311.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709312.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709313.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709314.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709315.0,47.6167,-52.75,69.0,141.0
1942.0,0.800000011920929,709316.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709317.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709318.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709319.0,47.6167,-52.75,69.0,141.0
1942.0,1.7999999523162842,709320.0,47.6167,-52.75,69.0,141.0
1942.0,10.699999809265137,709321.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709322.0,47.6167,-52.75,69.0,141.0
1942.0,4.599999904632568,709323.0,47.6167,-52.75,69.0,141.0
1942.0,0.800000011920929,709324.0,47.6167,-52.75,69.0,141.0
1942.0,2.299999952316284,709325.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709326.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709327.0,47.6167,-52.75,69.0,141.0
1942.0,20.100000381469727,709328.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709329.0,47.6167,-52.75,69.0,141.0
1942.0,43.20000076293945,709330.0,47.6167,-52.75,69.0,141.0
1942.0,84.5999984741211,709331.0,47.6167,-52.75,69.0,141.0
1942.0,4.099999904632568,709332.0,47.6167,-52.75,69.0,141.0
1942.0,0.800000011920929,709333.0,47.6167,-52.75,69.0,141.0
1942.0,11.199999809265137,709334.0,47.6167,-52.75,69.0,141.0
1942.0,1.0,709335.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709336.0,47.6167,-52.75,69.0,141.0
1942.0,2.5,709337.0,47.6167,-52.75,69.0,141.0
1942.0,1.5,709338.0,47.6167,-52.75,69.0,141.0
1942.0,1.7999999523162842,709339.0,47.6167,-52.75,69.0,141.0
1942.0,1.2999999523162842,709340.0,47.6167,-52.75,69.0,141.0
1942.0,3.299999952316284,709341.0,47.6167,-52.75,69.0,141.0
1942.0,4.800000190734863,709342.0,47.6167,-52.75,69.0,141.0
1942.0,17.299999237060547,709343.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709344.0,47.6167,-52.75,69.0,141.0
1942.0,1.2999999523162842,709345.0,47.6167,-52.75,69.0,141.0
1942.0,4.599999904632568,709346.0,47.6167,-52.75,69.0,141.0
1942.0,1.5,709347.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709348.0,47.6167,-52.75,69.0,141.0
1942.0,21.100000381469727,709349.0,47.6167,-52.75,69.0,141.0
1942.0,2.799999952316284,709350.0,47.6167,-52.75,69.0,141.0
1942.0,24.399999618530273,709351.0,47.6167,-52.75,69.0,141.0
1942.0,6.599999904632568,709352.0,47.6167,-52.75,69.0,141.0
1942.0,32.5,709353.0,47.6167,-52.75,69.0,141.0
1942.0,8.600000381469727,709354.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709355.0,47.6167,-52.75,69.0,141.0
1942.0,1.0,709356.0,47.6167,-52.75,69.0,141.0
1942.0,26.200000762939453,709357.0,47.6167,-52.75,69.0,141.0
1942.0,3.5999999046325684,709358.0,47.6167,-52.75,69.0,141.0
1942.0,1.7999999523162842,709359.0,47.6167,-52.75,69.0,141.0
1942.0,1.0,709360.0,47.6167,-52.75,69.0,141.0
1942.0,1.7999999523162842,709361.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709362.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709363.0,47.6167,-52.75,69.0,141.0
1942.0,20.299999237060547,709364.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709365.0,47.6167,-52.75,69.0,141.0
1942.0,5.099999904632568,709366.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709367.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709368.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709369.0,47.6167,-52.75,69.0,141.0
1942.0,2.0,709370.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709371.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709372.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709373.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709374.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709375.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709376.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709377.0,47.6167,-52.75,69.0,141.0
1942.0,5.800000190734863,709378.0,47.6167,-52.75,69.0,141.0
1942.0,11.199999809265137,709379.0,47.6167,-52.75,69.0,141.0
1942.0,5.599999904632568,709380.0,47.6167,-52.75,69.0,141.0
1942.0,5.099999904632568,709381.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709382.0,47.6167,-52.75,69.0,141.0
1942.0,3.799999952316284,709383.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709384.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709385.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709386.0,47.6167,-52.75,69.0,141.0
1942.0,11.199999809265137,709387.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709388.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709389.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709390.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709391.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709392.0,47.6167,-52.75,69.0,141.0
1942.0,14.0,709393.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709394.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709395.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709396.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709397.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709398.0,47.6167,-52.75,69.0,141.0
1942.0,4.099999904632568,709399.0,47.6167,-52.75,69.0,141.0
1942.0,2.299999952316284,709400.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709401.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709402.0,47.6167,-52.75,69.0,141.0
1942.0,9.100000381469727,709403.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709404.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709405.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709406.0,47.6167,-52.75,69.0,141.0
1942.0,58.400001525878906,709407.0,47.6167,-52.75,69.0,141.0
1942.0,2.799999952316284,709408.0,47.6167,-52.75,69.0,141.0
1942.0,4.099999904632568,709409.0,47.6167,-52.75,69.0,141.0
1942.0,1.0,709410.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709411.0,47.6167,-52.75,69.0,141.0
1942.0,16.5,709412.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709413.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709414.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709415.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709416.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709417.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709418.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709419.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709420.0,47.6167,-52.75,69.0,141.0
1942.0,5.599999904632568,709421.0,47.6167,-52.75,69.0,141.0
1942.0,1.0,709422.0,47.6167,-52.75,69.0,141.0
1942.0,1.5,709423.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709424.0,47.6167,-52.75,69.0,141.0
1942.0,3.5999999046325684,709425.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709426.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709427.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709428.0,47.6167,-52.75,69.0,141.0
1942.0,4.800000190734863,709429.0,47.6167,-52.75,69.0,141.0
1942.0,3.5999999046325684,709430.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709431.0,47.6167,-52.75,69.0,141.0
1942.0,11.199999809265137,709432.0,47.6167,-52.75,69.0,141.0
1942.0,8.100000381469727,709433.0,47.6167,-52.75,69.0,141.0
1942.0,1.0,709434.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709435.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709436.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709437.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709438.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709439.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709440.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709441.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709442.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709443.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709444.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709445.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709446.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709447.0,47.6167,-52.75,69.0,141.0
1942.0,32.0,709448.0,47.6167,-52.75,69.0,141.0
1942.0,3.299999952316284,709449.0,47.6167,-52.75,69.0,141.0
1942.0,1.5,709450.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709451.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709452.0,47.6167,-52.75,69.0,141.0
1942.0,2.799999952316284,709453.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709454.0,47.6167,-52.75,69.0,141.0
1942.0,1.2999999523162842,709455.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709456.0,47.6167,-52.75,69.0,141.0
1942.0,5.099999904632568,709457.0,47.6167,-52.75,69.0,141.0
1942.0,35.79999923706055,709458.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709459.0,47.6167,-52.75,69.0,141.0
1942.0,3.0,709460.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709461.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709462.0,47.6167,-52.75,69.0,141.0
1942.0,10.199999809265137,709463.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709464.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709465.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709466.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709467.0,47.6167,-52.75,69.0,141.0
1942.0,1.0,709468.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709469.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709470.0,47.6167,-52.75,69.0,141.0
1942.0,4.800000190734863,709471.0,47.6167,-52.75,69.0,141.0
1942.0,3.0,709472.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709473.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709474.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709475.0,47.6167,-52.75,69.0,141.0
1942.0,3.299999952316284,709476.0,47.6167,-52.75,69.0,141.0
1942.0,9.899999618530273,709477.0,47.6167,-52.75,69.0,141.0
1942.0,1.5,709478.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709479.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709480.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709481.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709482.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709483.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709484.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709485.0,47.6167,-52.75,69.0,141.0
1942.0,1.2999999523162842,709486.0,47.6167,-52.75,69.0,141.0
1942.0,2.299999952316284,709487.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709488.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709489.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709490.0,47.6167,-52.75,69.0,141.0
1942.0,2.299999952316284,709491.0,47.6167,-52.75,69.0,141.0
1942.0,9.399999618530273,709492.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709493.0,47.6167,-52.75,69.0,141.0
1942.0,15.5,709494.0,47.6167,-52.75,69.0,141.0
1942.0,0.800000011920929,709495.0,47.6167,-52.75,69.0,141.0
1942.0,1.5,709496.0,47.6167,-52.75,69.0,141.0
1942.0,10.899999618530273,709497.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709498.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709499.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709500.0,47.6167,-52.75,69.0,141.0
1942.0,6.599999904632568,709501.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709502.0,47.6167,-52.75,69.0,141.0
1942.0,3.0,709503.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709504.0,47.6167,-52.75,69.0,141.0
1942.0,6.099999904632568,709505.0,47.6167,-52.75,69.0,141.0
1942.0,31.799999237060547,709506.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709507.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709508.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709509.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709510.0,47.6167,-52.75,69.0,141.0
1942.0,3.299999952316284,709511.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709512.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709513.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709514.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709515.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709516.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709517.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709518.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709519.0,47.6167,-52.75,69.0,141.0
1942.0,6.599999904632568,709520.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709521.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709522.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709523.0,47.6167,-52.75,69.0,141.0
1942.0,4.800000190734863,709524.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709525.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709526.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709527.0,47.6167,-52.75,69.0,141.0
1942.0,1.5,709528.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709529.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709530.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709531.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709532.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709533.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709534.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709535.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709536.0,47.6167,-52.75,69.0,141.0
1942.0,1.7999999523162842,709537.0,47.6167,-52.75,69.0,141.0
1942.0,1.5,709538.0,47.6167,-52.75,69.0,141.0
1942.0,5.800000190734863,709539.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709540.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709541.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709542.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709543.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709544.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709545.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709546.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709547.0,47.6167,-52.75,69.0,141.0
1942.0,1.2999999523162842,709548.0,47.6167,-52.75,69.0,141.0
1942.0,1.7999999523162842,709549.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709550.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709551.0,47.6167,-52.75,69.0,141.0
1942.0,7.400000095367432,709552.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709553.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709554.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709555.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709556.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709557.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709558.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709559.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709560.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709561.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709562.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709563.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709564.0,47.6167,-52.75,69.0,141.0
1942.0,2.299999952316284,709565.0,47.6167,-52.75,69.0,141.0
1942.0,1.7999999523162842,709566.0,47.6167,-52.75,69.0,141.0
1942.0,4.099999904632568,709567.0,47.6167,-52.75,69.0,141.0
1942.0,1.2999999523162842,709568.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709569.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709570.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709571.0,47.6167,-52.75,69.0,141.0
1942.0,2.0,709572.0,47.6167,-52.75,69.0,141.0
1942.0,7.599999904632568,709573.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709574.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709575.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709576.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709577.0,47.6167,-52.75,69.0,141.0
1942.0,100.80000305175781,709578.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709579.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709580.0,47.6167,-52.75,69.0,141.0
1942.0,11.199999809265137,709581.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709582.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709583.0,47.6167,-52.75,69.0,141.0
1942.0,22.399999618530273,709584.0,47.6167,-52.75,69.0,141.0
1942.0,0.800000011920929,709585.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709586.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709587.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709588.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709589.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709590.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709591.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709592.0,47.6167,-52.75,69.0,141.0
1942.0,40.599998474121094,709593.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709594.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709595.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709596.0,47.6167,-52.75,69.0,141.0
1942.0,4.800000190734863,709597.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709598.0,47.6167,-52.75,69.0,141.0
1942.0,10.399999618530273,709599.0,47.6167,-52.75,69.0,141.0
1942.0,27.899999618530273,709600.0,47.6167,-52.75,69.0,141.0
1942.0,2.799999952316284,709601.0,47.6167,-52.75,69.0,141.0
1942.0,2.299999952316284,709602.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709603.0,47.6167,-52.75,69.0,141.0
1942.0,2.5,709604.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709605.0,47.6167,-52.75,69.0,141.0
1942.0,0.30000001192092896,709606.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709607.0,47.6167,-52.75,69.0,141.0
1942.0,12.699999809265137,709608.0,47.6167,-52.75,69.0,141.0
1942.0,8.399999618530273,709609.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709610.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709611.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709612.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709613.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709614.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709615.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709616.0,47.6167,-52.75,69.0,141.0
1942.0,32.0,709617.0,47.6167,-52.75,69.0,141.0
1942.0,0.5,709618.0,47.6167,-52.75,69.0,141.0
1942.0,16.0,709619.0,47.6167,-52.75,69.0,141.0
1942.0,5.800000190734863,709620.0,47.6167,-52.75,69.0,141.0
1942.0,0.0,709621.0,47.6167,-52.75,69.0,141.0
