,Rain,Time,Latitude,Longitude,M,Z
1950.0,0.0,712224.0,20.8939,-156.4103,65.0,27.4
1950.0,0.800000011920929,712225.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712226.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712227.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712228.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712229.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712230.0,20.8939,-156.4103,65.0,27.4
1950.0,6.900000095367432,712231.0,20.8939,-156.4103,65.0,27.4
1950.0,1.5,712232.0,20.8939,-156.4103,65.0,27.4
1950.0,3.5999999046325684,712233.0,20.8939,-156.4103,65.0,27.4
1950.0,51.79999923706055,712234.0,20.8939,-156.4103,65.0,27.4
1950.0,49.5,712235.0,20.8939,-156.4103,65.0,27.4
1950.0,3.799999952316284,712236.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712237.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712238.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712239.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712240.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712241.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712242.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712243.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712244.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712245.0,20.8939,-156.4103,65.0,27.4
1950.0,18.0,712246.0,20.8939,-156.4103,65.0,27.4
1950.0,33.5,712247.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712248.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712249.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712250.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712251.0,20.8939,-156.4103,65.0,27.4
1950.0,0.800000011920929,712252.0,20.8939,-156.4103,65.0,27.4
1950.0,4.099999904632568,712253.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712254.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712255.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712256.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712257.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712258.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712259.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712260.0,20.8939,-156.4103,65.0,27.4
1950.0,0.800000011920929,712261.0,20.8939,-156.4103,65.0,27.4
1950.0,1.7999999523162842,712262.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712263.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712264.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712265.0,20.8939,-156.4103,65.0,27.4
1950.0,1.2999999523162842,712266.0,20.8939,-156.4103,65.0,27.4
1950.0,2.5,712267.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712268.0,20.8939,-156.4103,65.0,27.4
1950.0,0.30000001192092896,712269.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712270.0,20.8939,-156.4103,65.0,27.4
1950.0,0.800000011920929,712271.0,20.8939,-156.4103,65.0,27.4
1950.0,10.199999809265137,712272.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712273.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712274.0,20.8939,-156.4103,65.0,27.4
1950.0,1.2999999523162842,712275.0,20.8939,-156.4103,65.0,27.4
1950.0,6.599999904632568,712276.0,20.8939,-156.4103,65.0,27.4
1950.0,0.30000001192092896,712277.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712278.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712279.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712280.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712281.0,20.8939,-156.4103,65.0,27.4
1950.0,6.400000095367432,712282.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712283.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712284.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712285.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712286.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712287.0,20.8939,-156.4103,65.0,27.4
1950.0,0.5,712288.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712289.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712290.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712291.0,20.8939,-156.4103,65.0,27.4
1950.0,1.2999999523162842,712292.0,20.8939,-156.4103,65.0,27.4
1950.0,1.2999999523162842,712293.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712294.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712295.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712296.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712297.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712298.0,20.8939,-156.4103,65.0,27.4
1950.0,0.0,712299.0,20.8939,-156.4103,65.0,27.4
