,Rain,Time,Latitude,Longitude,M,Z
1916.0,0.0,699805.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699806.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699807.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699808.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699809.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699810.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699811.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699812.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699813.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699814.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699815.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699816.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699817.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699818.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699819.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699820.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699821.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699822.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699823.0,-12.77,-39.42,61.0,265.0
1916.0,1.2999999523162842,699824.0,-12.77,-39.42,61.0,265.0
1916.0,8.5,699825.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699826.0,-12.77,-39.42,61.0,265.0
1916.0,12.5,699827.0,-12.77,-39.42,61.0,265.0
1916.0,3.0999999046325684,699828.0,-12.77,-39.42,61.0,265.0
1916.0,2.799999952316284,699829.0,-12.77,-39.42,61.0,265.0
1916.0,5.400000095367432,699830.0,-12.77,-39.42,61.0,265.0
1916.0,8.100000381469727,699831.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699832.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699833.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699834.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699835.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699836.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699837.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699838.0,-12.77,-39.42,61.0,265.0
1916.0,0.30000001192092896,699839.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699840.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699841.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699842.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699843.0,-12.77,-39.42,61.0,265.0
1916.0,26.700000762939453,699844.0,-12.77,-39.42,61.0,265.0
1916.0,2.5,699845.0,-12.77,-39.42,61.0,265.0
1916.0,2.9000000953674316,699846.0,-12.77,-39.42,61.0,265.0
1916.0,10.199999809265137,699847.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699848.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699849.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699850.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699851.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699852.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699853.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699854.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699855.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699856.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699857.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699858.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699859.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699860.0,-12.77,-39.42,61.0,265.0
1916.0,0.10000000149011612,699861.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699862.0,-12.77,-39.42,61.0,265.0
1916.0,63.29999923706055,699863.0,-12.77,-39.42,61.0,265.0
1916.0,15.600000381469727,699864.0,-12.77,-39.42,61.0,265.0
1916.0,5.300000190734863,699865.0,-12.77,-39.42,61.0,265.0
1916.0,32.5,699866.0,-12.77,-39.42,61.0,265.0
1916.0,15.600000381469727,699867.0,-12.77,-39.42,61.0,265.0
1916.0,1.7000000476837158,699868.0,-12.77,-39.42,61.0,265.0
1916.0,6.199999809265137,699869.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699870.0,-12.77,-39.42,61.0,265.0
1916.0,2.0999999046325684,699871.0,-12.77,-39.42,61.0,265.0
1916.0,0.30000001192092896,699872.0,-12.77,-39.42,61.0,265.0
1916.0,10.199999809265137,699873.0,-12.77,-39.42,61.0,265.0
1916.0,0.10000000149011612,699874.0,-12.77,-39.42,61.0,265.0
1916.0,13.100000381469727,699875.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699876.0,-12.77,-39.42,61.0,265.0
1916.0,3.5,699877.0,-12.77,-39.42,61.0,265.0
1916.0,3.0999999046325684,699878.0,-12.77,-39.42,61.0,265.0
1916.0,0.4000000059604645,699879.0,-12.77,-39.42,61.0,265.0
1916.0,0.5,699880.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699881.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699882.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699883.0,-12.77,-39.42,61.0,265.0
1916.0,10.600000381469727,699884.0,-12.77,-39.42,61.0,265.0
1916.0,39.900001525878906,699885.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699886.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699887.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699888.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699889.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699890.0,-12.77,-39.42,61.0,265.0
1916.0,24.399999618530273,699891.0,-12.77,-39.42,61.0,265.0
1916.0,0.4000000059604645,699892.0,-12.77,-39.42,61.0,265.0
1916.0,0.8999999761581421,699893.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699894.0,-12.77,-39.42,61.0,265.0
1916.0,11.699999809265137,699895.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699896.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699897.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699898.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699899.0,-12.77,-39.42,61.0,265.0
1916.0,0.0,699900.0,-12.77,-39.42,61.0,265.0
1916.0,14.800000190734863,699901.0,-12.77,-39.42,61.0,265.0
1916.0,5.300000190734863,699902.0,-12.77,-39.42,61.0,265.0
1916.0,0.800000011920929,699903.0,-12.77,-39.42,61.0,265.0
