,Rain,Time,Latitude,Longitude,M,Z
1933.0,0.0,706015.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706016.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706017.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706018.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706019.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706020.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706021.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706022.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706023.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706024.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706025.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706026.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706027.0,-4.3,-38.5,56.0,42.0
1933.0,16.0,706028.0,-4.3,-38.5,56.0,42.0
1933.0,9.0,706029.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706030.0,-4.3,-38.5,56.0,42.0
1933.0,26.0,706031.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706032.0,-4.3,-38.5,56.0,42.0
1933.0,54.0,706033.0,-4.3,-38.5,56.0,42.0
1933.0,10.199999809265137,706034.0,-4.3,-38.5,56.0,42.0
1933.0,16.0,706035.0,-4.3,-38.5,56.0,42.0
1933.0,11.699999809265137,706036.0,-4.3,-38.5,56.0,42.0
1933.0,10.0,706037.0,-4.3,-38.5,56.0,42.0
1933.0,15.300000190734863,706038.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706039.0,-4.3,-38.5,56.0,42.0
1933.0,5.199999809265137,706040.0,-4.3,-38.5,56.0,42.0
1933.0,12.300000190734863,706041.0,-4.3,-38.5,56.0,42.0
1933.0,42.5,706042.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706043.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706044.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706045.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706046.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706047.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706048.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706049.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706050.0,-4.3,-38.5,56.0,42.0
1933.0,6.699999809265137,706051.0,-4.3,-38.5,56.0,42.0
1933.0,6.0,706052.0,-4.3,-38.5,56.0,42.0
1933.0,6.0,706053.0,-4.3,-38.5,56.0,42.0
1933.0,19.0,706054.0,-4.3,-38.5,56.0,42.0
1933.0,41.400001525878906,706055.0,-4.3,-38.5,56.0,42.0
1933.0,4.300000190734863,706056.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706057.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706058.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706059.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706060.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706061.0,-4.3,-38.5,56.0,42.0
1933.0,4.800000190734863,706062.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706063.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706064.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706065.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706066.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706067.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706068.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706069.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706070.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706071.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706072.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706073.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706074.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706075.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706076.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706077.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706078.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706079.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706080.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706081.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706082.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706083.0,-4.3,-38.5,56.0,42.0
1933.0,5.0,706084.0,-4.3,-38.5,56.0,42.0
1933.0,30.0,706085.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706086.0,-4.3,-38.5,56.0,42.0
1933.0,20.0,706087.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706088.0,-4.3,-38.5,56.0,42.0
1933.0,58.0,706089.0,-4.3,-38.5,56.0,42.0
1933.0,12.0,706090.0,-4.3,-38.5,56.0,42.0
1933.0,1.0,706091.0,-4.3,-38.5,56.0,42.0
1933.0,8.0,706092.0,-4.3,-38.5,56.0,42.0
1933.0,23.0,706093.0,-4.3,-38.5,56.0,42.0
1933.0,4.300000190734863,706094.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706095.0,-4.3,-38.5,56.0,42.0
1933.0,11.100000381469727,706096.0,-4.3,-38.5,56.0,42.0
1933.0,13.0,706097.0,-4.3,-38.5,56.0,42.0
1933.0,4.0,706098.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706099.0,-4.3,-38.5,56.0,42.0
1933.0,5.0,706100.0,-4.3,-38.5,56.0,42.0
1933.0,35.0,706101.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706102.0,-4.3,-38.5,56.0,42.0
1933.0,2.0,706103.0,-4.3,-38.5,56.0,42.0
1933.0,1.0,706104.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706105.0,-4.3,-38.5,56.0,42.0
1933.0,4.0,706106.0,-4.3,-38.5,56.0,42.0
1933.0,3.0,706107.0,-4.3,-38.5,56.0,42.0
1933.0,48.0,706108.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706109.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706110.0,-4.3,-38.5,56.0,42.0
1933.0,44.099998474121094,706111.0,-4.3,-38.5,56.0,42.0
1933.0,8.699999809265137,706112.0,-4.3,-38.5,56.0,42.0
1933.0,11.5,706113.0,-4.3,-38.5,56.0,42.0
1933.0,32.5,706114.0,-4.3,-38.5,56.0,42.0
1933.0,4.900000095367432,706115.0,-4.3,-38.5,56.0,42.0
1933.0,8.0,706116.0,-4.3,-38.5,56.0,42.0
1933.0,7.5,706117.0,-4.3,-38.5,56.0,42.0
1933.0,60.0,706118.0,-4.3,-38.5,56.0,42.0
1933.0,4.300000190734863,706119.0,-4.3,-38.5,56.0,42.0
1933.0,60.0,706120.0,-4.3,-38.5,56.0,42.0
1933.0,6.0,706121.0,-4.3,-38.5,56.0,42.0
1933.0,3.299999952316284,706122.0,-4.3,-38.5,56.0,42.0
1933.0,6.5,706123.0,-4.3,-38.5,56.0,42.0
1933.0,20.0,706124.0,-4.3,-38.5,56.0,42.0
1933.0,50.5,706125.0,-4.3,-38.5,56.0,42.0
1933.0,4.300000190734863,706126.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706127.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706128.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706129.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706130.0,-4.3,-38.5,56.0,42.0
1933.0,12.0,706131.0,-4.3,-38.5,56.0,42.0
1933.0,2.200000047683716,706132.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706133.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706134.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706135.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706136.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706137.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706138.0,-4.3,-38.5,56.0,42.0
1933.0,5.0,706139.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706140.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706141.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706142.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706143.0,-4.3,-38.5,56.0,42.0
1933.0,3.0,706144.0,-4.3,-38.5,56.0,42.0
1933.0,3.0,706145.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706146.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706147.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706148.0,-4.3,-38.5,56.0,42.0
1933.0,10.0,706149.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706150.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706151.0,-4.3,-38.5,56.0,42.0
1933.0,4.0,706152.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706153.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706154.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706155.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706156.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706157.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706158.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706159.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706160.0,-4.3,-38.5,56.0,42.0
1933.0,2.0,706161.0,-4.3,-38.5,56.0,42.0
1933.0,3.0,706162.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706163.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706164.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706165.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706166.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706167.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706168.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706169.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706170.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706171.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706172.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706173.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706174.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706175.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706176.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706177.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706178.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706179.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706180.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706181.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706182.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706183.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706184.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706185.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706186.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706187.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706188.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706189.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706190.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706191.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706192.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706193.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706194.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706195.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706196.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706197.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706198.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706199.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706200.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706201.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706202.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706203.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706204.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706205.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706206.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706207.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706208.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706209.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706210.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706211.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706212.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706213.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706214.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706215.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706216.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706217.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706218.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706219.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706220.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706221.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706222.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706223.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706224.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706225.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706226.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706227.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706228.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706229.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706230.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706231.0,-4.3,-38.5,56.0,42.0
1933.0,0.0,706232.0,-4.3,-38.5,56.0,42.0
