,Rain,Time,Latitude,Longitude,M,Z
1941.0,0.0,708937.0,-24.6,-48.22,50.0,40.0
1941.0,4.0,708938.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708939.0,-24.6,-48.22,50.0,40.0
1941.0,6.0,708940.0,-24.6,-48.22,50.0,40.0
1941.0,27.0,708941.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708942.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708943.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708944.0,-24.6,-48.22,50.0,40.0
1941.0,12.0,708945.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708946.0,-24.6,-48.22,50.0,40.0
1941.0,4.0,708947.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708948.0,-24.6,-48.22,50.0,40.0
1941.0,19.0,708949.0,-24.6,-48.22,50.0,40.0
1941.0,20.0,708950.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708951.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708952.0,-24.6,-48.22,50.0,40.0
1941.0,45.0,708953.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708954.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708955.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708956.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708957.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708958.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708959.0,-24.6,-48.22,50.0,40.0
1941.0,12.0,708960.0,-24.6,-48.22,50.0,40.0
1941.0,22.0,708961.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708962.0,-24.6,-48.22,50.0,40.0
1941.0,24.0,708963.0,-24.6,-48.22,50.0,40.0
1941.0,40.0,708964.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708965.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708966.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708967.0,-24.6,-48.22,50.0,40.0
1941.0,8.0,708968.0,-24.6,-48.22,50.0,40.0
1941.0,12.0,708969.0,-24.6,-48.22,50.0,40.0
1941.0,11.0,708970.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708971.0,-24.6,-48.22,50.0,40.0
1941.0,35.0,708972.0,-24.6,-48.22,50.0,40.0
1941.0,18.0,708973.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708974.0,-24.6,-48.22,50.0,40.0
1941.0,30.0,708975.0,-24.6,-48.22,50.0,40.0
1941.0,40.0,708976.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708977.0,-24.6,-48.22,50.0,40.0
1941.0,8.0,708978.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708979.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708980.0,-24.6,-48.22,50.0,40.0
1941.0,10.0,708981.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708982.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708983.0,-24.6,-48.22,50.0,40.0
1941.0,18.0,708984.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708985.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708986.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708987.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708988.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708989.0,-24.6,-48.22,50.0,40.0
1941.0,40.0,708990.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708991.0,-24.6,-48.22,50.0,40.0
1941.0,50.0,708992.0,-24.6,-48.22,50.0,40.0
1941.0,18.0,708993.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708994.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708995.0,-24.6,-48.22,50.0,40.0
1941.0,15.0,708996.0,-24.6,-48.22,50.0,40.0
1941.0,12.0,708997.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708998.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,708999.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709000.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709001.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709002.0,-24.6,-48.22,50.0,40.0
1941.0,18.0,709003.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709004.0,-24.6,-48.22,50.0,40.0
1941.0,22.0,709005.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709006.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709007.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709008.0,-24.6,-48.22,50.0,40.0
1941.0,44.0,709009.0,-24.6,-48.22,50.0,40.0
1941.0,5.0,709010.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709011.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709012.0,-24.6,-48.22,50.0,40.0
1941.0,45.0,709013.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709014.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709015.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709016.0,-24.6,-48.22,50.0,40.0
1941.0,16.0,709017.0,-24.6,-48.22,50.0,40.0
1941.0,30.0,709018.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709019.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709020.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709021.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709022.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709023.0,-24.6,-48.22,50.0,40.0
1941.0,20.0,709024.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709025.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709026.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709027.0,-24.6,-48.22,50.0,40.0
1941.0,15.0,709028.0,-24.6,-48.22,50.0,40.0
1941.0,15.0,709029.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709030.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709031.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709032.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709033.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709034.0,-24.6,-48.22,50.0,40.0
1941.0,3.0,709035.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709036.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709037.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709038.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709039.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709040.0,-24.6,-48.22,50.0,40.0
1941.0,15.0,709041.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709042.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709043.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709044.0,-24.6,-48.22,50.0,40.0
1941.0,4.0,709045.0,-24.6,-48.22,50.0,40.0
1941.0,18.0,709046.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709047.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709048.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709049.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709050.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709051.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709052.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709053.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709054.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709055.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709056.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709057.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709058.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709059.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709060.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709061.0,-24.6,-48.22,50.0,40.0
1941.0,18.0,709062.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709063.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709064.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709065.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709066.0,-24.6,-48.22,50.0,40.0
1941.0,30.200000762939453,709067.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709068.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709069.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709070.0,-24.6,-48.22,50.0,40.0
1941.0,22.0,709071.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709072.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709073.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709074.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709075.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709076.0,-24.6,-48.22,50.0,40.0
1941.0,18.0,709077.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709078.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709079.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709080.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709081.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709082.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709083.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709084.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709085.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709086.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709087.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709088.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709089.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709090.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709091.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709092.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709093.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709094.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709095.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709096.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709097.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709098.0,-24.6,-48.22,50.0,40.0
1941.0,5.0,709099.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709100.0,-24.6,-48.22,50.0,40.0
1941.0,7.0,709101.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709102.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709103.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709104.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709105.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709106.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709107.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709108.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709109.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709110.0,-24.6,-48.22,50.0,40.0
1941.0,11.0,709111.0,-24.6,-48.22,50.0,40.0
1941.0,1.0,709112.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709113.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709114.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709115.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709116.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709117.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709118.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709119.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709120.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709121.0,-24.6,-48.22,50.0,40.0
1941.0,1.2000000476837158,709122.0,-24.6,-48.22,50.0,40.0
1941.0,3.700000047683716,709123.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709124.0,-24.6,-48.22,50.0,40.0
1941.0,0.5,709125.0,-24.6,-48.22,50.0,40.0
1941.0,0.5,709126.0,-24.6,-48.22,50.0,40.0
1941.0,0.5,709127.0,-24.6,-48.22,50.0,40.0
1941.0,0.5,709128.0,-24.6,-48.22,50.0,40.0
1941.0,0.5,709129.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709130.0,-24.6,-48.22,50.0,40.0
1941.0,0.0,709131.0,-24.6,-48.22,50.0,40.0
1941.0,28.200000762939453,709132.0,-24.6,-48.22,50.0,40.0
1941.0,18.5,709133.0,-24.6,-48.22,50.0,40.0
